school,season,prev winScore,winScore,prev scoreDiff,scoreDiff
Marquette,2011,1,7,-2,-3
Purdue,1994,1,15,-6,37
Alabama,1991,7,7,37,-5
Nevada-Las Vegas,2011,1,1,-3,-11
Gonzaga,2011,3,3,-15,-7
Wisconsin,2014,1,31,-11,65
Arizona,1989,31,7,99,59
New Mexico,1998,3,3,3,7
Michigan State,1999,7,31,4,40
UCLA,1996,127,1,86,-2
Kentucky,1994,31,3,121,1
Purdue,2016,1,1,-1,-2
Ohio State,1991,3,7,-10,-2
Chattanooga,1994,1,1,-23,-29
Creighton,2014,3,3,-12,-20
Kansas,1987,31,7,61,2
Stephen F. Austin,2015,3,1,-15,-7
Wake Forest,2004,3,7,-3,1
Kansas State,2011,15,3,30,0
"Xavier, Ohio",2009,15,7,4,24
Tennessee,2009,7,1,1,-2
Northeastern,1987,1,1,-6,-9
Syracuse,1986,3,3,-12,37
Kansas,1988,7,127,2,53
Kansas,2009,127,7,85,22
California,2002,1,3,-12,-6
Arizona,1987,1,1,-10,-7
Maryland,1999,7,7,12,20
Cincinnati,1994,15,1,74,-8
Duke,2008,1,3,-2,-5
Georgetown,1995,3,7,-5,-3
Providence,1990,1,1,-3,-1
Notre Dame,2013,1,1,-4,-18
New Mexico State,1991,1,1,-19,-8
Wichita State,2016,7,3,7,22
Louisville,2011,1,1,-15,-1
"Charleston, South Carolina",1998,3,1,5,-10
Cincinnati,2000,3,3,14,9
Boise State,1994,1,1,-20,-9
Florida,2014,15,31,38,39
"Xavier, Ohio",2012,1,7,-11,11
Michigan,1996,1,1,-6,-4
Indiana,1991,1,7,-2,14
Massachusetts,1997,31,1,60,-8
Marquette,2012,7,7,-3,19
Lafayette,2000,1,1,-21,-26
Missouri,1988,1,1,-1,-7
Purdue,1987,1,3,-7,-10
Indiana,1995,7,1,12,-5
Nevada-Las Vegas,1986,3,7,2,22
"St. John's, New York",1993,1,3,-4,12
Washington,2010,3,7,11,7
Arizona,1994,1,31,-3,62
Iowa,1988,15,7,24,2
Texas A&M,2007,3,7,7,18
Kentucky,1997,127,63,129,76
Oregon,2008,15,1,12,-7
Boston College,2007,7,3,24,2
Old Dominion,2011,3,1,-7,-2
North Carolina-Asheville,2012,1,1,-19,-7
North Carolina,1987,7,15,15,45
Michigan State,2010,63,31,29,11
UCLA,2015,7,7,23,6
Texas,1991,15,3,23,0
Syracuse,1995,7,3,9,2
Winthrop,2000,1,1,-39,-14
Kansas,2014,7,3,17,8
"Miami, Florida",2000,3,7,11,8
Michigan State,2016,31,1,3,-9
Arizona,1988,1,31,-7,99
Illinois,2005,7,63,33,49
Duke,2001,7,127,23,100
Georgetown,1988,15,3,23,-18
Syracuse,2001,7,3,-1,-19
Virginia,1990,15,3,-12,6
Murray State,1999,1,1,-23,-14
Vanderbilt,2012,1,3,-3,6
Indiana State,2001,1,3,-16,-15
Villanova,2015,3,3,8,38
Creighton,2003,3,1,-11,-6
Cincinnati,2015,1,3,-4,-12
Pennsylvania,2000,1,1,-14,-10
North Carolina A&T,1987,1,1,-25,-17
Virginia,2016,3,15,6,51
Memphis,2008,15,63,16,71
Florida,2005,1,3,-15,-6
Kentucky,1995,3,15,1,79
San Diego State,2013,1,3,-14,5
Missouri,2001,1,3,-14,-11
Western Kentucky,1994,7,1,4,-14
Missouri,2013,1,1,-2,-12
Southern Illinois,2004,1,1,-1,-1
Indiana,1996,1,1,-5,-13
Arizona,2009,1,7,-10,-12
Clemson,1998,7,1,12,-3
North Carolina,2016,7,63,4,78
Iowa,1987,1,15,-2,24
Kentucky,2004,15,3,43,19
Marist,1987,1,1,-15,-25
Oklahoma State,1999,3,3,9,1
Florida State,1992,3,7,-19,9
North Carolina,1994,127,3,94,17
UCLA,2008,31,31,45,59
Georgia Tech,1993,7,1,2,-15
Vermont,2005,1,3,-17,-8
Illinois State,1998,1,3,-12,-32
Maryland,2002,31,127,35,84
Oklahoma State,2005,31,7,48,20
Kansas,2007,1,15,-4,42
Kentucky,2016,31,3,70,22
Maryland,2001,3,31,-20,35
Auburn,1987,15,3,25,-16
Virginia Commonwealth,2015,1,1,-2,-3
Temple,1986,3,3,-14,-11
Syracuse,2014,31,3,75,22
Michigan,1987,3,3,3,3
Nebraska,1992,1,1,-5,-21
Louisville,1997,7,15,5,1
Stanford,2005,3,1,23,-23
Connecticut,1996,15,7,38,18
Pennsylvania,2007,1,1,-8,-16
Seton Hall,1992,15,7,24,7
Utah,1997,7,15,4,25
Wake Forest,2005,7,3,1,10
Memphis,2007,15,15,43,16
Delaware,1993,1,1,-38,-6
Pittsburgh,2004,7,7,45,1
Minnesota,1990,7,15,7,11
Missouri,2010,15,3,27,-1
Purdue,1995,15,3,37,-1
Temple,2009,1,1,-11,-9
Gonzaga,2005,3,3,8,8
Alabama,1990,1,7,-2,37
Kentucky,2015,63,31,12,70
Connecticut,2009,1,31,-1,92
Hampton,2002,3,1,-18,-11
Washington State,2008,3,7,12,30
North Carolina,1997,3,31,2,46
Wisconsin,2000,1,31,-11,22
Wake Forest,1993,1,7,-23,-5
UCLA,2001,7,7,19,5
Texas,2001,3,1,11,-14
Oklahoma,1998,1,1,-13,-7
Oklahoma State,2010,3,1,-6,-5
Florida State,2011,1,7,-7,20
Kansas,1996,7,15,10,63
Tulsa,2003,3,3,-3,12
Harvard,2015,3,1,-3,-2
Princeton,1998,1,3,-3,5
Syracuse,1991,7,1,17,-4
Florida State,1989,1,1,-4,-14
Stephen F. Austin,2016,1,3,-7,13
Seton Hall,1993,7,3,7,18
North Carolina,2001,31,3,18,14
Creighton,2013,3,3,-13,-12
Maryland,1986,7,3,3,-1
Connecticut,1991,15,7,44,19
Duke,1989,31,31,35,36
Texas-El Paso,1990,3,1,-12,-3
Wisconsin,2012,7,7,12,26
Notre Dame,1986,3,1,7,-7
Florida,1995,31,1,26,-3
Georgetown,2013,3,1,12,-10
Utah State,2001,1,3,-8,4
Pittsburgh,2011,3,3,20,22
Louisville,2014,127,7,97,17
"St. John's, New York",1987,3,3,-7,-6
"Pacific, California",2005,3,3,-7,-10
Missouri,2003,15,3,32,-8
Cincinnati,2012,3,7,4,-3
Texas,2005,7,1,12,-4
Gonzaga,2012,3,3,-7,16
Northern Iowa,2006,1,1,-5,-5
Marquette,2009,3,3,7,-3
Missouri,1993,3,1,-6,-14
Purdue,1988,3,7,-10,39
Temple,1996,1,3,-6,5
Nevada-Las Vegas,2013,1,1,-4,-3
West Virginia,2010,1,31,-8,35
North Carolina,1988,15,15,45,35
Arizona,1991,3,7,-10,24
Iowa,2015,1,3,-13,13
UCLA,1994,3,1,9,-10
Texas,2008,3,15,-7,25
"Xavier, Ohio",1989,1,1,-13,-5
Brigham Young,1988,1,3,-4,-15
Tulane,1993,3,3,-12,-29
Florida State,2012,7,3,20,-3
Kansas,2006,1,1,-1,-4
Michigan State,2007,1,3,-10,-2
Oklahoma,2003,31,15,39,21
Princeton,1991,1,1,-4,-2
Colgate,1996,1,1,-14,-9
Syracuse,1996,3,63,2,48
Michigan,2014,63,15,61,30
Kansas,2011,3,15,14,43
Maryland,1997,1,1,-12,-9
Evansville,1993,1,1,-5,-12
Duke,2014,15,1,16,-7
Indiana,1992,7,31,14,84
Vanderbilt,2011,1,1,-1,-3
Notre Dame,2011,1,3,-1,-1
New Mexico State,1993,7,3,9,-23
Texas A&M,2009,3,3,1,-13
Louisville,2009,15,15,57,54
Louisiana State,1990,1,3,-11,4
Cincinnati,2002,7,3,35,34
Texas A&M,2008,7,3,18,1
Samford,2000,1,1,-26,-14
Richmond,2011,1,7,-9,0
Pennsylvania,1994,1,3,-4,-2
Missouri,1990,7,1,32,-3
Butler,2016,3,3,5,2
Indiana,1993,31,15,84,53
Nevada-Las Vegas,1988,31,3,57,-14
Montana,1992,1,1,-34,-10
North Carolina,2015,3,7,0,4
Arizona,1999,15,1,55,-1
Valparaiso,1997,1,1,-39,-7
Purdue,2011,7,3,-3,4
Boston College,2005,3,3,4,12
Ohio State,2000,31,3,50,13
Bucknell,2006,3,3,-8,-12
Oklahoma State,1992,7,7,13,40
Arizona,2002,63,7,71,-8
Michigan State,2012,1,7,-2,13
Brigham Young,2012,7,1,21,-14
Tulsa,1997,1,3,-2,23
Syracuse,1987,3,63,37,47
Southern California,1992,1,3,-3,29
North Carolina State,1987,15,1,12,-12
Villanova,2008,1,7,-9,3
Clemson,2011,1,1,-8,10
Maryland,2004,7,3,13,1
Georgia Tech,1988,1,3,-6,8
Butler,2011,63,63,31,9
Michigan,1990,127,3,59,-28
Louisville,2000,1,1,-4,-11
Creighton,2001,1,1,-3,-13
Connecticut,2003,15,7,18,12
Duke,1993,127,3,75,30
Utah,2000,3,3,14,-9
Florida,2007,127,127,96,85
Utah State,2011,1,1,-16,-5
San Diego State,2011,1,7,-3,18
La Salle,1990,1,3,-9,12
Virginia Commonwealth,2014,3,1,21,-2
Siena,2009,3,3,9,-5
UCLA,1999,7,1,-20,-3
Kentucky,2001,3,7,3,13
Indiana,2002,1,63,-4,38
North Carolina State,2004,1,3,-2,7
Gonzaga,2000,15,7,16,8
Illinois,2002,15,7,70,37
New Mexico,2014,1,1,-6,-5
Marquette,1997,3,1,15,-22
Purdue,2000,7,15,-8,10
Iowa State,1997,3,7,4,12
Brigham Young,2010,1,3,-13,-5
Arizona,2005,1,15,-4,35
Auburn,2000,7,3,38,-16
North Carolina,1992,31,7,73,7
UCLA,2006,1,63,-12,42
Charlotte,2005,1,1,-3,-12
Oklahoma,1989,63,7,81,38
Mississippi State,2005,3,3,18,15
Georgetown,1996,7,15,-3,32
Kansas,1993,3,31,27,49
Rider,1994,1,1,-44,-18
Charlotte,1999,3,3,5,-2
Butler,2001,1,3,-1,-5
Virginia Commonwealth,2013,3,3,1,21
Colorado State,2013,1,3,-17,-14
Nebraska,1994,1,1,-14,-10
Louisville,1995,7,1,2,-21
Louisiana State,1992,1,3,-17,1
Arkansas,2000,3,1,4,-4
Duke,1986,3,63,12,64
Utah,1999,63,3,48,14
Utah State,2006,1,1,-13,-14
Pittsburgh,2006,1,3,-8,9
Loyola Marymount,1990,1,15,-19,25
Western Kentucky,1987,3,3,1,-16
UCLA,1993,15,3,16,9
Gonzaga,2007,7,1,12,-13
Texas,1997,3,7,1,-1
Purdue,1999,7,7,46,-8
Stanford,2002,15,3,35,-7
Ohio State,2014,15,1,27,-1
Nevada-Las Vegas,2008,7,3,6,-6
Wisconsin,2002,1,3,-1,-20
Wake Forest,1995,3,7,-1,32
Arizona,1997,7,127,50,32
Texas,2007,15,3,22,-7
Oklahoma,1996,1,1,-10,-18
Iowa State,2016,1,7,-1,17
Brigham Young,1993,1,3,-11,-5
Kansas,1998,7,3,25,53
Michigan State,2000,31,127,40,92
Tennessee,2010,1,15,-2,20
Valparaiso,1998,1,7,-7,1
Princeton,1992,1,1,-2,-8
Nevada,2006,3,1,-8,-8
