,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Oklahoma,Big 8,,27,5,101.3,80.4,20.97,,9.35,,22.92,3.26,26.18,,,
2,Kansas,Big 8,,30,5,92.1,72.3,19.74,,8.31,,17.47,7.98,25.46,,,
3,Nevada-Las Vegas,Big West,,35,5,93.5,78.5,15.03,,9.43,,21.01,3.44,24.45,,,
4,Georgetown,Big East,,24,7,81.5,64.8,16.68,,9.13,,8.47,12.92,21.39,,,
5,Duke,ACC,,29,9,89.1,76.6,12.53,,8.81,,17.8,3.54,21.34,,,
6,Arizona,Pac-10,,25,7,78.9,66.9,12,,9.04,,9.61,11.43,21.04,,,
7,Arkansas,SWC,,30,5,95.6,79.8,15.8,,3.99,,21.32,-1.53,19.79,,,
8,Syracuse,Big East,,26,7,82.5,71.2,11.27,,8.85,,11.23,7.47,18.69,,,
9,Indiana,Big Ten,,18,11,78.1,70.8,7.28,,11.37,,7.42,11.23,18.64,,,
10,Illinois,Big Ten,,21,8,81.7,72.6,9.1,,9.89,,12.04,6.43,18.46,,,
11,Connecticut,Big East,,31,6,79.1,66.1,12.97,,7.01,,7.97,10.34,18.31,,,
12,Minnesota,Big Ten,,23,9,83.3,73.8,9.56,,8.93,,13.61,4.69,18.3,,,
13,Michigan,Big Ten,,23,8,86.2,77.5,8.65,,10.27,,14.64,3.5,18.14,,,
14,Georgia Tech,ACC,,28,7,88.5,80.8,7.66,,10.33,,17.17,0.82,17.99,,,
15,Purdue,Big Ten,,22,8,71.8,65.5,6.37,,11.38,,2.68,15.06,17.74,,,
16,North Carolina State,ACC,,18,12,82.3,75.1,7.27,,10.43,,11.93,5.77,17.7,,,
17,Louisville,Metro,,27,8,83.8,72.9,10.86,,6.65,,11.6,5.72,17.32,,,
18,Michigan State,Big Ten,,28,6,76.2,68.5,7.76,,8.93,,6.28,10.41,16.69,,,
19,Louisiana State,SEC,,23,9,91.3,81.9,9.41,,7.61,,17.56,-1.05,16.51,,,
20,Loyola Marymount,WCC,,26,6,122.4,108.1,14.38,,1.95,,47.49,-31.17,16.32,,,
21,Alabama,SEC,,26,9,71.8,61.5,10.31,,5.77,,-2.26,18.2,15.95,,,
22,Missouri,Big 8,,26,6,86.8,78.2,8.59,,10.12,,11.82,4.03,15.85,,,
23,Clemson,ACC,,26,9,79.3,69.9,9.43,,6.37,,7.44,8.23,15.67,,,
24,North Carolina,ACC,,21,13,82.6,77.9,4.65,,10.97,,12.44,3.18,15.61,,,
25,Ohio State,Big Ten,,17,13,75.6,73.5,2.07,,11.99,,6.71,7.36,14.06,,,
26,Oregon State,Pac-10,,22,7,78.3,71.6,6.79,,6.91,,8.48,5.23,13.71,,,
27,Providence,Big East,,17,12,83.9,77.3,6.55,,7.05,,13.29,0.31,13.6,,,
28,Xavier,MW Coll,,28,5,84.2,73,11.12,,3.83,,9.63,3.85,13.48,,,
29,La Salle,MAAC (South),,30,2,86.1,71.3,14.72,,-1.34,,12.69,0.7,13.38,,,
30,UCLA,Pac-10,,22,11,80.5,75.6,4.85,,8.75,,11.93,1.37,13.3,,,
31,Texas,SWC,,24,9,93.7,85.1,8.55,,5.73,,20.56,-7.36,13.2,,,
32,UC-Santa Barbara,Big West,,21,9,75.6,67.5,8.03,,4.98,,1.89,11.13,13.02,,,
33,St. John's (NY),Big East,,24,10,71.8,66.1,5.62,,7.28,,1.16,11.68,12.84,,,
34,Alabama-Birmingham,Sun Belt,,22,9,80.1,69.6,10.48,,2.16,,6.14,6.5,12.64,,,
35,Kansas State,Big 8,,17,15,72.3,68.6,3.75,,8.81,,-0.56,13.12,12.56,,,
36,Virginia,ACC,,20,12,72.5,69.9,2.56,,9.56,,0.97,11.15,12.13,,,
37,Ball State,MAC,,26,7,71.5,58.6,12.88,,1.06,,-3.46,15.48,12.03,,,
38,Notre Dame,Ind,,16,13,79.4,75,4.41,,7.6,,7.26,4.75,12.01,,,
39,Pittsburgh,Big East,,12,17,83.7,83,0.66,,11.15,,14.11,-2.31,11.81,,,
40,Georgia,SEC,,20,9,82.7,76.4,6.31,,5.47,,10.17,1.61,11.78,,,
41,New Mexico State,Big West,,26,5,80.5,72.3,8.19,,4.84,,6.45,5.15,11.6,,,
42,Oklahoma State,Big 8,,17,14,82.6,78.8,3.77,,8.78,,7.9,3.22,11.11,,,
43,Missouri State,Mid-Cont,,22,7,76.9,65.6,11.24,,-0.24,,2.08,8.93,11.01,,,
44,University of California,Pac-10,,22,10,75.8,70.4,5.41,,6.11,,4.83,6.12,10.95,,,
45,Maryland,ACC,,19,14,83.2,77.7,5.58,,6.1,,9.8,1.11,10.91,,,
46,Houston,SWC,,25,8,81.2,73.5,7.67,,4.4,,7.2,3.61,10.81,,,
47,Colorado State,WAC,,21,9,67.6,59.3,8.37,,3.17,,-3.49,14.04,10.55,,,
48,Villanova,Big East,,18,15,70.5,68.8,1.67,,8.89,,-0.12,10.62,10.5,,,
49,New Mexico,WAC,,20,14,76.9,69.6,7.24,,4.64,,6.24,4.25,10.49,,,
50,Hawaii,WAC,,25,10,73.5,67.3,6.26,,5.57,,2.91,7.51,10.42,,,
51,Memphis,Metro,,18,12,78.9,73.9,4.97,,5.1,,6.3,3.86,10.16,,,
52,Stanford,Pac-10,,18,12,67.7,63.7,4.07,,6.79,,-3.66,13.56,9.9,,,
53,Dayton,MW Coll,,22,10,89.7,83.6,6.06,,3.69,,17.28,-7.52,9.76,,,
54,Kentucky,SEC,,14,14,88.8,87.9,0.93,,8.45,,16.68,-7.27,9.41,,,
55,Texas-El Paso,WAC,,21,11,69.5,64,5.5,,4.53,,-1.28,10.69,9.41,,,
56,Brigham Young,WAC,,21,9,70.3,65.7,4.63,,4.83,,0.45,8.95,9.4,,,
57,Long Beach State,Big West,,23,9,79.7,75.5,4.19,,4.54,,7.18,1.54,8.73,,,
58,Temple,A-10,,20,11,68.6,63.9,4.74,,3.92,,-4.89,13.56,8.67,,,
59,Wisconsin,Big Ten,,14,17,65.5,64.6,0.87,,9.39,,-5.28,13.94,8.66,,,
60,Marquette,MW Coll,,15,14,73.4,68.5,4.9,,3.73,,2.75,5.87,8.63,,,
61,Mississippi State,SEC,,16,14,77.3,74.8,2.5,,7.09,,4.82,3.65,8.46,,,
62,Seton Hall,Big East,,12,16,71,72.2,-1.25,,10.34,,0.48,7.94,8.42,,,
63,Saint Louis,MW Coll,,21,12,73.4,68.8,4.64,,3.49,,1.14,7.19,8.33,,,
64,Southern Illinois,MVC,,26,8,80.4,71.5,8.91,,-0.02,,7.74,0.23,7.98,,,
65,Vanderbilt,SEC,,21,14,78.3,77.8,0.46,,7.59,,6.71,1.17,7.88,,,
66,Wake Forest,ACC,,12,16,68.8,69.4,-0.57,,8.38,,-1.81,9.62,7.81,,,
67,DePaul,Ind,,20,15,66.5,65,1.57,,6.37,,-5.7,13.45,7.75,,,
68,Bowling Green State,MAC,,18,11,77.1,71,6.14,,2.27,,3.39,4.06,7.45,,,
69,Cincinnati,Metro,,20,14,72.6,69.4,3.26,,3.93,,-2.15,9.34,7.19,,,
70,Idaho,Big Sky,,25,6,76.9,65.2,11.68,,-3.92,,-0.75,7.55,6.8,,,
71,Iowa,Big Ten,,12,16,75.4,80.1,-4.71,,11.5,,6.07,0.71,6.78,,,
72,Louisiana Tech,ASC,,20,8,80.4,73.8,6.57,,-0.36,,5.87,0.42,6.29,,,
73,Tennessee,SEC,,16,14,81.9,83,-1.13,,7.4,,9.97,-3.7,6.26,,,
74,Oregon,Pac-10,,15,14,71.3,73.9,-2.55,,8.43,,1.87,4.36,6.22,,,
75,Wyoming,WAC,,15,14,72,69.8,2.21,,4,,1.97,4.23,6.2,,,
76,Iowa State,Big 8,,10,18,85.3,88.9,-3.64,,9.86,,13.61,-7.43,6.18,,,
77,Colorado,Big 8,,12,18,81.2,83.9,-2.67,,9.52,,8.22,-2.08,6.14,,,
78,Texas Christian,SWC,,16,13,74.7,67.3,7.38,,1.12,,-2.14,8.26,6.12,,,
79,Penn State,A-10,,25,9,68.9,63.9,5.03,,1.91,,-5.11,11.05,5.94,,,
80,East Tennessee State,Southern,,27,7,89.2,78.6,10.56,,-1.9,,11.17,-5.37,5.8,,,
81,Southern Mississippi,Metro,,20,12,81.3,78.8,2.47,,3.29,,7.34,-1.58,5.76,,,
82,Utah,WAC,,16,14,68.1,64.7,3.33,,6.26,,-2.76,8.44,5.68,,,
83,Auburn,SEC,,13,18,77.7,79.8,-2.1,,6.93,,4.16,1.5,5.66,,,
84,Florida State,Metro,,16,15,76.6,75.5,1.13,,4.35,,4.42,1.1,5.51,,,
85,Mississippi,SEC,,13,17,76.1,78.6,-2.5,,7.92,,3.31,2.19,5.5,,,
