,,,,,,,,,,,,SRS,,,Adjusted,,
86,West Virginia,A-10,,16,12,78.2,73.6,4.57,,0.76,,3.91,1.42,5.34,,,
87,Massachusetts,A-10,,17,14,74.6,70.4,4.29,,0.83,,2.17,3.12,5.3,,,
88,Kent State,MAC,,21,8,73.3,68.5,4.79,,1.47,,0.69,4.6,5.29,,,
89,Arizona State,Pac-10,,15,16,65.5,67.3,-1.77,,7.01,,-5.13,10.18,5.04,,,
90,Creighton,MVC,,21,12,78.7,75.8,2.85,,2.12,,5.63,-0.63,5,,,
91,Princeton,Ivy,,20,7,62.6,51,11.56,,-5.41,,-15.5,20.41,4.91,,,
92,Washington,Pac-10,,11,17,63.8,65.1,-1.29,,8.29,,-7.45,12.32,4.86,,,
93,Northwestern,Big Ten,,9,19,78.2,82.3,-4.11,,11.09,,8.36,-3.57,4.79,,,
94,Southern California,Pac-10,,12,16,74.5,75,-0.5,,5.29,,4.65,0.14,4.79,,,
95,Tulsa,MVC,,17,13,74.8,72.5,2.23,,2.52,,1.26,3.49,4.75,,,
96,Green Bay,Mid-Cont,,24,8,65.1,59.8,5.31,,-0.61,,-8.66,13.21,4.55,,,
97,Miami (OH),MAC,,14,15,78.2,76.1,2.07,,2.47,,6.83,-2.3,4.54,,,
98,Northern Iowa,Mid-Cont,,23,9,77.9,72.8,5.16,,0.3,,3.23,1.14,4.36,,,
99,Cal State Fullerton,Big West,,13,16,76,75.9,0.1,,5.13,,3.17,1.11,4.28,,,
100,Florida,SEC,,7,21,67.8,72.5,-4.68,,9.24,,-5.46,9.6,4.14,,,
101,Illinois State,MVC,,18,13,72.1,71.5,0.58,,3.19,,0.08,4.02,4.1,,,
102,James Madison,CAA,,20,11,75.9,70.1,5.84,,-1.97,,2.01,1.86,3.87,,,
103,Old Dominion,Sun Belt,,14,14,77.8,75.5,2.25,,1.61,,3.95,-0.1,3.86,,,
104,Baylor,SWC,,16,14,75.9,74,1.83,,2.02,,0.66,3.19,3.85,,,
105,New Orleans,ASC,,21,11,71.2,66.8,4.38,,0.09,,-6.22,10.05,3.83,,,
106,Evansville,MW Coll,,17,15,69.3,67.9,1.41,,2.91,,-3.66,7.48,3.81,,,
107,Rutgers,A-10,,18,17,75.8,73.9,1.91,,3.1,,3.52,0.26,3.78,,,
108,Louisiana-Monroe,Southland,,22,8,79.8,69,10.83,,-7.35,,1.04,2.31,3.35,,,
109,Eastern Michigan,MAC,,19,13,75.3,73,2.25,,2.57,,1.77,1.46,3.23,,,
110,Holy Cross,MAAC (North),,24,6,85.4,76.4,9.03,,-6.11,,7.97,-4.97,3,,,
111,Fresno State,Big West,,10,19,65.9,67.8,-1.9,,4.82,,-5.87,8.8,2.93,,,
112,Louisiana,ASC,,20,9,90.4,85.2,5.24,,-2.37,,14.69,-11.83,2.87,,,
113,Wichita State,MVC,,10,19,69.1,71.3,-2.24,,4.88,,-1.75,4.4,2.64,,,
114,Rhode Island,A-10,,15,13,77.8,74,3.75,,0.5,,2.83,-0.45,2.38,,,
115,Nebraska,Big 8,,10,18,80.7,86.1,-5.39,,7.76,,7.24,-4.87,2.37,,,
116,Pepperdine,WCC,,17,11,84.6,80.6,4,,-0.79,,7.41,-5.09,2.32,,,
117,South Carolina,Metro,,14,14,65.1,66.8,-1.75,,3.95,,-7.99,10.19,2.2,,,
118,Charlotte,Sun Belt,,16,14,78.7,77.2,1.57,,0.58,,5.35,-3.24,2.11,,,
119,Pacific,Big West,,15,14,68.3,69.8,-1.48,,4.66,,-5.81,7.76,1.95,,,
120,Fordham,MAAC (North),,20,13,74.9,70.5,4.48,,-2.69,,-0.76,2.55,1.79,,,
121,Southern,SWAC,,25,6,99.3,84.1,15.19,,-9.12,,14.47,-12.89,1.58,,,
122,South Florida,Sun Belt,,20,11,78.5,75.2,3.29,,-1.69,,2,-0.43,1.57,,,
123,Toledo,MAC,,12,16,70.6,71.9,-1.21,,2.6,,-2.02,3.41,1.39,,,
124,Utah State,Big West,,14,16,75.9,78.4,-2.57,,5.13,,4.38,-3.08,1.31,,,
125,Texas-Rio Grande Valley,ASC,,21,9,79.9,73.4,6.53,,-3.48,,1.43,-0.26,1.16,,,
126,Texas A&M,SWC,,14,17,81.2,83,-1.74,,1.9,,6.7,-5.67,1.03,,,
127,Boston College,Big East,,8,20,72.3,77.6,-5.36,,6.25,,0.42,0.54,0.96,,,
128,Richmond,CAA,,22,10,70,67.9,2.06,,-1.14,,-3.83,4.75,0.92,,,
129,Cleveland State,Mid-Cont,,15,13,83.1,80.8,2.32,,-0.64,,7.75,-6.99,0.76,,,
130,Virginia Tech,Metro,,13,18,76.9,80.3,-3.35,,4,,4.38,-3.87,0.52,,,
131,Appalachian State,Southern,,19,11,81.7,76.5,5.27,,-4.63,,3.76,-3.36,0.4,,,
132,Little Rock,A-Sun,,20,10,86.9,81,5.83,,-5.55,,6.78,-6.5,0.28,,,
133,San Diego,WCC,,16,12,79.1,74.8,4.39,,-3.04,,0.18,0,0.18,,,
134,Texas Southern,SWAC,,19,12,84.8,77.2,7.55,,-5.72,,2.76,-2.58,0.18,,,
135,Rice,SWC,,11,17,73.2,75.5,-2.25,,2.63,,-0.85,0.99,0.15,,,
136,Montana,Big Sky,,18,11,70.5,63.9,6.59,,-4.25,,-5.43,5.53,0.1,,,
137,South Alabama,Sun Belt,,11,17,78.7,80.5,-1.79,,1.84,,4.15,-4.1,0.05,,,
138,Washington State,Pac-10,,7,22,67.7,71.9,-4.24,,7.18,,-4.21,4.24,0.03,,,
139,Robert Morris,NEC,,22,8,77,69.3,7.7,,-5.91,,-1.97,1.99,0.02,,,
140,Eastern Washington,Big Sky,,18,11,76.1,72.4,3.72,,-3.54,,1.99,-2,0,,,
141,Arkansas State,ASC,,15,13,74.8,72.8,2,,-2.14,,-1.57,1.43,-0.14,,,
142,Wright State,Ind,,21,7,91.1,84.2,6.93,,-5.72,,11.5,-11.65,-0.16,,,
143,Illinois-Chicago,Mid-Cont,,16,12,69,67.2,1.75,,-1.08,,-5.98,5.24,-0.74,,,
144,American,CAA,,20,9,70.1,65.9,4.28,,-3.79,,-5.97,5.22,-0.75,,,
145,Texas-San Antonio,A-Sun,,22,7,90,80.6,9.38,,-9.71,,10.3,-11.12,-0.82,,,
146,Western Illinois,Mid-Cont,,16,13,71.8,70.8,1.07,,0.39,,-1.54,0.62,-0.92,,,
147,San Diego State,WAC,,13,18,64.1,67.6,-3.52,,3.44,,-6.93,5.92,-1.01,,,
148,Drake,MVC,,13,18,72.5,74,-1.55,,0.42,,-3.33,2.2,-1.13,,,
149,Western Kentucky,Sun Belt,,13,17,69.1,71.9,-2.8,,2.52,,-5.09,3.54,-1.55,,,
150,Virginia Commonwealth,Sun Belt,,11,17,66.5,69.3,-2.79,,1.98,,-7.74,6.12,-1.62,,,
151,Boston University,NAC,,18,12,72.3,70.4,1.9,,-2.86,,-3.43,1.8,-1.63,,,
152,Monmouth,NEC,,17,12,67,62.7,4.34,,-6.05,,-11.59,9.89,-1.7,,,
153,Air Force,WAC,,12,20,66.8,69.4,-2.63,,3.71,,-7.64,5.79,-1.86,,,
154,Marshall,Southern,,15,13,76.1,73.6,2.54,,-1.79,,-2.8,0.94,-1.86,,,
155,Northern Illinois,Ind,,17,11,62.5,61.1,1.46,,-3.29,,-14.13,12.25,-1.88,,,
156,Central Michigan,MAC,,13,17,69.4,72.2,-2.77,,2.28,,-4.38,2.49,-1.9,,,
157,Detroit Mercy,MW Coll,,10,18,74,78.3,-4.32,,2.32,,0.78,-2.79,-2,,,
158,Southern Methodist,SWC,,10,18,59,65.4,-6.39,,4.34,,-16.23,14.18,-2.05,,,
159,Bradley,MVC,,11,20,72.3,76.5,-4.23,,2.5,,0.66,-2.79,-2.14,,,
160,Murray State,OVC,,21,9,73.9,70.6,3.3,,-4.61,,-3.3,1.04,-2.25,,,
161,Akron,Ind,,16,12,72.1,70.5,1.64,,-3.12,,-6.5,4.07,-2.43,,,
162,Ohio,MAC,,12,16,70.7,73.6,-2.96,,1.5,,-3.62,0.97,-2.65,,,
163,Coppin State,MEAC,,26,7,75.9,66.7,9.24,,-10.11,,-5.88,3.22,-2.67,,,
164,San Jose State,Big West,,8,20,68.9,75.5,-6.61,,3.93,,-2.99,0.32,-2.68,,,
165,Centenary (LA),A-Sun,,22,8,95.9,90.4,5.5,,-5.5,,15.03,-17.83,-2.8,,,
166,Jacksonville,Sun Belt,,13,16,76.5,78.9,-2.45,,-0.44,,-0.19,-2.63,-2.82,,,
167,George Mason,CAA,,20,12,74.3,72.5,1.84,,-4.04,,0.48,-3.62,-3.14,,,
168,Hartford,NAC,,17,11,69,65.6,3.39,,-6.68,,-8.18,4.9,-3.29,,,
169,Delaware,ECC,,16,13,72.2,67.9,4.38,,-5.69,,-4.75,1.34,-3.41,,,
170,Indiana State,MVC,,8,20,61.4,67.2,-5.79,,3.03,,-11.35,7.94,-3.42,,,
171,Butler,MW Coll,,6,22,63.1,70.8,-7.75,,4.3,,-7.89,4.44,-3.45,,,
172,George Washington,A-10,,14,17,75.9,78.5,-2.55,,-1.62,,2.58,-6.21,-3.62,,,
173,Siena,MAAC (North),,16,13,78.3,79,-0.62,,-2.49,,3.63,-7.27,-3.64,,,
174,Coastal Carolina,Big South,,23,6,77,69.9,7.1,,-9.53,,-3.05,-0.6,-3.65,,,
175,Weber State,Big Sky,,14,15,66.6,65.6,0.97,,-3.83,,-10.21,6.54,-3.68,,,
176,Missouri-Kansas City,Ind,,13,15,78,76.7,1.29,,-2.35,,0.93,-4.64,-3.71,,,
177,Lehigh,ECC,,18,12,77.1,73.2,3.9,,-5.98,,0.24,-3.98,-3.73,,,
178,UC-Irvine,Big West,,5,23,71.7,80.6,-8.89,,5.04,,-0.17,-3.69,-3.86,,,
179,Loyola (IL),MW Coll,,7,22,65.5,72.6,-7.07,,3.08,,-7.96,3.97,-3.99,,,
180,Nevada,Big Sky,,15,13,77.6,77.1,0.5,,-2.9,,1.29,-5.38,-4.08,,,
181,Tennessee Tech,OVC,,19,9,84.1,79.9,4.18,,-5.28,,2.22,-6.34,-4.12,,,
182,Northeastern,NAC,,16,12,76.3,74.5,1.82,,-5.82,,0.49,-4.75,-4.26,,,
183,Towson,ECC,,18,13,80,78.5,1.45,,-4.58,,2.13,-6.4,-4.28,,,
184,Marist,NEC,,17,11,73.8,68.9,4.89,,-8.09,,-5.78,1.32,-4.46,,,
185,Texas Tech,SWC,,5,22,69.1,74,-4.93,,3.67,,-7.24,2.66,-4.58,,,
186,Miami (FL),Ind,,13,15,71.9,76.1,-4.21,,-0.88,,-3.02,-2.08,-5.1,,,
187,Georgia Southern,A-Sun,,17,11,79,75.9,3.14,,-8.44,,-2.57,-2.72,-5.29,,,
188,Lafayette,ECC,,15,13,69.3,69,0.36,,-5.41,,-7.86,2.49,-5.37,,,
189,Santa Clara,WCC,,9,19,66,70.5,-4.54,,-0.79,,-10.33,4.84,-5.49,,,
190,Western Michigan,MAC,,9,18,72.3,76.4,-4.07,,0.39,,-1.67,-3.82,-5.49,,,
191,VMI,Southern,,14,15,77.2,76.7,0.52,,-2.39,,-1.58,-3.97,-5.55,,,
192,Chattanooga,Southern,,14,14,75.9,75.3,0.57,,-4.06,,-3.92,-1.64,-5.56,,,
193,Eastern Illinois,Mid-Cont,,10,18,69.2,74.8,-5.61,,0.56,,-4.06,-1.57,-5.63,,,
194,Saint Peter's,MAAC (South),,14,14,66.3,66.4,-0.14,,-4.41,,-9.39,3.71,-5.68,,,
195,Duquesne,A-10,,7,22,70.2,77.8,-7.55,,1.86,,-2.24,-3.49,-5.73,,,
196,San Francisco,WCC,,8,20,74.3,80.9,-6.57,,0.27,,-0.74,-5,-5.73,,,
197,Furman,Southern,,15,16,76.8,78,-1.26,,-1.9,,-0.19,-5.63,-5.82,,,
198,Fairleigh Dickinson,NEC,,16,13,73.1,71.1,1.93,,-7.1,,-4.97,-0.99,-5.96,,,
199,Southern Utah,Ind,,13,15,87.3,88.2,-0.93,,-3.41,,8.15,-14.23,-6.08,,,
200,Montana State,Big Sky,,17,12,77.4,75.9,1.52,,-5.63,,0.55,-6.74,-6.18,,,
201,Austin Peay,OVC,,10,19,70.6,74.3,-3.69,,-1.81,,-6.4,0.22,-6.19,,,
202,Yale,Ivy,,19,7,67.3,61.1,6.27,,-10.34,,-12.26,5.63,-6.63,,,
203,Saint Joseph's,A-10,,7,21,68.8,77.3,-8.57,,1.91,,-5.23,-1.43,-6.66,,,
204,Eastern Kentucky,OVC,,13,17,67.2,68.1,-0.93,,-2.95,,-11.31,4.58,-6.73,,,
205,Tulane,Metro,,4,24,72.1,82,-9.89,,3.13,,-0.09,-6.68,-6.77,,,
206,Stetson,A-Sun,,15,17,80.6,82.6,-2.06,,-4.54,,-0.97,-5.82,-6.8,,,
207,Middle Tennessee,OVC,,12,15,77.3,77.6,-0.33,,-4.01,,-1.45,-5.36,-6.81,,,
208,East Carolina,CAA,,13,18,63.5,65.7,-2.26,,-3.87,,-12.72,5.77,-6.95,,,
209,Portland,WCC,,11,17,71.4,76.6,-5.25,,-1.24,,-5.54,-1.55,-7.09,,,
210,Mount St. Mary's,NEC,,16,12,77.2,78.5,-1.32,,-6.6,,-1.04,-6.17,-7.21,,,
211,Drexel,ECC,,13,15,76.6,76.6,0.04,,-7.36,,-1.14,-6.22,-7.36,,,
212,Pennsylvania,Ivy,,12,14,70.7,71.1,-0.46,,-6.97,,-3.81,-3.62,-7.43,,,
213,Bucknell,ECC,,15,14,77,74.5,2.48,,-7.27,,-2.28,-5.22,-7.5,,,
214,Hofstra,ECC,,13,15,67.4,69.1,-1.71,,-5.72,,-9.61,2,-7.61,,,
215,McNeese State,Southland,,14,13,68.5,69.7,-1.22,,-6.4,,-12.14,4.36,-7.77,,,
216,Morehead State,OVC,,16,13,78.6,77.3,1.24,,-8.07,,-2.56,-5.32,-7.88,,,
217,North Carolina-Wilmington,CAA,,8,20,63.8,66.8,-2.96,,-4.51,,-10.32,2.37,-7.95,,,
218,Citadel,Southern,,12,16,74.1,77.8,-3.68,,-2.64,,-2.78,-5.23,-8.01,,,
219,Saint Francis (PA),NEC,,17,11,77.7,77.8,-0.07,,-7.94,,-1.01,-7.15,-8.16,,,
220,Canisius,MAAC (North),,11,18,68.7,72.8,-4.03,,-3.44,,-7.81,-0.66,-8.47,,,
221,Iona,MAAC (South),,13,15,63.1,67.9,-4.82,,-4.14,,-10.04,1.33,-8.71,,,
222,North Carolina-Asheville,Big South,,18,12,77.9,74.8,3.1,,-9.32,,-2.36,-6.54,-8.9,,,
223,Manhattan,MAAC (South),,11,17,68.4,73.2,-4.86,,-4.74,,-7.11,-2.42,-9.52,,,
224,Florida A&M,MEAC,,18,11,77.1,74.8,2.31,,-11.73,,-4.57,-5.12,-9.69,,,
225,Gonzaga,WCC,,8,20,68.1,73,-4.93,,-0.87,,-11.36,1.62,-9.75,,,
226,Texas State,Southland,,13,15,82,82.9,-0.86,,-9.11,,3.28,-13.18,-9.9,,,
227,Army,MAAC (North),,10,19,69.6,74,-4.48,,-4.26,,-6.82,-3.12,-9.94,,,
228,Fairfield,MAAC (South),,10,19,57.7,63.2,-5.55,,-4.56,,-17.73,7.61,-10.11,,,
229,Western Carolina,Southern,,10,18,74.5,78.4,-3.93,,-3.02,,-6.14,-4.13,-10.27,,,
230,U.S. International,Ind,,12,16,97.8,102,-4.18,,-2.81,,17.12,-27.47,-10.35,,,
231,Maine,NAC,,11,17,67.8,72.4,-4.61,,-6,,-8.35,-2.26,-10.61,,,
232,Sam Houston State,Southland,,10,18,77.3,83.4,-6.11,,-4.6,,-1.08,-9.63,-10.7,,,
233,St. Bonaventure,A-10,,8,20,70.3,79.5,-9.29,,-1.51,,-4.59,-6.2,-10.79,,,
234,Northwestern State,Southland,,10,19,78.7,81.2,-2.55,,-8.4,,-1.89,-9.27,-11.16,,,
235,Navy,CAA,,5,23,67.9,74.5,-6.57,,-4.67,,-6.99,-4.25,-11.24,,,
236,Wagner,NEC,,11,17,72.2,72.4,-0.21,,-8.74,,-6,-5.33,-11.33,,,
237,Boise State,Big Sky,,12,15,56.4,62.3,-5.96,,-4.59,,-19.7,8.33,-11.36,,,
238,Chicago State,Ind,,6,22,68.6,78.3,-9.61,,0.24,,-10.91,-0.62,-11.53,,,
239,Texas-Arlington,Southland,,13,16,64.3,67.6,-3.28,,-8.48,,-15.99,4.31,-11.69,,,
240,Dartmouth,Ivy,,12,14,66,69.9,-3.92,,-7.89,,-9.9,-1.91,-11.81,,,
241,Niagara,MAAC (North),,6,22,68.5,77.3,-8.79,,-2.68,,-7.57,-4.28,-11.86,,,
242,Vermont,NAC,,13,17,70.2,72.5,-2.27,,-7.59,,-7.86,-4.02,-11.88,,,
243,North Carolina A&T,MEAC,,12,17,74.3,75.5,-1.24,,-10.33,,-9.08,-3.18,-12.25,,,
244,Lamar,ASC,,7,21,69.4,80.3,-10.93,,-0.75,,-5.73,-6.57,-12.3,,,
245,Cornell,Ivy,,12,17,69.7,72.1,-2.41,,-7.12,,-8.36,-4.03,-12.39,,,
246,Delaware State,MEAC,,14,14,83.8,85.1,-1.29,,-11.16,,3.05,-15.49,-12.44,,,
247,Saint Mary's (CA),WCC,,7,20,66.7,78.4,-11.74,,-0.85,,-10.48,-2.11,-12.59,,,
248,Alabama State,SWAC,,15,13,91.2,94.5,-3.32,,-8.05,,8.18,-20.83,-12.65,,,
249,Tennessee State,OVC,,7,20,80,86.7,-6.67,,-5.39,,3.31,-16.04,-12.73,,,
250,Mississippi Valley State,SWAC,,11,18,83.4,88.8,-5.31,,-6.13,,1.24,-14.03,-12.78,,,
251,Valparaiso,Mid-Cont,,4,24,65.7,78,-12.32,,0.58,,-7.37,-5.47,-12.85,,,
252,Jackson State,SWAC,,9,19,77.4,81.7,-4.29,,-6.9,,-6.11,-6.91,-13.02,,,
253,Winthrop,Big South,,19,10,72.1,71.8,0.24,,-11.85,,-9.61,-3.47,-13.09,,,
254,Youngstown State,Ind,,8,20,77,83.4,-6.43,,-5.06,,-1.99,-11.36,-13.35,,,
255,Harvard,Ivy,,12,14,77.9,83.4,-5.54,,-6.94,,3.11,-16.8,-13.69,,,
256,Brown,Ivy,,10,16,66.3,69.7,-3.42,,-7.83,,-11.69,-2.1,-13.79,,,
257,Loyola (MD),MAAC (South),,4,24,65.3,73,-7.79,,-5.7,,-11.24,-2.98,-14.22,,,
258,Northern Arizona,Big Sky,,8,20,64.9,75.5,-10.57,,-2,,-9.74,-4.58,-14.32,,,
259,Grambling,SWAC,,9,19,78.9,85.8,-6.86,,-6.5,,-2.3,-12.05,-14.34,,,
260,Campbell,Big South,,15,13,69.3,72.2,-2.93,,-11.24,,-8.5,-5.86,-14.36,,,
261,Prairie View,SWAC,,9,18,76.4,82.6,-6.26,,-5.54,,-7.25,-7.13,-14.38,,,
262,Hardin-Simmons,A-Sun,,9,18,75,82.3,-7.26,,-4.44,,-8.6,-5.8,-14.4,,,
