,,,,,,,,,,,,SRS,,,Adjusted,,
112,Texas,SWC,,14,17,63.5,66.1,-2.58,,5.52,,-6.01,8.12,2.1,,,
113,Kent State,MAC,,19,10,74.3,68.4,5.9,,-2.12,,-0.88,2.79,1.91,,,
114,Xavier,MW Coll,,19,13,79,74.3,4.66,,-0.17,,4.08,-2.32,1.76,,,
115,Boston College,Big East,,11,18,64.6,68,-3.34,,5.28,,-5.13,6.79,1.66,,,
116,Utah State,PCAA,,15,16,82.8,85.6,-2.81,,4.31,,12.39,-10.76,1.63,,,
117,Colorado,Big 8,,9,19,63.4,69,-5.61,,6.89,,-5.61,6.97,1.36,,,
118,Long Beach State,PCAA,,12,19,71.4,76.7,-5.26,,6.43,,1.37,-0.14,1.23,,,
119,Minnesota,Big Ten,,9,19,67.9,74.7,-6.75,,8.18,,-1.7,2.69,0.99,,,
120,Dayton,Ind,,13,15,68.9,71.1,-2.21,,3.42,,-0.81,1.6,0.79,,,
121,Boston University,ECACN,,18,12,74,68.8,5.13,,-3.57,,-1.9,2.64,0.74,,,
122,South Alabama,Sun Belt,,14,14,79,76.7,2.25,,0.12,,5.91,-5.27,0.64,,,
123,McNeese State,Southland,,14,14,70.2,69.6,0.64,,1.54,,-2.12,2.66,0.54,,,
124,Oklahoma State,Big 8,,8,20,69.4,76.8,-7.43,,8.56,,-0.45,0.98,0.52,,,
125,George Mason,CAA,,15,13,70.5,68.5,2.04,,-0.8,,-2.45,2.61,0.16,,,
126,Lamar,Southland,,14,15,66.7,66.3,0.45,,1.18,,-5.85,5.95,0.11,,,
127,Pepperdine,WCAC,,12,18,74.1,75.9,-1.8,,2.03,,3.8,-3.7,0.1,,,
128,Montana,Big Sky,,18,11,76.7,71.9,4.79,,-1.05,,2.4,-2.32,0.07,,,
129,Davidson,Southern,,20,10,76.1,68.6,7.43,,-5.31,,0.34,-0.54,-0.19,,,
130,Pennsylvania,Ivy,,13,14,78.9,79.3,-0.41,,0.07,,5.1,-5.44,-0.34,,,
131,South Florida,Sun Belt,,8,20,65.1,68.8,-3.71,,4.31,,-7.42,7.08,-0.35,,,
132,Eastern Michigan,MAC,,14,15,76.8,71.8,4.97,,-1.95,,1.94,-2.33,-0.39,,,
133,Saint Peter's,MAAC,,21,8,67.7,62.4,5.24,,-4.69,,-7.06,6.62,-0.44,,,
134,Southern Illinois,MVC,,12,17,74.4,77.9,-3.52,,3.55,,6.54,-7.15,-0.6,,,
135,North Carolina A&T,MEAC,,24,6,74.6,63.1,11.5,,-12.2,,-3.24,2.58,-0.66,,,
136,Saint Mary's (CA),WCAC,,17,13,61.5,58.9,2.63,,0.26,,-14.16,13.42,-0.74,,,
137,James Madison,CAA,,20,10,75.5,73.6,1.93,,-1.84,,3.81,-4.62,-0.81,,,
138,Nevada,Big Sky,,15,15,80.4,82.2,-1.8,,1.7,,7.6,-8.48,-0.88,,,
139,Mississippi State,SEC,,7,21,57.9,65.5,-7.54,,10.78,,-12.5,11.53,-0.97,,,
140,Evansville,MW Coll,,16,12,70.1,70.6,-0.5,,-0.37,,-2.53,1.53,-1,,,
141,Virginia Tech,Metro,,10,18,72.6,76.1,-3.46,,4.13,,1.55,-2.56,-1.01,,,
142,North Texas,Southland,,11,17,80,78.5,1.46,,0.25,,8.15,-9.26,-1.11,,,
143,Cincinnati,Metro,,12,16,67.9,70.3,-2.39,,2.76,,-3.77,2.64,-1.13,,,
144,Creighton,MVC,,9,19,66.6,72.5,-5.89,,5.45,,-1.81,0.69,-1.13,,,
145,Idaho State,Big Sky,,15,16,68.7,67.2,1.52,,0.37,,-5.36,4.2,-1.16,,,
146,Stetson,A-Sun,,18,13,72.5,71.5,1,,-1.86,,-2.73,1.55,-1.19,,,
147,Colorado State,WAC,,13,16,66.3,69.7,-3.38,,2.96,,-5.94,4.58,-1.35,,,
148,Chattanooga,Southern,,21,8,74.7,69.6,5.14,,-6.05,,-0.36,-1,-1.36,,,
149,Connecticut,Big East,,9,19,62.1,68.6,-6.46,,5.85,,-7.03,5.63,-1.4,,,
150,San Francisco,WCAC,,16,12,72.6,71.3,1.29,,0.01,,-0.66,-0.8,-1.45,,,
151,Washington State,Pac-10,,10,18,65.3,71,-5.64,,4.15,,-4.59,3.14,-1.45,,,
152,Richmond,CAA,,15,14,67.4,67.6,-0.1,,-1.38,,-4.16,2.67,-1.49,,,
153,Texas-Rio Grande Valley,Ind,,16,12,77.8,73.1,4.68,,-3.16,,2.59,-4.21,-1.62,,,
154,Charleston Southern,Big South,,21,9,81.5,71.6,9.9,,-10.01,,2.98,-4.84,-1.85,,,
155,Portland,WCAC,,14,14,66.2,67.6,-1.43,,1.65,,-5.27,3.4,-1.87,,,
156,Pacific,PCAA,,10,17,63.3,68.7,-5.41,,4.58,,-7.35,5.2,-2.14,,,
157,George Washington,A-10,,10,19,77.6,78.4,-0.83,,1.62,,4.95,-7.1,-2.15,,,
158,Green Bay,Mid-Cont,,15,14,60.3,59.1,1.21,,-2.64,,-13.2,10.99,-2.22,,,
159,Little Rock,A-Sun,,26,11,71.3,69.1,2.19,,-3.56,,-5.46,3.05,-2.41,,,
160,Morehead State,OVC,,14,14,79.6,74,5.61,,-2.42,,-0.11,-2.4,-2.5,,,
161,Fordham,MAAC,,14,16,77.3,77.1,0.17,,-2.48,,4.53,-7.11,-2.58,,,
162,Idaho,Big Sky,,16,14,66.3,65.7,0.57,,-0.59,,-7.07,4.48,-2.59,,,
163,Houston Baptist,A-Sun,,18,11,78.1,71.6,6.48,,-6.73,,-0.61,-2.04,-2.66,,,
164,Cornell,Ivy,,15,11,,,,,-3.79,,-1.22,-1.49,-2.71,,,
165,Siena,ECACN,,17,12,75.3,72.5,2.83,,-4.42,,-1.24,-1.51,-2.75,,,
166,Southern,SWAC,,19,12,,,,,-8.76,,10.86,-13.61,-2.76,,,
167,Duquesne,A-10,,12,17,69.4,72.8,-3.41,,1.97,,-1.82,-0.95,-2.77,,,
168,Fairleigh Dickinson,ECACM,,19,10,,,,,-7.46,,-1.73,-1.05,-2.78,,,
169,Oral Roberts,MW Coll,,11,17,66.9,70.1,-3.18,,0.34,,-6.22,3.38,-2.84,,,
170,Canisius,ECACN,,16,12,71.6,70.1,1.46,,-4.26,,-3.73,0.85,-2.89,,,
171,Old Dominion,Sun Belt,,6,22,65.7,72.8,-7.11,,3.78,,-5.46,2.49,-2.97,,,
172,Miami (FL),Ind,,15,16,75.2,75.3,-0.1,,-0.01,,-0.7,-2.38,-3.08,,,
173,Butler,MW Coll,,12,16,72.7,73.8,-1.11,,-2.07,,-0.45,-2.74,-3.18,,,
174,Louisiana-Monroe,Southland,,13,15,66.6,67.1,-0.5,,-1.58,,-7.19,3.96,-3.23,,,
175,Fresno State,PCAA,,9,20,58.2,63.8,-5.59,,4.35,,-13.19,9.84,-3.35,,,
176,Tennessee State,OVC,,15,12,72.7,67.9,4.89,,-5.17,,-6.01,2.5,-3.51,,,
177,Marist,ECACM,,20,10,68.5,62.9,5.6,,-8.23,,-10.03,6.41,-3.63,,,
178,Air Force,WAC,,12,15,71.3,72.1,-0.78,,0.37,,-2.38,-1.34,-3.72,,,
179,Stephen F. Austin,GSC,,22,8,68.8,63.3,5.5,,-8.59,,-9.07,5.23,-3.84,,,
180,East Carolina,CAA,,12,16,69,70.3,-1.32,,-0.07,,-4.76,0.85,-3.91,,,
181,Fairfield,MAAC,,15,16,65.8,66.5,-0.65,,-3.23,,-6.92,2.96,-3.97,,,
182,Iona,MAAC,,16,14,72.4,72.6,-0.17,,-3.09,,0.24,-4.22,-3.99,,,
183,Furman,Southern,,17,12,73.1,71.1,2,,-3.05,,-2.69,-1.37,-4.05,,,
184,Ohio,MAC,,14,14,70.3,71.5,-1.21,,-1.61,,-5.09,1.02,-4.07,,,
185,Massachusetts,A-10,,11,16,64.5,68.5,-4.04,,0.64,,-8.47,4.34,-4.13,,,
186,Western Michigan,MAC,,12,16,74.7,78.2,-3.46,,-0.56,,2.3,-6.59,-4.29,,,
187,Princeton,Ivy,,16,9,66,65.5,0.52,,-3.19,,-12.22,7.86,-4.36,,,
188,Georgia Southern,A-Sun,,20,11,70.7,67.7,2.97,,-6.05,,-7.17,2.74,-4.43,,,
189,Hawaii,WAC,,7,21,74.6,82.4,-7.75,,3.13,,2.96,-7.44,-4.48,,,
190,Lafayette,ECC,,16,13,75.2,71.4,3.86,,-8.45,,-3.14,-1.44,-4.58,,,
191,Northern Arizona,Big Sky,,11,17,70.8,72.1,-1.32,,-1.83,,-5.44,0.85,-4.59,,,
192,Yale,Ivy,,14,12,76,75.2,0.77,,-4.91,,0.84,-5.43,-4.59,,,
193,Loyola Marymount,WCAC,,12,16,85.3,87.6,-2.39,,1.14,,11.33,-15.94,-4.61,,,
194,Illinois-Chicago,Mid-Cont,,17,15,83.2,80.3,2.81,,-1.92,,8.29,-12.92,-4.63,,,
195,Rutgers,A-10,,8,20,70.2,75.2,-5,,2.08,,-0.49,-4.29,-4.77,,,
196,Bowling Green State,MAC,,15,14,66.2,70.9,-4.69,,-0.52,,-7.79,2.94,-4.85,,,
197,Army,MAAC,,14,15,67.5,67.2,0.28,,-3.01,,-8.47,3.54,-4.93,,,
198,Howard,MEAC,,24,4,81.3,73.5,7.79,,-12.07,,-2.29,-2.88,-5.17,,,
199,Toledo,MAC,,11,17,74,75.1,-1.14,,-1.69,,-0.78,-4.47,-5.25,,,
200,Indiana State,MVC,,9,20,64.1,68.1,-4,,2.41,,-8.08,2.77,-5.31,,,
201,Northern Iowa,Mid-Cont,,13,15,72.4,73.4,-0.93,,-3.08,,-2.09,-3.32,-5.41,,,
202,Rice,SWC,,8,19,62.6,67.5,-4.93,,4.32,,-8.33,2.9,-5.43,,,
203,Miami (OH),MAC,,14,14,71.1,73.3,-2.18,,-1.98,,-3.33,-2.18,-5.5,,,
204,Northwestern,Big Ten,,7,21,62.6,75.9,-13.25,,10.04,,-7.34,1.78,-5.56,,,
205,Weber State,Big Sky,,7,22,71.9,77.9,-6.03,,2.13,,-2.05,-3.63,-5.68,,,
206,Louisiana,Ind,,11,17,70.7,76.6,-5.89,,1.11,,-1.48,-4.25,-5.74,,,
207,Hartford,ECACN,,14,14,65.1,66,-0.89,,-4.9,,-10.44,4.65,-5.79,,,
208,Murray State,OVC,,13,15,70.3,13.3,56.96,,-0.98,,-6.89,0.99,-5.9,,,
209,Ball State,MAC,,9,18,74.1,77.7,-3.59,,-2.12,,-0.14,-5.82,-5.96,,,
210,American,CAA,,13,14,76.9,77.6,-0.63,,-0.98,,0.73,-6.84,-6.11,,,
211,Bucknell,ECC,,22,9,79,75.1,3.87,,-7.04,,0.82,-7.11,-6.29,,,
212,St. Bonaventure,A-10,,5,23,65.5,72.6,-7.07,,3.1,,-7.97,1.57,-6.4,,,
213,San Diego State,WAC,,5,25,73.7,82.5,-8.83,,2.62,,2.03,-8.68,-6.65,,,
214,Dartmouth,Ivy,,15,11,77.4,76.3,1.12,,-6.39,,-0.41,-6.33,-6.73,,,
215,Citadel,Southern,,13,15,77.3,75.5,1.71,,-5.53,,0.17,-6.94,-6.78,,,
216,North Carolina-Asheville,Big South,,15,11,73.8,71,2.73,,-7.02,,-5.55,-1.43,-6.97,,,
217,Youngstown State,OVC,,11,17,74.4,77.9,-3.46,,-2.19,,-2.4,-4.95,-7.35,,,
218,Texas-San Antonio,A-Sun,,13,15,79.6,78.8,0.86,,-7.21,,3.48,-10.88,-7.4,,,
219,Chicago State,Ind,,11,17,75.6,79,-3.32,,-0.48,,0.43,-7.91,-7.48,,,
220,Northern Illinois,Ind,,9,19,75.8,80.4,-4.61,,-0.84,,1.72,-9.32,-7.6,,,
221,Western Illinois,Mid-Cont,,12,16,78.7,78.1,0.61,,-3.71,,0.47,-8.1,-7.62,,,
222,Harvard,Ivy,,9,17,82.8,83.4,-0.65,,-5.36,,6.17,-13.95,-7.78,,,
223,Columbia,Ivy,,12,14,74.5,75.1,-0.62,,-4.57,,-4.52,-3.31,-7.83,,,
224,Lehigh,ECC,,15,14,76.8,77.1,-0.28,,-6.26,,0.31,-8.42,-8.11,,,
225,Hardin-Simmons,A-Sun,,13,15,77.6,79.5,-1.96,,-5.02,,1.69,-9.86,-8.17,,,
226,Northwestern State,GSC,,15,13,69.6,68.2,1.39,,-6.77,,-8.42,0.19,-8.23,,,
227,Wagner,ECACM,,16,13,79.1,75.6,3.52,,-8.03,,3.79,-12.18,-8.39,,,
228,Drexel,ECC,,14,14,79.2,81.3,-2.07,,-6.2,,2.66,-11.12,-8.45,,,
229,Georgia State,A-Sun,,11,17,81.5,80.8,0.64,,-4.04,,2.86,-11.36,-8.5,,,
230,Jackson State,SWAC,,15,14,63.3,62.7,0.55,,-8.68,,-15.53,6.75,-8.79,,,
231,Loyola (MD),ECACM,,15,14,78.8,78.1,0.72,,-7.27,,2.17,-11.13,-8.97,,,
232,Sam Houston State,GSC,,16,12,71.9,71.4,0.57,,-8.8,,-3.48,-5.67,-9.15,,,
233,Holy Cross,MAAC,,9,19,64.9,70.2,-5.29,,-3.25,,-9.25,-0.03,-9.28,,,
234,Towson,ECC,,14,16,70.3,71,-0.77,,-6.57,,-9.2,-0.41,-9.6,,,
235,Mercer,A-Sun,,12,16,69.4,70.4,-0.93,,-7.62,,-7.02,-2.67,-9.7,,,
236,Saint Francis (PA),ECACM,,11,16,78.3,79,-0.67,,-6.75,,1.08,-10.78,-9.7,,,
237,Detroit Mercy,MW Coll,,7,21,65.9,75.2,-9.25,,1.49,,-6.81,-2.94,-9.74,,,
238,Campbell,Big South,,17,13,75.9,73.3,2.53,,-9.56,,-2.89,-6.9,-9.79,,,
239,Valparaiso,Mid-Cont,,12,16,65,70.4,-5.39,,-2.21,,-10.65,0.73,-9.92,,,
240,William & Mary,CAA,,5,22,61,68.6,-7.56,,-0.47,,-11.87,1.92,-9.95,,,
241,Florida A&M,MEAC,,12,16,78.5,74.5,4.04,,-9.72,,-1.37,-8.68,-10.05,,,
242,Rider,ECC,,12,16,79.3,81,-1.68,,-6.47,,2.21,-12.59,-10.38,,,
243,Winthrop,Big South,,8,20,66.6,68.9,-2.32,,-5.38,,-10.87,0.45,-10.41,,,
244,Robert Morris,ECACM,,13,14,64.6,64.9,-0.22,,-7.77,,-13.15,2.59,-10.56,,,
245,Coastal Carolina,Big South,,12,16,70.8,73,-2.29,,-5.57,,-6.47,-4.13,-10.61,,,
246,Eastern Illinois,Mid-Cont,,9,19,63.7,71.3,-7.61,,-0.55,,-10.71,-0.05,-10.76,,,
247,Radford,Big South,,15,14,71.6,71.9,-0.31,,-8.92,,-6.07,-4.69,-10.76,,,
248,Mississippi Valley State,SWAC,,13,15,80.6,83.9,-3.32,,-7.28,,2.82,-13.7,-10.88,,,
249,Grambling,SWAC,,16,14,73,75.5,-2.53,,-7.87,,-5.69,-5.54,-11.23,,,
250,Alabama State,SWAC,,14,14,82,82.7,-0.68,,-11.13,,3.72,-15.57,-11.85,,,
251,Texas State,GSC,,13,15,74.1,76.6,-2.46,,-7.18,,-2.3,-9.76,-12.06,,,
252,Brown,Ivy,,9,18,79.1,85.9,-6.78,,-3.95,,1.52,-13.59,-12.07,,,
253,Western Carolina,Southern,,10,19,68.2,73.6,-5.31,,-3.75,,-8.45,-3.65,-12.1,,,
254,Central Florida,Ind,,12,15,71.1,74.4,-3.22,,-7.01,,-7.03,-5.12,-12.14,,,
255,VMI,Southern,,11,17,71.1,75.8,-4.68,,-4.24,,-5.81,-6.47,-12.28,,,
256,Texas-Arlington,Southland,,10,18,78.8,82,-3.21,,-6.46,,-1.06,-11.74,-12.8,,,
257,Vermont,ECACN,,5,23,76.7,84.2,-7.5,,-4.67,,0.91,-13.96,-13.05,,,
258,Delaware,ECC,,12,16,70.8,74.1,-3.32,,-6.89,,-7.67,-5.51,-13.18,,,
259,Utica,Ind,,10,16,69.4,73.4,-4,,-7.36,,-8.94,-4.24,-13.18,,,
260,Centenary (LA),A-Sun,,10,17,,,,,-5.65,,-0.88,-12.33,-13.21,,,
261,Appalachian State,Southern,,7,21,65,73.2,-8.25,,-2.67,,-11.37,-2.26,-13.63,,,
262,Maryland-Baltimore County,Ind,,12,16,67.5,70.3,-2.71,,-10.8,,-11.05,-2.9,-13.95,,,
263,Maine,ECACN,,10,18,68,77.5,-9.57,,-4.33,,-6.59,-7.48,-14.07,,,
