,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,North Carolina,ACC,,32,4,91.3,74.9,16.39,,8.71,,21.94,2.54,24.48,,,
2,Nevada-Las Vegas,PCAA,,37,2,92.6,75.5,17.1,,6.09,,23.09,0.03,23.12,,,
3,Indiana,Big Ten,,30,4,82.5,70.9,11.59,,9.1,,13.88,6.81,20.69,,,
4,Iowa,Big Ten,,30,5,87.3,74.4,12.89,,7.98,,15.8,4.79,20.59,,,
5,Florida,SEC,,23,11,84.2,71.9,12.35,,8.17,,15.83,4.55,20.37,,,
6,Alabama,SEC,,28,5,80,69.9,10.12,,8.99,,12.34,7.08,19.42,,,
7,Purdue,Big Ten,,25,5,81.7,70.6,11.07,,8.08,,12,6.12,18.12,,,
8,Illinois,Big Ten,,23,8,80.3,70.4,9.87,,8.66,,10.38,7.67,18.05,,,
9,Syracuse,Big East,,31,7,82.8,72.8,9.97,,8.22,,12.98,4.99,17.97,,,
10,Georgetown,Big East,,29,5,77.8,64.2,13.53,,8.01,,5.38,11.8,17.18,,,
11,Duke,ACC,,24,9,77.2,67.3,9.88,,7.16,,7.64,9.27,16.91,,,
12,Oklahoma,Big 8,,24,10,89.1,80.1,8.94,,7.89,,20.43,-3.62,16.8,,,
13,Pittsburgh,Big East,,25,8,84.3,72.8,11.52,,7.25,,14.58,2.01,16.59,,,
14,Clemson,ACC,,25,6,86.1,71.5,14.61,,3.56,,15.89,0.6,16.49,,,
15,DePaul,Ind,,28,3,76.2,62.5,13.68,,2.68,,6.75,9.58,16.33,,,
16,Providence,Big East,,25,9,86.6,77.1,9.41,,5.46,,17.01,-1.7,15.31,,,
17,Michigan,Big Ten,,20,12,88.2,79.3,8.84,,8.74,,16.86,-1.82,15.04,,,
18,Ohio State,Big Ten,,20,13,84.9,77.9,6.97,,8.48,,14.94,-0.28,14.67,,,
19,Auburn,SEC,,18,13,79.9,75,4.94,,8.95,,12.12,1.77,13.89,,,
20,Memphis,Metro,,26,8,75,65.4,9.62,,4.3,,3.95,9.95,13.89,,,
21,Virginia,ACC,,21,10,74.2,68.4,5.84,,7.79,,4.32,9.31,13.63,,,
22,Tennessee,SEC,,14,15,75.9,70.1,5.79,,7.79,,8.05,5.53,13.58,,,
23,Arizona,Pac-10,,18,12,75.6,68.8,6.8,,6.63,,6.55,6.94,13.49,,,
24,Kansas,Big 8,,25,11,73.7,67.7,6,,7.73,,3.99,9.37,13.36,,,
25,Temple,A-10,,32,4,74.9,64.7,10.22,,2.9,,3.41,9.77,13.17,,,
26,St. John's (NY),Big East,,21,9,69.8,64.6,5.17,,7.22,,-0.11,13.19,13.08,,,
27,UCLA,Pac-10,,25,7,77.9,71.7,6.19,,6.89,,10.86,2.22,13.08,,,
28,Western Kentucky,Sun Belt,,29,9,78.7,67.9,10.74,,2.46,,7.43,5.48,12.91,,,
29,Texas Christian,SWC,,24,7,70.9,63.6,7.26,,5.67,,3.47,9.36,12.83,,,
30,Louisiana State,SEC,,24,15,71.4,68.3,3.08,,10.59,,2.64,9.26,11.9,,,
31,Houston,SWC,,18,12,67.9,60.6,7.33,,4.5,,-1.26,13.08,11.82,,,
32,Notre Dame,Ind,,24,8,65.1,59.4,5.66,,6.04,,-5.44,17.17,11.73,,,
33,Georgia,SEC,,18,12,73.9,68.9,5.07,,8.92,,4.38,7.03,11.42,,,
34,Kentucky,SEC,,18,11,67.8,67,0.72,,10.61,,0.23,11.1,11.33,,,
35,Missouri,Big 8,,24,10,74.2,68.7,5.44,,6.38,,5.42,5.9,11.32,,,
36,Georgia Tech,ACC,,16,13,70.7,68.5,2.24,,9,,2.57,8.67,11.24,,,
37,New Orleans,Ind,,26,4,81.7,69.8,11.9,,-0.8,,9.58,1.55,11.13,,,
38,North Carolina State,ACC,,20,14,79.8,77,2.79,,8.09,,8.32,2.71,11.03,,,
39,Texas-El Paso,WAC,,25,7,77.4,69,8.47,,2.6,,7.21,3.79,10.99,,,
40,Kansas State,Big 8,,20,11,78.8,72.2,6.61,,7.17,,7.85,2.75,10.6,,,
41,Vanderbilt,SEC,,18,16,73.5,72.7,0.82,,9.78,,5.85,4.35,10.2,,,
42,West Virginia,A-10,,23,8,68.7,60.7,7.97,,2.2,,-2.51,12.68,10.17,,,
43,Missouri State,Mid-Cont,,28,6,,,,,-1.64,,-3.67,13.36,9.7,,,
44,Brigham Young,WAC,,21,11,82.3,77.2,5.16,,4.21,,11.24,-1.57,9.67,,,
45,Arkansas,SWC,,19,14,78.1,73.8,4.36,,5.17,,10.78,-1.24,9.54,,,
46,Tulsa,MVC,,22,8,69.9,63.5,6.43,,3.15,,-0.39,9.91,9.52,,,
47,Oregon State,Pac-10,,19,11,68.3,63.7,4.63,,5.27,,-0.47,9.91,9.44,,,
48,Mississippi,SEC,,15,14,70.2,68.3,1.93,,8.63,,2.27,7.07,9.33,,,
49,Navy,CAA,,26,6,77.3,65.8,11.47,,-1.44,,4.14,4.68,8.82,,,
50,Louisville,Metro,,18,14,73.1,71.9,1.16,,7.62,,3.67,5.01,8.68,,,
51,Southern Methodist,SWC,,16,13,73.2,67.6,5.59,,3.03,,4.97,3.64,8.6,,,
52,San Diego,WCAC,,24,6,69.5,60.3,9.13,,-0.01,,-3.46,12,8.54,,,
53,Cal State Fullerton,PCAA,,17,13,70,65.1,4.97,,5.83,,-3.39,11.72,8.33,,,
54,Florida State,Metro,,19,11,83.7,78.4,5.3,,3.95,,13.18,-4.91,8.27,,,
55,Washington,Pac-10,,20,15,75,71.4,3.54,,4.43,,5.9,2.24,8.13,,,
56,Wyoming,WAC,,24,10,71,65.7,5.35,,3.03,,-1.14,9.05,7.91,,,
57,Jacksonville,Sun Belt,,19,11,80.2,74.4,5.8,,1.96,,8.15,-0.52,7.63,,,
58,Bradley,MVC,,17,12,83.6,78.9,4.69,,2.96,,12.66,-5.05,7.61,,,
59,Villanova,Big East,,15,16,72.3,72.2,0.06,,7.31,,3.1,4.3,7.41,,,
60,Southern Mississippi,Metro,,23,11,82,75.6,6.35,,2.11,,9.67,-2.33,7.34,,,
61,Wichita State,MVC,,22,11,68,64,4.03,,3.34,,-1.97,9.13,7.16,,,
62,Louisiana Tech,Southland,,22,8,71.8,66,5.8,,3.06,,0.06,6.97,7.03,,,
63,Boise State,Big Sky,,22,8,73.2,62.4,10.8,,-1.81,,-2.12,9.13,7.01,,,
64,UC-Santa Barbara,PCAA,,16,12,76.4,71.4,5,,3.23,,2.4,4.33,6.73,,,
65,University of California,Pac-10,,20,15,70.1,68.6,1.43,,5.68,,1.19,5.44,6.62,,,
66,Iowa State,Big 8,,13,15,75.4,72.9,2.57,,5.68,,4.71,1.9,6.6,,,
67,Utah,WAC,,17,13,69.9,65.5,4.4,,2.68,,-1.79,8.36,6.58,,,
68,San Jose State,PCAA,,16,14,67.2,65.9,1.23,,5.09,,-1.98,8.55,6.57,,,
69,Wake Forest,ACC,,14,15,68.9,68.1,0.83,,5.66,,-1.92,8.41,6.49,,,
70,Texas Tech,SWC,,15,14,64.3,64,0.28,,7.15,,-3.77,10.03,6.26,,,
71,Seton Hall,Big East,,15,14,77.6,74.9,2.72,,4.19,,6.74,-0.52,6.22,,,
72,Michigan State,Big Ten,,11,17,75.2,77,-1.75,,7.94,,4.51,1.69,6.19,,,
73,Central Michigan,MAC,,22,8,74.5,65.7,8.8,,0.25,,1.01,5.13,6.14,,,
74,La Salle,MAAC,,20,13,76,70,5.94,,0.19,,3.84,2.29,6.13,,,
75,Marquette,Ind,,16,13,72.9,69.2,3.69,,2.41,,1.87,4.22,6.1,,,
76,Cleveland State,Mid-Cont,,25,8,83.5,72.5,11.03,,-2.98,,9.38,-3.51,5.87,,,
77,Illinois State,MVC,,19,13,70.5,68,2.5,,2.81,,0.67,4.95,5.62,,,
78,Saint Louis,MW Coll,,25,10,72.5,64,8.49,,-1.27,,-0.91,6.43,5.52,,,
79,New Mexico,WAC,,25,10,80.8,76.5,4.26,,1.24,,9.86,-4.39,5.48,,,
80,Texas A&M,SWC,,17,14,67,65,1.94,,3.35,,-1.53,6.89,5.35,,,
81,Wisconsin,Big Ten,,14,17,70.7,71.4,-0.65,,8.27,,-0.57,5.56,4.98,,,
82,Baylor,SWC,,18,13,68.3,66.5,1.74,,4.47,,-1.48,6.4,4.92,,,
83,South Carolina,Metro,,15,14,67,66.3,0.69,,4.96,,-6.17,10.95,4.78,,,
84,Drake,MVC,,17,14,66.6,63.5,3.1,,2.98,,-6.7,11.46,4.77,,,
85,New Mexico State,PCAA,,15,15,69.3,68.4,0.9,,4.56,,-3.45,8.2,4.75,,,
86,Alabama-Birmingham,Sun Belt,,21,11,75.8,72.6,3.22,,4.21,,3.78,0.86,4.64,,,
87,Maryland,ACC,,9,17,71.7,73.3,-1.54,,6.14,,2.24,2.36,4.6,,,
88,Oregon,Pac-10,,16,14,66.5,66.7,-0.23,,5.12,,-2.27,6.88,4.6,,,
89,Arizona State,Pac-10,,11,17,72,73,-1.04,,5.62,,3.78,0.81,4.58,,,
90,Arkansas State,Southland,,21,13,68.7,62,6.76,,1.21,,-4.8,9.14,4.34,,,
91,Niagara,ECACN,,21,10,85.7,76.6,9.13,,-4.43,,11.33,-7.06,4.27,,,
92,Stanford,Pac-10,,15,13,71.5,71.5,-0.04,,4.85,,3.4,0.6,4,,,
93,Northeastern,ECACN,,27,7,83.6,74.8,8.74,,-2.25,,8.35,-4.37,3.98,,,
94,Rhode Island,A-10,,20,10,80.7,73.8,6.97,,0.75,,7.08,-3.18,3.9,,,
95,Gonzaga,WCAC,,18,10,73.5,65.9,7.68,,-1.3,,0.7,3.17,3.87,,,
96,Middle Tennessee,OVC,,22,7,85.8,77.4,8.31,,-2.44,,8.54,-4.86,3.68,,,
97,UC-Irvine,PCAA,,14,14,86.6,87.7,-1.04,,4.69,,17.68,-14.02,3.66,,,
98,North Carolina-Wilmington,CAA,,18,12,68.9,64.3,4.67,,-1.32,,-3.23,6.84,3.61,,,
99,Loyola (IL),MW Coll,,16,13,80.7,78.8,1.83,,1.53,,8.95,-5.59,3.36,,,
100,Montana State,Big Sky,,21,8,86.2,79.5,6.76,,-1.81,,13.25,-10.13,3.12,,,
101,Saint Joseph's,A-10,,16,13,,,,,2.48,,6.07,-3.01,3.06,,,
102,Penn State,A-10,,15,12,71.9,67.6,4.3,,-0.31,,-1.73,4.74,3.01,,,
103,Nebraska,Big 8,,21,12,74.9,74.4,0.55,,4.8,,2.41,0.52,2.93,,,
104,Santa Clara,WCAC,,18,14,68.8,66,2.81,,1.87,,-2.4,5.3,2.9,,,
105,Charlotte,Sun Belt,,18,14,76.1,71.4,4.72,,2.62,,3.65,-0.78,2.88,,,
106,Marshall,Southern,,25,6,80.5,72.8,7.61,,-4.96,,5.96,-3.31,2.65,,,
107,Austin Peay,OVC,,20,12,80.3,76.6,3.69,,0.53,,4.02,-1.42,2.6,,,
108,Akron,OVC,,21,9,77.1,68.9,8.13,,-3.65,,-0.13,2.7,2.57,,,
109,Virginia Commonwealth,Sun Belt,,17,14,70.8,69.7,1.13,,1.28,,-0.79,3.36,2.57,,,
110,Southern California,Pac-10,,9,19,61.3,65,-3.71,,6.67,,-7.49,9.79,2.3,,,
111,Eastern Kentucky,OVC,,19,11,87,78.8,8.2,,-2.44,,9.03,-6.92,2.11,,,
