,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Oklahoma,Big 8,,35,4,102.9,81,21.87,,7.61,,32.99,-3.51,29.48,,,
2,Arizona,Pac-10,,35,3,85.1,64.2,20.92,,8.45,,14.44,14.52,28.95,,,
3,Duke,ACC,,28,7,83.8,68.8,14.94,,8.38,,14.74,8.59,23.33,,,
4,Syracuse,Big East,,26,9,84.7,70.5,14.26,,8.55,,15.14,7.52,22.66,,,
5,Michigan,Big Ten,,26,8,87.4,73.8,13.68,,9.06,,17.17,5.25,22.42,,,
6,Purdue,Big Ten,,29,4,84.6,71.5,13.03,,8.86,,14.92,6.91,21.83,,,
7,Iowa,Big Ten,,24,10,93.6,81.4,12.12,,9.76,,24.65,-2.87,21.79,,,
8,Illinois,Big Ten,,23,10,82.6,70.9,11.67,,9.82,,13.21,8.33,21.54,,,
9,North Carolina,ACC,,27,7,82.1,73.2,8.85,,10.72,,11.86,7.65,19.52,,,
10,Kentucky,SEC,,27,6,79.6,68.8,10.88,,8.87,,11.06,7.84,18.9,,,
11,Temple,A-10,,32,2,76.8,61.2,15.62,,2.99,,4.44,14.17,18.61,,,
12,Missouri,Big 8,,19,11,87,78.2,8.8,,9.13,,13.92,3.88,17.8,,,
13,Indiana,Big Ten,,19,10,78.8,70.9,7.83,,9.66,,9.39,8.09,17.48,,,
14,North Carolina State,ACC,,24,7,85.7,74.1,11.61,,6.53,,12.31,5.02,17.34,,,
15,Nevada-Las Vegas,PCAA,,28,6,84.3,68.2,16.12,,5.64,,9.86,7.36,17.22,,,
16,Pittsburgh,Big East,,24,7,79.8,71,8.81,,8.15,,10.9,6.06,16.96,,,
17,Louisville,Metro,,24,11,82.7,76.2,6.43,,9.79,,10.49,5.47,15.96,,,
18,Kansas State,Big 8,,25,9,75.4,68,7.44,,10.14,,3.31,12.49,15.79,,,
19,Kansas,Big 8,,27,11,75.3,67.9,7.42,,10.77,,2.54,13.17,15.71,,,
20,Wyoming,WAC,,26,6,78.3,66.7,11.59,,3.7,,7.29,7.38,14.67,,,
21,Seton Hall,Big East,,22,13,79.1,71.5,7.57,,7.42,,9.41,5.18,14.59,,,
22,Florida,SEC,,23,12,73.1,68.1,5.06,,9.28,,4.32,10.02,14.34,,,
23,Georgetown,Big East,,20,10,71.9,62.4,9.5,,8.43,,0.14,14.03,14.17,,,
24,Auburn,SEC,,19,11,77.4,72,5.4,,9.24,,7.71,6.36,14.07,,,
25,Georgia Tech,ACC,,22,10,81.7,74,7.72,,7.43,,10.17,3.8,13.96,,,
26,Villanova,Big East,,24,13,71.9,68.6,3.24,,10.54,,2.94,10.98,13.92,,,
27,Vanderbilt,SEC,,20,11,78.7,72.8,5.94,,7.94,,10.13,3.75,13.88,,,
28,Brigham Young,WAC,,26,6,85.5,76.2,9.31,,4.08,,15.76,-2.36,13.39,,,
29,Bradley,MVC,,26,5,92.5,81.3,11.26,,1.53,,19.74,-6.75,12.99,,,
30,Loyola Marymount,WCAC,,28,4,110.3,97.2,13.06,,1.44,,37.06,-24.1,12.96,,,
31,Iowa State,Big 8,,20,12,90.2,84.3,5.88,,7.52,,18.45,-5.77,12.68,,,
32,Notre Dame,Ind,,20,9,73,63.3,9.66,,3.07,,0.39,11.89,12.28,,,
33,UCLA,Pac-10,,16,14,80.5,75.3,5.13,,7.08,,12.02,0.2,12.22,,,
34,DePaul,Ind,,22,8,78.9,70.1,8.8,,3.23,,6.83,5.19,12.03,,,
35,St. John's (NY),Big East,,17,12,71.3,68.4,2.9,,9.13,,1.91,10.01,11.93,,,
36,Maryland,ACC,,18,13,75.8,71.8,3.97,,8.75,,6.75,5.17,11.91,,,
37,Boise State,Big Sky,,24,6,69.3,56.3,12.97,,-0.52,,-3.12,14.95,11.84,,,
38,Florida State,Metro,,19,11,84.3,76.3,7.93,,3.71,,7.86,3.95,11.81,,,
39,Utah State,PCAA,,21,10,83.6,78.1,5.55,,5.94,,13.41,-1.93,11.49,,,
40,Stanford,Pac-10,,21,12,78.1,72.8,5.33,,6.19,,7.93,3.42,11.35,,,
41,Arkansas,SWC,,21,9,75.5,64.9,10.6,,0.61,,4.71,6.47,11.18,,,
42,Southern Methodist,SWC,,28,7,82.3,71.8,10.43,,0.47,,10.72,0.4,11.12,,,
43,Oregon State,Pac-10,,20,11,67.5,63,4.55,,6.11,,-2.91,13.89,10.98,,,
44,Louisiana State,SEC,,16,14,70.4,69.1,1.37,,9.22,,1.25,9.7,10.95,,,
45,Virginia Tech,Metro,,19,10,91.2,85.4,5.79,,5.09,,19.11,-8.23,10.88,,,
