,,,,,,,,,,,,SRS,,,Adjusted,,
46,Georgia,SEC,,20,16,73.4,69.6,3.83,,7.6,,3.98,6.54,10.52,,,
47,Memphis,Metro,,20,12,78.4,74.6,3.84,,6.34,,5.85,4.33,10.18,,,
48,Texas-El Paso,WAC,,23,10,70.3,63.5,6.85,,3.9,,-1.01,11.14,10.13,,,
49,Rhode Island,A-10,,28,7,86.5,76.8,9.71,,0.22,,13.9,-3.98,9.92,,,
50,UC-Santa Barbara,PCAA,,22,8,71.7,67.9,3.87,,6.12,,1.08,8.77,9.84,,,
51,Xavier,MW Coll,,26,4,94.7,79.5,15.17,,-4.2,,18.46,-8.62,9.84,,,
52,Utah,WAC,,19,11,66.4,61.2,5.2,,4.39,,-4.09,13.35,9.26,,,
53,Clemson,ACC,,14,15,74.3,72,2.34,,6.87,,2.11,7.1,9.21,,,
54,Southern Mississippi,Metro,,19,11,90.7,86.3,4.37,,5.24,,19.15,-10.05,9.1,,,
55,Boston College,Big East,,18,15,75.3,71.7,3.58,,6.07,,3.84,5.17,9.01,,,
56,Ohio State,Big Ten,,20,13,75.9,74.9,0.97,,8.61,,5.17,3.78,8.95,,,
57,Connecticut,Big East,,20,14,69.8,65.9,3.97,,4.95,,-1.28,10.2,8.92,,,
58,Colorado State,WAC,,22,13,62.9,57.3,5.57,,4.55,,-7.8,16.7,8.89,,,
59,New Mexico,WAC,,22,14,75.7,72.3,3.33,,6.11,,4.87,4.02,8.89,,,
60,Virginia,ACC,,13,18,66.8,67.5,-0.61,,9.6,,-3.69,12.32,8.64,,,
61,South Carolina,Metro,,19,10,75.5,71.8,3.69,,5.18,,0.7,7.66,8.36,,,
62,Evansville,MW Coll,,21,8,81.9,73.2,8.69,,-0.13,,6.72,1.49,8.21,,,
63,Tennessee,SEC,,16,13,73.2,71.7,1.52,,6.97,,3.9,4.21,8.1,,,
64,Long Beach State,PCAA,,17,12,81.9,78.3,3.55,,6.64,,8.98,-1.26,7.72,,,
65,New Mexico State,PCAA,,16,16,70.6,65.4,5.22,,4.66,,-3.11,10.66,7.55,,,
66,Wichita State,MVC,,20,10,75.4,69.2,6.13,,2.01,,2.55,4.94,7.49,,,
67,Missouri State,Mid-Cont,,22,7,71.9,63.8,8.14,,0.16,,-3.21,10.59,7.38,,,
68,Cal State Fullerton,PCAA,,12,17,67.6,65.4,2.21,,4.54,,-4.47,11.22,6.74,,,
69,Oklahoma State,Big 8,,14,16,72.8,73.2,-0.43,,7.83,,2.68,3.92,6.61,,,
70,Santa Clara,WCAC,,20,11,73.8,69.4,4.35,,2.56,,-1.99,8.42,6.43,,,
71,Baylor,SWC,,23,11,70.4,65.4,4.94,,1.75,,-1.61,7.88,6.27,,,
72,West Virginia,A-10,,18,14,70.5,66,4.53,,2.75,,-3.27,9.46,6.19,,,
73,New Orleans,ASC,,21,11,76.9,69.1,7.84,,-1.13,,3.33,2.76,6.09,,,
74,Pepperdine,WCAC,,17,13,81.9,80.3,1.57,,4.37,,9.08,-3.11,5.97,,,
75,Saint Mary's (CA),WCAC,,19,9,65.6,65.7,-0.11,,2.35,,-9.47,15.36,5.89,,,
76,La Salle,MAAC,,24,10,77.4,69.6,7.82,,-1.58,,2.83,2.74,5.57,,,
77,Virginia Commonwealth,Sun Belt,,23,12,79.2,74,5.2,,0.89,,4.79,0.71,5.51,,,
78,Michigan State,Big Ten,,10,18,69.5,73.7,-4.21,,9.21,,-0.73,5.91,5.17,,,
79,Cleveland State,Mid-Cont,,22,8,84,76.2,7.77,,-1.44,,11.87,-6.78,5.08,,,
80,Oregon,Pac-10,,16,14,67.6,68.2,-0.63,,6.61,,-2.1,7.13,5.03,,,
81,Mississippi,SEC,,13,16,68.1,70.2,-2.14,,9.06,,0.23,4.73,4.95,,,
82,Minnesota,Big Ten,,10,18,72.3,75.6,-3.36,,8.21,,3.08,1.77,4.85,,,
83,Houston,SWC,,18,13,72.8,70.7,2.1,,2.6,,2.62,2.15,4.77,,,
84,Little Rock,A-Sun,,24,7,77.9,71.5,6.39,,-1.96,,3.97,0.66,4.63,,,
85,Murray State,OVC,,22,9,76.3,68.2,8.1,,-0.97,,-1.23,5.83,4.61,,,
86,Charlotte,Sun Belt,,22,9,78.7,75.3,3.35,,0.61,,4.71,-0.72,3.99,,,
87,Alabama,SEC,,14,17,66.3,68.5,-2.23,,6.63,,-3.77,7.73,3.96,,,
88,Richmond,CAA,,26,7,69.4,65.9,3.45,,-0.11,,-4.34,8.3,3.95,,,
89,Illinois State,MVC,,18,13,69.7,69.1,0.61,,3.47,,-4.33,8.21,3.88,,,
90,Arizona State,Pac-10,,13,16,76.8,79.1,-2.38,,6.26,,8.64,-4.85,3.8,,,
91,Texas-San Antonio,A-Sun,,22,9,79.6,73.8,5.84,,-0.75,,5.05,-1.3,3.75,,,
92,Arkansas State,ASC,,21,14,67,62.5,4.49,,1.25,,-6.96,10.6,3.63,,,
93,Georgia Southern,A-Sun,,24,7,63.9,55.6,8.23,,-3.26,,-13.17,16.7,3.53,,,
94,Alabama-Birmingham,Sun Belt,,16,15,72.9,69.8,3.06,,1.5,,-1.22,4.72,3.5,,,
95,UC-Irvine,PCAA,,16,14,82.4,84.8,-2.37,,5.74,,10.34,-6.96,3.38,,,
96,Wisconsin,Big Ten,,12,16,69,74.4,-5.39,,8.7,,-1.73,5.03,3.3,,,
97,Washington State,Pac-10,,13,16,60.7,63.3,-2.55,,5.81,,-8.94,12.2,3.26,,,
98,Providence,Big East,,11,17,76.5,82.5,-5.96,,9.23,,7.22,-4.1,3.12,,,
99,Marshall,Southern,,24,8,83.8,75.8,8,,-4.93,,6.99,-3.92,3.07,,,
100,Louisiana Tech,ASC,,22,9,69.7,65.6,4.06,,-0.52,,-2.98,6.03,3.05,,,
101,San Jose State,PCAA,,14,15,72.1,73.3,-1.21,,6.14,,0.08,2.91,2.99,,,
102,Akron,Ind,,21,7,79.6,67.6,12,,-6.75,,0.6,2.33,2.93,,,
103,North Carolina A&T,MEAC,,26,3,81.4,67.5,13.9,,-11.29,,2.87,-0.04,2.83,,,
104,Wake Forest,ACC,,10,18,72.4,76.6,-4.29,,6.84,,2.61,0.02,2.63,,,
105,Eastern Kentucky,OVC,,18,11,80,72.9,7.07,,-2.83,,4.33,-1.71,2.61,,,
106,Cincinnati,Metro,,11,17,81,83.3,-2.29,,5.47,,7.16,-4.61,2.55,,,
107,Austin Peay,OVC,,17,13,77.2,75.3,1.9,,1.68,,2.39,0.07,2.46,,,
108,Drake,MVC,,14,14,73.6,71,2.61,,0.76,,-2.09,4.29,2.21,,,
109,Fresno State,PCAA,,9,19,66.2,68.6,-2.43,,4.81,,-5.18,7.03,1.85,,,
110,Montana State,Big Sky,,19,11,74.9,68.8,6.13,,-1.21,,0.94,0.74,1.68,,,
111,Eastern Michigan,MAC,,22,8,82.6,77.3,5.27,,-1.82,,5.88,-4.26,1.62,,,
112,Mississippi State,SEC,,14,15,62.3,65,-2.66,,6.35,,-9.31,10.92,1.61,,,
113,Washington,Pac-10,,10,19,70.1,74.9,-4.83,,6.41,,1.37,0.22,1.59,,,
114,Louisiana-Monroe,Southland,,21,9,75.1,68.7,6.43,,-4.76,,0.6,0.91,1.51,,,
115,Nebraska,Big 8,,13,18,71.2,75.1,-3.87,,6.83,,-1.28,2.76,1.49,,,
116,North Texas,Southland,,17,13,76.1,74,2.13,,-1.34,,2.41,-0.95,1.46,,,
117,Saint Louis,MW Coll,,14,14,67.8,66.3,1.5,,-0.47,,-7.7,9.05,1.35,,,
118,Central Michigan,MAC,,19,13,74.5,70.2,4.34,,-2.16,,-2.18,3.52,1.34,,,
119,Middle Tennessee,OVC,,23,11,81.3,76.4,4.91,,-0.59,,4.82,-3.5,1.31,,,
120,Southern,SWAC,,24,7,95.6,85.4,10.26,,-7.49,,14.9,-13.6,1.3,,,
121,Tulsa,MVC,,8,20,66.7,69.8,-3.07,,4.26,,-5.95,7.14,1.19,,,
122,Old Dominion,Sun Belt,,18,12,76.8,75.9,0.9,,0.4,,3.4,-2.38,1.02,,,
123,Green Bay,Mid-Cont,,18,9,64.5,60.8,3.67,,-1.75,,-11.53,12.5,0.97,,,
124,Princeton,Ivy,,17,9,64.8,56.4,8.42,,-5.79,,-12.95,13.9,0.96,,,
125,Southern Illinois,MVC,,12,16,83.6,84.5,-0.89,,2.16,,11.47,-10.61,0.87,,,
126,Penn State,A-10,,13,14,67.6,65,2.59,,1.05,,-8.25,8.97,0.73,,,
127,Northwestern,Big Ten,,7,21,64.4,72.9,-8.43,,10.21,,-5.59,6.22,0.63,,,
128,Boston University,ECACN,,23,8,77.5,70.1,7.42,,-7.04,,1.17,-0.79,0.38,,,
129,San Diego State,WAC,,12,17,67.9,71.4,-3.55,,4.31,,-3.03,3.26,0.23,,,
130,Eastern Illinois,Mid-Cont,,17,11,77.3,69.8,7.5,,-1.5,,-0.23,0.44,0.21,,,
131,Lamar,ASC,,20,11,71.8,67.5,4.32,,-2.11,,-3.35,3.51,0.16,,,
132,Siena,ECACN,,23,6,82.3,72.9,9.48,,-9.3,,4.76,-4.6,0.16,,,
133,Miami (FL),Ind,,17,14,79.1,77.4,1.71,,-0.84,,5.15,-5.3,-0.15,,,
134,Saint Joseph's,A-10,,15,14,68.6,70.1,-1.59,,1.36,,-3.59,3.36,-0.23,,,
135,Western Kentucky,Sun Belt,,15,13,72.5,71.7,0.79,,-0.31,,-3.13,2.86,-0.27,,,
136,San Francisco,WCAC,,13,15,76.3,76.4,-0.14,,0.33,,3.17,-3.47,-0.3,,,
137,Gonzaga,WCAC,,16,12,72.6,68.6,4.07,,-0.18,,-3.66,3.35,-0.31,,,
138,Colorado,Big 8,,7,21,69,81,-12,,11.58,,-0.9,0.27,-0.63,,,
139,George Mason,CAA,,20,10,81.1,76.5,4.6,,-4.27,,5.57,-6.23,-0.66,,,
140,University of California,Pac-10,,9,20,63.9,70.5,-6.59,,5.95,,-6.01,5.3,-0.71,,,
141,Texas,SWC,,16,13,70.7,71.7,-1,,0.25,,-3.23,2.49,-0.75,,,
142,Fordham,MAAC,,18,15,69.3,66.2,3.12,,-2.51,,-5.01,4.24,-0.77,,,
143,Montana,Big Sky,,18,11,67.9,66.9,0.93,,-1.46,,-3.93,3.04,-0.89,,,
144,Marquette,Ind,,10,18,67.6,71.1,-3.46,,2.46,,-6.87,5.86,-1.01,,,
145,Nevada,Big Sky,,15,13,81.6,81.1,0.5,,0.18,,8.49,-9.59,-1.1,,,
146,Texas A&M,SWC,,16,15,69.3,71.5,-2.23,,0.89,,-3.91,2.6,-1.31,,,
147,Ohio,MAC,,16,14,78.8,77.1,1.7,,-3.02,,3.51,-4.92,-1.41,,,
148,St. Bonaventure,A-10,,13,15,67.9,70.6,-2.71,,1.2,,-4,2.49,-1.51,,,
149,Butler,MW Coll,,14,14,66.4,66.8,-0.39,,-0.13,,-8.75,7.17,-1.57,,,
150,Lehigh,ECC,,21,10,82,75.1,6.9,,-6.25,,4.44,-6.03,-1.59,,,
151,George Washington,A-10,,13,15,70.6,71.3,-0.68,,0.49,,-2.05,0.43,-1.63,,,
152,Chattanooga,Southern,,20,13,75.5,72.4,3.03,,-4.47,,-3.18,1.45,-1.73,,,
153,Drexel,ECC,,18,10,81.3,75.4,5.89,,-6.23,,4.07,-5.92,-1.85,,,
154,Stetson,A-Sun,,13,15,75.6,74.3,1.32,,-1.09,,0.56,-2.41,-1.86,,,
155,Western Illinois,Mid-Cont,,15,12,74.4,70.5,3.89,,-1.3,,-2.04,-0.04,-2.08,,,
156,Idaho,Big Sky,,19,11,65.3,60.8,4.5,,-1.77,,-9.68,7.58,-2.1,,,
157,Texas Tech,SWC,,9,19,65.5,69.7,-4.18,,2.72,,-6.36,4.26,-2.1,,,
158,San Diego,WCAC,,11,17,68,70.6,-2.57,,1.09,,-6.16,3.94,-2.22,,,
159,Saint Peter's,MAAC,,20,9,69.5,63.7,5.86,,-6.72,,-10.76,8.45,-2.32,,,
160,Idaho State,Big Sky,,15,13,70.6,69.3,1.29,,-1.39,,-3.95,1.4,-2.55,,,
161,Lafayette,ECC,,19,10,70.2,64.8,5.45,,-6.77,,-9.52,6.87,-2.65,,,
162,Louisiana,ASC,,12,16,73.6,74.9,-1.29,,1.01,,1.65,-4.64,-2.99,,,
163,South Alabama,Sun Belt,,15,14,82.6,83.5,-0.9,,0.17,,6.3,-9.43,-3.14,,,
164,Dayton,Ind,,13,18,74.5,79.2,-4.65,,3.43,,-0.28,-2.94,-3.22,,,
165,Creighton,MVC,,16,16,72.7,78.9,-6.22,,4.38,,0.33,-3.7,-3.37,,,
166,Loyola (IL),MW Coll,,13,16,78.3,83.6,-5.31,,1.83,,2.69,-6.23,-3.55,,,
167,Hawaii,WAC,,4,25,67.1,74.8,-7.76,,4.2,,-2.74,-0.82,-3.56,,,
168,Toledo,MAC,,15,12,70,68.9,1.11,,-3.75,,-5.16,1.52,-3.64,,,
169,North Carolina-Wilmington,CAA,,15,14,67,66.5,0.52,,-3.52,,-7.21,3.52,-3.7,,,
170,Sam Houston State,Southland,,14,14,68.1,69.3,-1.14,,-2.5,,-7.08,3.09,-4,,,
171,Marist,ECACM,,18,9,72,64.9,7.15,,-10.46,,-7.1,3.02,-4.08,,,
172,Fairleigh Dickinson,ECACM,,23,7,76.7,70.5,6.17,,-10.37,,-3.33,-0.79,-4.12,,,
173,Hardin-Simmons,A-Sun,,18,12,80.8,77,3.73,,-2.61,,5.19,-9.34,-4.15,,,
174,Northwestern State,Southland,,16,12,68.3,65.7,2.61,,-6.5,,-8.31,4.13,-4.17,,,
175,Southern California,Pac-10,,7,21,62.1,72.4,-10.32,,7.83,,-6.75,2.47,-4.28,,,
176,Dartmouth,Ivy,,18,8,80.4,75.7,4.73,,-8.45,,1.06,-5.38,-4.33,,,
177,Furman,Southern,,18,10,75,70.7,4.32,,-6.16,,-2.75,-1.79,-4.54,,,
178,Northern Arizona,Big Sky,,10,18,69.1,72.8,-3.68,,-0.49,,-4.05,-0.68,-4.73,,,
179,Delaware,ECC,,19,9,76.5,70.1,6.39,,-8,,-2.77,-2.07,-4.83,,,
180,Georgia State,A-Sun,,9,19,79.8,84.4,-4.57,,0.85,,3.96,-8.86,-4.9,,,
181,Hartford,ECACN,,15,16,71.8,70.2,1.61,,-6.55,,-5.33,0.4,-4.94,,,
182,Texas-Rio Grande Valley,ASC,,14,14,66.8,67.6,-0.89,,-2.48,,-7.62,2.59,-5.04,,,
183,Massachusetts,A-10,,10,17,72,74.3,-2.3,,-0.32,,-2.99,-2.07,-5.06,,,
184,Jacksonville,Sun Belt,,8,21,68.9,73.3,-4.45,,0.89,,-4.46,-0.73,-5.18,,,
185,Cornell,Ivy,,17,10,75.3,74.9,0.37,,-4.77,,-0.48,-4.98,-5.46,,,
186,Tennessee State,OVC,,11,17,75.9,77.1,-1.18,,-3.93,,-0.66,-4.88,-5.55,,,
187,Holy Cross,MAAC,,14,15,87.9,90,-2.03,,-3.5,,12.12,-17.8,-5.68,,,
188,Bowling Green State,MAC,,12,16,68,70.5,-2.54,,-2.73,,-8.52,2.75,-5.77,,,
189,Miami (OH),MAC,,9,18,70.8,75.5,-4.74,,-1.1,,-3.78,-2.06,-5.84,,,
190,Texas Christian,SWC,,9,19,59.9,68,-8.07,,2.59,,-11.26,5.42,-5.84,,,
191,Northern Iowa,Mid-Cont,,10,18,77.6,79.5,-1.96,,0.21,,2.72,-8.76,-6.04,,,
192,Duquesne,A-10,,11,21,76.6,82.5,-5.91,,1.37,,2.85,-8.98,-6.13,,,
193,Coastal Carolina,Big South,,17,11,75.6,72.3,3.29,,-6.43,,-1.2,-4.98,-6.18,,,
194,Weber State,Big Sky,,9,21,70.5,77.5,-7.03,,1.45,,-2.55,-3.69,-6.24,,,
195,Texas Southern,SWAC,,21,8,83.1,78,5.03,,-10.65,,2.08,-8.47,-6.39,,,
196,Bucknell,ECC,,16,12,83.3,79.2,4.07,,-7.05,,2.14,-8.55,-6.41,,,
197,Pacific,PCAA,,5,24,73.3,83.7,-10.38,,5.73,,-0.01,-6.52,-6.53,,,
198,Chicago State,Ind,,8,20,67.7,75.2,-7.5,,1.42,,-7.33,0.71,-6.62,,,
199,American,CAA,,14,14,72.5,74,-1.5,,-4.04,,-4.22,-2.41,-6.63,,,
200,Davidson,Southern,,15,13,73.9,73.4,0.46,,-4.36,,-3.51,-3.17,-6.68,,,
201,Texas-Arlington,Southland,,7,22,68.4,72.3,-3.9,,-2.97,,-5.94,-0.75,-6.69,,,
202,Air Force,WAC,,11,17,67.1,72.6,-5.46,,2.6,,-6.65,-0.05,-6.7,,,
203,Indiana State,MVC,,7,21,67.8,75.1,-7.29,,2.85,,-4.78,-1.93,-6.71,,,
204,Portland,WCAC,,6,22,70.7,79.1,-8.43,,3.55,,-1.47,-5.34,-6.81,,,
205,Niagara,ECACN,,15,15,73.9,73.9,0.03,,-6.86,,-3.1,-3.72,-6.83,,,
206,Mercer,A-Sun,,15,14,72,73.8,-1.83,,-3.11,,-4.83,-2.02,-6.85,,,
207,Kent State,MAC,,10,18,67.2,69.4,-2.21,,-2.3,,-9.32,2.31,-7.01,,,
208,Western Michigan,MAC,,12,17,74.8,79.8,-4.97,,-0.69,,0.27,-7.29,-7.02,,,
209,Wright State,Ind,,16,11,83.2,79.3,3.89,,-10.23,,4.58,-11.65,-7.07,,,
210,Ball State,MAC,,14,14,63.8,66.8,-2.96,,-1.85,,-10.9,3.79,-7.1,,,
211,Navy,CAA,,12,16,66.5,69.7,-3.18,,-3.86,,-9.33,2.16,-7.16,,,
212,Grambling,SWAC,,13,17,73.1,76.9,-3.8,,-3.56,,-4.44,-2.85,-7.3,,,
213,Appalachian State,Southern,,16,13,76.2,75.6,0.62,,-5.1,,-2.16,-5.22,-7.38,,,
214,South Florida,Sun Belt,,6,22,68,77.5,-9.5,,2.5,,-6.64,-0.75,-7.39,,,
215,William & Mary,CAA,,10,19,71.1,74.8,-3.72,,-1.85,,-3.47,-3.94,-7.41,,,
216,James Madison,CAA,,10,18,66.7,71.5,-4.82,,-2.62,,-7.94,0.5,-7.44,,,
217,Detroit Mercy,MW Coll,,7,23,74.1,81.8,-7.67,,0.95,,-0.41,-7.24,-7.65,,,
218,Valparaiso,Mid-Cont,,12,16,65.4,67.9,-2.46,,-0.38,,-8.89,1.14,-7.75,,,
219,Winthrop,Big South,,17,13,65.6,61.9,3.67,,-8.77,,-15.19,7.42,-7.77,,,
220,Northern Illinois,Ind,,8,20,77.5,81.1,-3.61,,-2.88,,1.91,-9.71,-7.8,,,
221,Towson,ECC,,14,16,72.6,72.9,-0.33,,-6.63,,-6.93,-0.9,-7.83,,,
222,Iona,MAAC,,11,16,77.7,81.1,-3.41,,-4.26,,1.05,-8.97,-7.92,,,
223,Northeastern,ECACN,,15,13,74.6,74,0.68,,-8.84,,-4.31,-3.86,-8.17,,,
224,Centenary (LA),A-Sun,,13,15,80.5,84.2,-3.71,,-2.14,,4.6,-12.82,-8.22,,,
225,Stephen F. Austin,Southland,,10,18,67,71.2,-4.21,,-4.11,,-8.39,0.06,-8.33,,,
226,Samford,A-Sun,,7,20,67.6,73,-5.44,,-3.06,,-7.94,-0.57,-8.51,,,
227,Texas State,Southland,,9,22,74.5,79,-4.48,,-4.39,,0.55,-9.11,-8.56,,,
228,Tennessee Tech,OVC,,12,16,73,77.9,-4.89,,-2.26,,-3.51,-5.09,-8.59,,,
229,Florida A&M,MEAC,,22,8,82.3,75.5,6.87,,-12.96,,1.13,-9.78,-8.66,,,
230,Radford,Big South,,16,14,71.8,71.3,0.57,,-7.97,,-5.46,-3.26,-8.72,,,
231,Rice,SWC,,6,21,69.1,78.2,-9.11,,1.91,,-2.75,-6.06,-8.81,,,
232,East Tennessee State,Southern,,14,15,75.4,78.8,-3.34,,-6.02,,-2.16,-6.83,-8.98,,,
233,Houston Baptist,A-Sun,,9,18,63.2,66.9,-3.67,,-2.61,,-12.72,3.63,-9.09,,,
234,Rutgers,A-10,,7,22,67.1,78.6,-11.52,,1.76,,-3.95,-5.74,-9.69,,,
235,Pennsylvania,Ivy,,10,16,67.5,75.6,-8.08,,-1.79,,-6.84,-3.03,-9.87,,,
236,North Carolina-Asheville,Big South,,13,15,75.9,74.5,1.43,,-7.18,,-5.03,-4.92,-9.94,,,
237,Morehead State,OVC,,5,22,79,86.9,-7.93,,-1.04,,2.02,-12.31,-10.29,,,
238,McNeese State,Southland,,7,22,69.3,78.2,-8.83,,-1.62,,-4.43,-6.02,-10.45,,,
239,Jackson State,SWAC,,13,15,69.3,71.4,-2.04,,-7.79,,-11.11,0.48,-10.63,,,
240,East Carolina,CAA,,8,20,64.9,71.9,-7,,-2.09,,-8.4,-2.3,-10.71,,,
241,VMI,Southern,,13,17,69.3,72.9,-3.6,,-5.47,,-7.96,-2.82,-10.77,,,
242,Illinois-Chicago,Mid-Cont,,8,20,68.8,76.7,-7.89,,-0.06,,-7.11,-4.02,-11.13,,,
243,Manhattan,MAAC,,7,23,75.1,79.7,-4.6,,-5.87,,-1.02,-10.46,-11.48,,,
244,Oral Roberts,Ind,,8,21,77.6,88,-10.45,,-1.12,,2.1,-13.59,-11.5,,,
245,Yale,Ivy,,12,14,69.6,73.2,-3.58,,-7.61,,-6.59,-4.98,-11.57,,,
246,Canisius,ECACN,,7,20,69,75.1,-6.07,,-5.6,,-7.88,-3.79,-11.68,,,
247,Maryland-Baltimore County,Ind,,13,15,75.7,78.2,-2.5,,-9.28,,-3.79,-8.01,-11.8,,,
248,Maine,ECACN,,13,15,76,78.6,-2.68,,-8.56,,-2.63,-9.2,-11.83,,,
249,Charleston Southern,Big South,,17,12,77.7,78.4,-0.76,,-8.05,,-1.01,-10.88,-11.89,,,
250,Monmouth,ECACM,,16,13,69.8,67.7,2.03,,-11.3,,-10.91,-1.06,-11.97,,,
251,Fairfield,MAAC,,8,20,63.7,71.5,-7.79,,-4.81,,-12.1,-0.6,-12.7,,,
252,Augusta State,Big South,,8,18,66.5,71.7,-5.12,,-5.54,,-8.06,-4.78,-12.84,,,
253,Robert Morris,ECACM,,14,14,69.2,69.4,-0.21,,-12.36,,-10.7,-2.18,-12.88,,,
254,Rider,ECC,,10,19,80.8,87.1,-6.28,,-3.35,,4.61,-17.72,-13.11,,,
255,Coppin State,MEAC,,13,14,75.7,75.8,-0.07,,-11,,-5.03,-8.18,-13.2,,,
256,Alcorn State,SWAC,,8,21,72.4,80.6,-8.17,,-4.38,,-6.55,-6.71,-13.26,,,
257,Harvard,Ivy,,11,15,71.7,78.3,-6.65,,-5.69,,-5.94,-7.34,-13.28,,,
258,Howard,MEAC,,15,12,76.1,75.9,0.15,,-11.18,,-10.75,-2.63,-13.38,,,
259,Western Carolina,Southern,,8,19,73.2,77.8,-4.63,,-4.72,,-6.94,-6.69,-13.63,,,
260,Nicholls State,Ind,,10,18,69.2,73.8,-4.54,,-8.94,,-9.39,-4.67,-14.06,,,
261,South Carolina State,MEAC,,16,13,72.9,71.1,1.83,,-13.13,,-11.32,-2.81,-14.13,,,
