,,,,,,,,,,,,SRS,,,Adjusted,,
213,Saint Joseph's,A-10,,8,21,67.7,75.3,-7.62,,-0.96,,-7.72,-0.93,-8.65,,,
214,Robert Morris,NEC,,21,9,77.1,74.2,2.9,,-11.33,,-5.35,-3.41,-8.76,,,
215,Drexel,ECC,,12,16,77.8,79.4,-1.57,,-7.33,,0.26,-9.17,-8.9,,,
216,Mercer,A-Sun,,14,14,73.9,71.1,2.75,,-5.09,,-6.22,-2.78,-9.01,,,
217,Mount St. Mary's,Ind,,12,15,,,,,-9.35,,-1.79,-7.29,-9.07,,,
218,Pennsylvania,Ivy,,13,13,66.4,68.3,-1.96,,-7.13,,-11.14,2.05,-9.09,,,
219,Southern Utah,Ind,,10,18,74.5,81.7,-7.21,,-0.42,,-1.37,-7.93,-9.31,,,
220,Hofstra,ECC,,14,15,68,68.6,-0.55,,-9.36,,-11.49,2.13,-9.36,,,
221,Morehead State,OVC,,15,16,78.7,79.2,-0.52,,-5.93,,-2.65,-6.73,-9.39,,,
222,Baylor,SWC,,5,22,64.3,76.4,-12.04,,2.39,,-9.97,0.54,-9.43,,,
223,Samford,A-Sun,,8,19,65.6,71.1,-5.59,,-4.26,,-13.91,4.4,-9.51,,,
224,Florida A&M,MEAC,,20,10,78.5,75.6,2.9,,-11.94,,-3.22,-6.49,-9.71,,,
225,Lehigh,ECC,,10,18,76.1,77.3,-1.18,,-7.51,,-3.09,-6.72,-9.81,,,
226,Coastal Carolina,Big South,,14,14,72.9,73.8,-0.86,,-7.71,,-7.47,-2.4,-9.87,,,
227,Fairfield,MAAC,,7,21,62.7,69.3,-6.57,,-2.88,,-14,3.83,-10.17,,,
228,Chicago State,Ind,,12,16,73.8,72.5,1.36,,-5.57,,-8,-2.2,-10.2,,,
229,Alabama State,SWAC,,13,16,87,89.5,-2.45,,-5.91,,3.82,-14.04,-10.22,,,
230,Maine,NAC,,9,19,64.8,70.3,-5.57,,-4.68,,-13.01,2.73,-10.28,,,
231,St. Bonaventure,A-10,,13,15,70.5,80.1,-9.61,,-0.85,,-4.74,-5.65,-10.38,,,
232,Marist,NEC,,13,15,79.2,78.1,1.07,,-8.89,,-3.42,-6.97,-10.39,,,
233,Massachusetts,A-10,,10,18,78.1,84.8,-6.64,,-2.02,,1.35,-11.93,-10.58,,,
234,Jackson State,SWAC,,15,13,78,77.1,0.89,,-8.45,,-6.61,-4,-10.61,,,
235,Texas-Arlington,Southland,,7,21,66.4,71.7,-5.32,,-5.25,,-12.03,1.42,-10.61,,,
236,Niagara,NAC,,9,19,67.2,74,-6.82,,-3.9,,-8.35,-2.37,-10.72,,,
237,Stephen F. Austin,Southland,,10,18,69.7,74.7,-5.04,,-5.79,,-8.5,-2.29,-10.79,,,
238,Fairleigh Dickinson,NEC,,17,12,73.3,71.3,1.93,,-11.15,,-9.78,-1.19,-10.96,,,
239,Campbell,Big South,,18,12,71.7,68.5,3.27,,-11.33,,-10.34,-0.64,-10.98,,,
240,Idaho State,Big Sky,,9,18,67,74.1,-7.11,,-0.11,,-7.26,-3.76,-11.02,,,
241,Houston Baptist,A-Sun,,9,20,70.1,75.1,-4.97,,-5.33,,-8.97,-2.18,-11.14,,,
242,North Carolina-Asheville,Big South,,16,14,78.1,76.7,1.43,,-7.84,,-1.58,-9.61,-11.19,,,
243,Northern Illinois,Ind,,11,17,79.9,84.6,-4.64,,-4.01,,-0.58,-10.63,-11.2,,,
244,Tennessee Tech,OVC,,10,20,77.1,80.9,-3.77,,-2.41,,-2.26,-9.03,-11.29,,,
245,Monmouth,NEC,,15,13,73.9,71.1,2.79,,-11.63,,-7.51,-4.2,-11.71,,,
246,Yale,Ivy,,11,17,71.4,73,-1.54,,-7.74,,-7.1,-4.64,-11.74,,,
247,Western Illinois,Mid-Cont,,9,19,66.9,75,-8.11,,-1.14,,-11.11,-0.72,-11.84,,,
248,U.S. International,Ind,,11,17,89.3,96.2,-6.89,,-2.44,,9.61,-21.47,-11.86,,,
249,Mississippi Valley State,SWAC,,8,20,75.4,78.1,-2.71,,-7.06,,-6.13,-5.82,-11.94,,,
250,Morgan State,MEAC,,16,13,72.3,70.7,1.66,,-12.16,,-7.2,-4.81,-12.01,,,
251,Maryland-Baltimore County,Ind,,17,11,75.8,76.6,-0.86,,-9.08,,-4.18,-7.98,-12.16,,,
252,Portland,WCAC,,2,26,62,78.6,-16.64,,4.68,,-9.43,-3.01,-12.44,,,
253,Navy,CAA,,6,22,65.6,73.5,-7.93,,-4.57,,-10.07,-2.43,-12.5,,,
254,Winthrop,Big South,,16,13,69.3,65.1,4.17,,-15.33,,-16.73,3.47,-13.25,,,
255,Bethune-Cookman,MEAC,,12,16,68.8,71.7,-2.89,,-10.72,,-14.35,0.73,-13.61,,,
256,Florida International,Ind,,10,18,84.2,91.6,-7.43,,-5.88,,4.31,-17.97,-13.65,,,
257,Charleston Southern,Big South,,12,16,75.8,75.4,0.39,,-11.53,,-7.12,-6.87,-13.99,,,
258,Manhattan,MAAC,,7,21,63.1,71.8,-8.68,,-5.59,,-14.89,0.56,-14.33,,,
259,George Washington,A-10,,1,27,68.4,81.5,-13.11,,-1.3,,-7.65,-6.76,-14.41,,,
260,North Carolina A&T,MEAC,,9,18,72,75.5,-3.44,,-11.72,,-7.69,-6.95,-14.64,,,
261,Harvard,Ivy,,11,15,72.5,76.9,-4.38,,-8.66,,-5.86,-8.89,-14.74,,,
262,Davidson,Ind,,7,24,65.2,73.1,-7.97,,-5.4,,-13.76,-1.03,-14.79,,,
263,Radford,Big South,,15,13,78.4,80.6,-2.18,,-9.87,,-4.95,-9.88,-14.83,,,
