,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Arizona,Pac-10,,29,4,84.5,66.9,17.61,,10.26,,13.95,13.98,27.93,,,
2,Michigan,Big Ten,,30,7,91.7,74.8,16.92,,12.06,,19.84,7.79,27.63,,,
3,Duke,ACC,,28,8,86.5,69.8,16.75,,8.19,,14.27,10.66,24.94,,,
4,Illinois,Big Ten,,31,5,86.4,73.6,12.78,,12.42,,16.18,8.49,24.68,,,
5,Oklahoma,Big 8,,30,6,102.2,88.5,13.69,,10.26,,27.41,-3.45,23.95,,,
6,North Carolina,ACC,,29,8,90,79.7,10.32,,12.4,,19.46,3.27,22.73,,,
7,Syracuse,Big East,,30,8,89.7,76.1,13.66,,9.22,,18.37,3.93,22.3,,,
8,Seton Hall,Big East,,31,7,81.8,69.2,12.53,,9.15,,11.2,9.71,20.91,,,
9,Missouri,Big 8,,29,8,88,76.8,11.16,,10.49,,13.65,7.15,20.8,,,
10,Georgetown,Big East,,29,5,80,65.4,14.56,,10.37,,4.65,15.82,20.47,,,
11,Indiana,Big Ten,,27,8,78.5,71.1,7.43,,12.84,,9.01,11.25,20.27,,,
12,Stanford,Pac-10,,26,7,76.3,65,11.36,,8.67,,5.81,14.2,20,,,
13,Iowa,Big Ten,,23,10,89.6,81.2,8.36,,9.71,,18.72,0.28,18.99,,,
14,North Carolina State,ACC,,22,9,84.5,74,10.52,,7.15,,12.37,5.29,17.66,,,
15,Louisville,Metro,,24,9,82.2,74,8.27,,9.28,,9.49,8.1,17.58,,,
16,Nevada-Las Vegas,Big West,,29,8,85.3,74.5,10.76,,6.66,,13.24,4.17,17.42,,,
17,Arkansas,SWC,,25,7,89.7,75.4,14.25,,2.76,,14.15,3.11,17.26,,,
18,Oregon State,Pac-10,,22,8,77.1,69.5,7.67,,8.6,,6.16,10.11,16.27,,,
19,Providence,Big East,,18,11,,,,,5.82,,12.41,3.85,16.27,,,
20,Purdue,Big Ten,,15,16,73.4,69.7,3.68,,12.5,,5.06,11.18,16.24,,,
21,Ohio State,Big Ten,,19,15,80,75.9,4.15,,11.85,,10.81,5.34,16.15,,,
22,Kansas,Big 8,,19,12,89,78.9,10.1,,8.55,,14.88,1.07,15.95,,,
23,Saint Mary's (CA),WCAC,,25,5,76.1,57.6,18.5,,-1.02,,-2.94,18.64,15.7,,,
24,Virginia,ACC,,22,11,81.9,78,3.97,,11.16,,9.36,6.02,15.37,,,
25,Florida State,Metro,,22,8,91.3,80.7,10.57,,4.19,,16.2,-1.07,15.12,,,
26,Georgia Tech,ACC,,20,12,80.2,74.2,6,,8.19,,7.15,7.04,14.19,,,
27,Wisconsin,Big Ten,,18,12,70,64.7,5.3,,11.23,,-1.62,15.6,13.98,,,
28,UCLA,Pac-10,,21,10,81.2,77,4.19,,9.51,,9.54,4.36,13.9,,,
29,Minnesota,Big Ten,,19,12,76.2,71.1,5.03,,10.09,,3.91,9.87,13.79,,,
30,Kansas State,Big 8,,19,11,77.1,73.1,4.03,,10.41,,4.91,8.72,13.63,,,
31,Connecticut,Big East,,18,13,72.7,66.4,6.35,,7.26,,1.26,12.35,13.61,,,
32,South Alabama,Sun Belt,,23,9,91,79.6,11.44,,2.26,,14.92,-1.4,13.52,,,
33,Texas-El Paso,WAC,,26,7,78.4,67.2,11.27,,3.4,,4.96,8.13,13.09,,,
34,Oklahoma State,Big 8,,17,13,83.5,76.1,7.4,,6.1,,8.22,4.46,12.69,,,
35,Evansville,MW Coll,,25,6,82.6,71.7,10.9,,1.39,,7.25,4.91,12.16,,,
36,Memphis,Metro,,21,11,79.5,72.5,6.97,,6.36,,5.39,6.72,12.1,,,
37,Michigan State,Big Ten,,18,15,73.9,73.1,0.79,,11.04,,3.66,8.17,11.83,,,
38,Vanderbilt,SEC,,19,14,77.2,72.3,4.91,,7.66,,3.76,8.05,11.82,,,
39,Clemson,ACC,,19,11,79.8,75.6,4.2,,7.62,,7.61,3.94,11.55,,,
40,Pittsburgh,Big East,,17,13,78.9,79.3,-0.37,,11.7,,9.64,1.86,11.5,,,
41,Notre Dame,Ind,,21,9,77.5,71.8,5.77,,5.53,,6.12,5.17,11.29,,,
42,West Virginia,A-10,,26,5,78.1,66.2,11.9,,-0.85,,1.73,9.33,11.06,,,
43,La Salle,MAAC,,26,6,82.7,71,11.72,,-0.95,,9.26,1.5,10.77,,,
44,New Mexico,WAC,,22,11,79.7,73,6.7,,4.9,,7.66,3.03,10.68,,,
45,University of California,Pac-10,,20,13,73.3,68.8,4.42,,6.45,,0.5,10.13,10.63,,,
46,Idaho,Big Sky,,25,6,76.2,61.1,15.06,,-2.62,,-0.37,10.82,10.45,,,
47,Iowa State,Big 8,,17,12,86.6,85.5,1.14,,8.89,,12.58,-2.56,10.03,,,
48,Little Rock,A-Sun,,23,8,92,80.9,11.1,,-1.4,,14.16,-4.3,9.86,,,
49,St. John's (NY),Big East,,20,13,70.6,68.9,1.7,,8.11,,-0.23,10.07,9.84,,,
50,Texas,SWC,,25,9,94.3,87.7,6.62,,3.39,,20.26,-10.57,9.69,,,
51,Alabama,SEC,,23,8,76,69.9,6.06,,3.52,,-0.6,10.19,9.58,,,
52,Ball State,MAC,,29,3,71.9,61.5,10.38,,0.12,,-4.33,13.8,9.47,,,
53,DePaul,Ind,,21,12,77.8,73.2,4.64,,5.27,,1.16,8.23,9.39,,,
54,Tennessee,SEC,,19,11,84,80.2,3.8,,5.41,,10.47,-1.27,9.21,,,
55,Saint Louis,MW Coll,,27,10,74.1,65.5,8.62,,0.35,,-1.59,10.72,9.13,,,
56,Akron,Ind,,21,8,85.3,70.7,14.59,,-5.52,,3.95,5.12,9.07,,,
57,Wichita State,MVC,,19,11,77.7,70.9,6.8,,2.23,,3.29,5.47,8.77,,,
58,Siena,NAC,,25,5,85,69.8,15.13,,-5.64,,9.35,-0.64,8.7,,,
59,Louisiana State,SEC,,20,12,92.7,89.4,3.28,,6.43,,19.22,-11.09,8.13,,,
60,Wake Forest,ACC,,13,15,76.1,76.9,-0.75,,8.37,,4.83,3.28,8.12,,,
61,Temple,A-10,,18,12,71.8,65.7,6.03,,2.08,,-3.57,11.68,8.11,,,
62,Villanova,Big East,,18,16,71.6,71,0.59,,7.99,,-0.1,8.06,7.96,,,
63,UC-Santa Barbara,Big West,,21,9,73,67.5,5.5,,2.31,,-1.64,9.45,7.81,,,
64,South Carolina,Metro,,19,11,75.3,70.8,4.47,,4.53,,-0.51,8.28,7.77,,,
65,Colorado State,WAC,,23,10,64.4,61,3.42,,4.72,,-8.72,16.26,7.54,,,
66,Georgia,SEC,,15,16,76.5,75.3,1.16,,5.63,,3.07,4.28,7.34,,,
67,Loyola Marymount,WCAC,,20,11,112.5,107.3,5.16,,2.88,,37.37,-30.03,7.34,,,
68,Louisiana Tech,ASC,,23,9,80.8,75.6,5.16,,2.1,,4.99,2.27,7.26,,,
69,Alabama-Birmingham,Sun Belt,,22,12,83.2,78.7,4.5,,2.82,,8.11,-1.05,7.06,,,
70,Arkansas State,ASC,,20,10,73.4,63.4,10.03,,-0.32,,-5.45,12.36,6.91,,,
71,Florida,SEC,,21,13,76.1,76.4,-0.32,,7.84,,3.47,3.4,6.87,,,
72,Hawaii,WAC,,17,13,71.2,69.2,1.97,,4.86,,-0.97,7.8,6.83,,,
73,Nebraska,Big 8,,17,16,76.8,78.1,-1.3,,7.71,,2.47,3.55,6.02,,,
74,Missouri State,Mid-Cont,,21,10,70.1,63.3,6.84,,0.69,,-7.08,13.04,5.96,,,
75,New Mexico State,Big West,,21,11,70.4,65.9,4.47,,3.48,,-3.66,9.6,5.94,,,
76,Xavier,MW Coll,,21,12,82.8,78.1,4.7,,2.52,,7.08,-1.31,5.77,,,
77,Boise State,Big Sky,,23,7,65.7,58.9,6.83,,-0.81,,-9.06,14.81,5.75,,,
78,Charlotte,Sun Belt,,17,12,76.5,72.4,4.07,,2.47,,-0.03,5.72,5.69,,,
79,Kent State,MAC,,20,11,74.3,69.3,5,,0.65,,0.82,4.77,5.59,,,
80,Brigham Young,WAC,,14,15,80.6,80.1,0.55,,5.02,,9.68,-4.1,5.57,,,
81,Middle Tennessee,OVC,,23,8,90.6,79.6,11.06,,-2.67,,10.72,-5.42,5.3,,,
82,Southern California,Pac-10,,10,22,72.3,72.3,0.03,,6.24,,-0.35,5.55,5.2,,,
83,Utah,WAC,,16,17,71.1,70.5,0.64,,4.51,,-0.52,5.59,5.07,,,
84,Northwestern,Big Ten,,9,19,74.3,78.5,-4.21,,13.33,,2.25,2.81,5.06,,,
85,Pepperdine,WCAC,,20,13,77.9,75.1,2.85,,2.12,,1.78,3.16,4.94,,,
86,Wyoming,WAC,,14,17,72.8,73.6,-0.77,,5.45,,0.76,4.04,4.81,,,
87,Cincinnati,Metro,,15,12,75.6,73,2.59,,2.28,,0.31,4.49,4.8,,,
88,Santa Clara,WCAC,,20,11,69,65.9,3.1,,2.08,,-6.58,11.26,4.68,,,
89,Texas Tech,SWC,,13,15,69.5,68,1.46,,3.86,,-3.48,8.16,4.68,,,
90,Penn State,A-10,,20,12,77.1,71,6.03,,-1.27,,1.53,3.07,4.6,,,
91,Old Dominion,Sun Belt,,15,13,82.2,78.6,3.61,,1.77,,5.22,-0.71,4.51,,,
92,Kentucky,SEC,,13,19,69.4,72.4,-3,,7.45,,-3.7,8.15,4.45,,,
93,Mississippi,SEC,,15,15,75.8,74.6,1.23,,4.54,,0.76,3.65,4.41,,,
94,Fresno State,Big West,,15,14,66.5,62.9,3.62,,0.58,,-8.04,12.24,4.2,,,
95,New Orleans,ASC,,19,11,68.9,66.6,2.27,,1.77,,-7.06,11.1,4.04,,,
96,Houston,SWC,,17,14,78.7,76,2.65,,1.37,,4.35,-0.34,4.01,,,
97,Maryland,ACC,,9,20,69.2,74.2,-5.03,,9.39,,-4.63,8.63,4.01,,,
98,Utah State,Big West,,12,16,77.3,76.9,0.39,,3.29,,4.83,-1.14,3.69,,,
99,Washington State,Pac-10,,10,19,63.9,66.1,-2.21,,5.69,,-8.47,11.95,3.48,,,
100,Creighton,MVC,,20,11,74.6,72.9,1.74,,1.7,,-0.07,3.51,3.44,,,
101,Boston College,Big East,,12,17,73.1,76.1,-3.07,,6.5,,1.43,1.97,3.39,,,
102,Mississippi State,SEC,,13,15,73.9,74.6,-0.79,,4.11,,0.89,2.44,3.32,,,
103,Arizona State,Pac-10,,12,16,79.6,84,-4.36,,6.83,,9.81,-6.8,3.01,,,
104,Virginia Tech,Metro,,11,17,87.2,89.5,-2.36,,6.78,,14.28,-11.28,3,,,
105,Colorado,Big 8,,7,21,76.6,84,-7.43,,10.46,,4.24,-1.28,2.96,,,
106,Air Force,WAC,,14,14,71.9,68.2,3.71,,3.39,,-4.45,7.38,2.94,,,
107,Miami (FL),Ind,,19,12,90.6,89.6,1,,2.26,,14.03,-11.19,2.84,,,
108,Virginia Commonwealth,Sun Belt,,13,15,79.1,78.9,0.25,,2.51,,3.01,-0.25,2.76,,,
109,Richmond,CAA,,21,10,69.9,65.1,4.84,,-2.15,,-6.1,8.79,2.69,,,
110,Texas A&M,SWC,,16,14,75.6,74.4,1.2,,2.68,,0.28,2.33,2.62,,,
111,Washington,Pac-10,,12,16,75.6,82.5,-6.93,,9.52,,5.9,-3.31,2.59,,,
112,Rutgers,A-10,,18,13,76.9,75,1.94,,0.59,,2.07,0.45,2.52,,,
113,Boston University,NAC,,21,9,77.4,68.8,8.6,,-6.41,,-0.63,2.82,2.19,,,
114,Bradley,MVC,,13,14,81.2,81.8,-0.59,,3.45,,8.87,-6.88,1.99,,,
115,Cleveland State,Mid-Cont,,16,12,85.9,79.2,6.71,,-1.35,,9.89,-7.94,1.94,,,
116,Cal State Fullerton,Big West,,16,13,72.2,72.1,0.07,,2.73,,-0.91,2.78,1.88,,,
117,Georgia Southern,A-Sun,,23,6,77.4,70.2,7.21,,-5.37,,-1.52,3.39,1.87,,,
118,Montana,Big Sky,,20,11,74.8,68.4,6.42,,-1.37,,-1.93,3.56,1.63,,,
119,Murray State,OVC,,19,11,76.5,70.3,6.23,,-2.44,,-2.28,3.8,1.52,,,
120,Gonzaga,WCAC,,14,14,75.7,73,2.68,,3.27,,-0.6,1.96,1.36,,,
121,Marquette,Ind,,13,15,74.1,75.4,-1.21,,3.55,,0,1.32,1.32,,,
122,Eastern Michigan,MAC,,16,13,77.7,74.4,3.24,,1.17,,3.2,-2,1.21,,,
123,Miami (OH),MAC,,13,15,70.4,70.4,0.04,,1.16,,-2.96,4.15,1.19,,,
124,Southern Illinois,MVC,,20,14,78.5,78.4,0.06,,1.79,,5.17,-4,1.17,,,
125,Southern Mississippi,Metro,,10,17,78.7,81.7,-3.04,,4.17,,3.84,-2.66,1.17,,,
126,Tulsa,MVC,,18,13,67.2,69.2,-1.97,,3.59,,-6.78,7.93,1.16,,,
127,Oregon,Pac-10,,8,21,67.4,74.3,-6.9,,9.19,,-2.54,3.63,1.08,,,
128,Nevada,Big Sky,,16,12,90.2,87.6,2.64,,-0.67,,14.97,-13.97,0.99,,,
129,Austin Peay,OVC,,18,12,85.6,79.6,5.97,,-2.48,,6.06,-5.17,0.89,,,
130,Southern Methodist,SWC,,13,16,69.8,74.8,-5.07,,4.44,,-5.23,6.06,0.83,,,
131,Western Kentucky,Sun Belt,,14,15,76,76.2,-0.24,,0.99,,0.85,-0.1,0.75,,,
132,San Diego State,WAC,,12,17,73.8,75,-1.17,,2.13,,-0.95,1.56,0.61,,,
133,Green Bay,Mid-Cont,,14,14,68.7,63.9,4.79,,-1.95,,-9.66,10.15,0.5,,,
134,Drake,MVC,,12,17,69.1,70.4,-1.28,,1.42,,-7.42,7.57,0.15,,,
135,Stetson,A-Sun,,17,12,77.9,74.2,3.66,,-3.71,,-0.95,1.06,0.12,,,
136,Texas Christian,SWC,,17,13,69,68.2,0.8,,0.37,,-8.41,8.43,0.03,,,
137,Jacksonville,Sun Belt,,14,16,80.7,81.7,-0.97,,3.29,,4.06,-4.05,0.01,,,
138,Towson,ECC,,19,10,84.3,75,9.31,,-7.42,,2.65,-2.74,-0.09,,,
139,Illinois-Chicago,Mid-Cont,,13,17,79.5,78.5,0.93,,-0.23,,3.37,-3.57,-0.2,,,
140,Saint Peter's,MAAC,,22,9,68.8,64.5,4.29,,-5.14,,-8.24,7.97,-0.27,,,
141,Eastern Illinois,Mid-Cont,,16,16,79.7,77.1,2.59,,-0.36,,2.77,-3.06,-0.29,,,
142,Auburn,SEC,,9,19,75.9,79.5,-3.57,,3.28,,0.74,-1.04,-0.3,,,
143,Dayton,MW Coll,,12,17,74.4,77.9,-3.52,,2.83,,-0.1,-0.24,-0.34,,,
144,Oral Roberts,Ind,,8,20,86.5,93.5,-6.93,,6.55,,13.48,-13.86,-0.38,,,
145,San Francisco,WCAC,,16,12,75,74.9,0.07,,2.12,,-1.79,1.36,-0.42,,,
146,Northern Iowa,Mid-Cont,,19,9,85.1,81.4,3.68,,-2.2,,6.99,-7.43,-0.44,,,
147,Southern,SWAC,,20,11,97.3,89.2,8.03,,-5.9,,14.33,-14.86,-0.53,,,
148,East Tennessee State,Southern,,20,11,85.5,82.2,3.32,,-0.43,,6.5,-7.04,-0.54,,,
149,Loyola (IL),MW Coll,,11,17,84.5,88.7,-4.25,,3.39,,10.11,-10.97,-0.86,,,
150,Appalachian State,Southern,,20,8,76.1,69.5,6.61,,-5.41,,-3.92,2.99,-0.93,,,
151,Weber State,Big Sky,,17,11,76,73.1,2.86,,-0.83,,-2.09,1.1,-0.99,,,
152,Long Beach State,Big West,,13,15,69.1,73.4,-4.29,,3.13,,-5.05,3.85,-1.19,,,
153,Toledo,MAC,,16,15,67.8,68,-0.19,,0.01,,-7.62,6.42,-1.19,,,
154,Butler,MW Coll,,11,17,68.8,71.5,-2.75,,1.36,,-6.27,4.84,-1.43,,,
155,Louisiana,ASC,,17,12,84.5,80.6,3.93,,-2.03,,8.11,-9.68,-1.57,,,
156,Illinois State,MVC,,13,17,64.7,68.4,-3.67,,1.98,,-8.84,7.16,-1.69,,,
157,Chattanooga,Southern,,18,12,77,76.8,0.27,,-1.51,,-1.44,-0.27,-1.71,,,
158,UC-Irvine,Big West,,12,17,81.6,86.3,-4.79,,3.03,,8.52,-10.29,-1.77,,,
159,Citadel,Southern,,16,12,77.7,73,4.64,,-2.33,,-1.2,-0.59,-1.79,,,
160,Rhode Island,A-10,,13,15,76.7,76.8,-0.07,,-1.21,,-1.06,-0.78,-1.84,,,
161,Ohio,MAC,,12,17,75.9,77.6,-1.69,,0.1,,2.25,-4.4,-2.15,,,
162,Princeton,Ivy,,19,8,58.3,53,5.33,,-7.15,,-20.25,18.06,-2.19,,,
163,Marshall,Southern,,15,15,84.3,84.7,-0.4,,-0.48,,6.05,-8.25,-2.21,,,
164,Lamar,ASC,,12,16,78.1,78.3,-0.14,,0.6,,2.46,-4.86,-2.4,,,
165,McNeese State,Southland,,16,14,73.8,72.9,0.83,,-3.23,,-5.72,3.32,-2.4,,,
166,Fordham,MAAC,,14,15,67.8,67.2,0.59,,-1.36,,-7.09,4.63,-2.46,,,
167,Duquesne,A-10,,13,16,81.1,81.4,-0.28,,-1.09,,4.51,-7.24,-2.73,,,
168,George Mason,CAA,,20,11,78.2,74.1,4.06,,-5.65,,-0.2,-2.72,-2.92,,,
169,James Madison,CAA,,16,14,73.6,69.8,3.77,,-5.62,,-4.43,1.44,-2.99,,,
170,Texas-San Antonio,A-Sun,,15,13,80.4,73.7,6.64,,-4.38,,0.59,-3.6,-3.01,,,
171,Texas-Rio Grande Valley,ASC,,15,13,68.9,66.9,2.04,,-3.62,,-7.3,4.09,-3.21,,,
172,South Florida,Sun Belt,,7,21,75.2,80.8,-5.57,,3.19,,-1.8,-1.42,-3.22,,,
173,Rice,SWC,,12,16,72,75.8,-3.71,,0.86,,-4.87,1.62,-3.26,,,
174,Bucknell,ECC,,23,8,81,75.5,5.52,,-7.33,,2.05,-5.42,-3.37,,,
175,Central Michigan,MAC,,12,16,68.3,71.4,-3.04,,0.27,,-5.4,2,-3.4,,,
176,Bowling Green State,MAC,,12,16,66.4,69.7,-3.36,,1,,-8.52,4.87,-3.65,,,
177,Iona,MAAC,,15,16,70.5,71.4,-0.87,,-1.51,,-4.33,0.55,-3.78,,,
178,Northeastern,NAC,,17,11,79.6,76.7,2.93,,-6.87,,2.34,-6.25,-3.91,,,
179,North Carolina-Wilmington,CAA,,16,14,69.7,67.5,2.23,,-5.19,,-6.92,3,-3.92,,,
180,American,CAA,,17,11,79,75.4,3.57,,-5.19,,2.1,-6.21,-4.11,,,
181,Western Michigan,MAC,,12,16,71.5,76.1,-4.57,,2.6,,-2.64,-1.72,-4.36,,,
182,South Carolina State,MEAC,,25,8,82.1,76.2,5.82,,-9.95,,1.17,-5.72,-4.55,,,
183,Pacific,Big West,,7,21,73.4,77.9,-4.46,,1.93,,-2.48,-2.13,-4.61,,,
184,Furman,Southern,,17,12,74.9,76.4,-1.52,,-2.1,,-3.61,-1.17,-4.78,,,
185,Holy Cross,MAAC,,13,15,82.2,83.1,-0.96,,-3.21,,5.28,-10.27,-4.99,,,
186,Montana State,Big Sky,,14,15,77,78,-1.03,,-1.2,,0.16,-5.24,-5.08,,,
187,San Diego,WCAC,,8,20,67.8,72.3,-4.57,,1.46,,-10.33,5.09,-5.24,,,
188,Sam Houston State,Southland,,12,16,77.2,78.7,-1.46,,-4.35,,-1.39,-4.38,-5.77,,,
189,Texas Southern,SWAC,,17,13,84.7,81.4,3.33,,-5.68,,1.89,-7.79,-5.9,,,
190,VMI,Southern,,11,17,76.4,76.1,0.21,,-1.71,,-2.74,-3.18,-5.92,,,
191,Dartmouth,Ivy,,17,9,75.8,73.1,2.69,,-8.67,,-1.44,-4.54,-5.97,,,
192,Lafayette,ECC,,20,10,67.1,65.9,1.27,,-6.86,,-12.07,5.96,-6.1,,,
193,Northwestern State,Southland,,13,16,88,87.6,0.38,,-6.51,,9.05,-15.18,-6.13,,,
194,North Texas,Southland,,14,15,78.7,81.5,-2.79,,-3.36,,1.42,-7.58,-6.15,,,
195,Hartford,NAC,,15,13,66.4,66.8,-0.43,,-5.8,,-10.83,4.61,-6.23,,,
196,Grambling,SWAC,,15,14,77.3,79,-1.76,,-4.88,,-1.72,-5.05,-6.77,,,
197,Eastern Washington,Big Sky,,8,22,71.9,77.4,-5.53,,0.49,,-2.71,-4.13,-6.84,,,
198,Valparaiso,Mid-Cont,,10,19,71.2,77.5,-6.31,,1.03,,-3.49,-3.41,-6.9,,,
199,Georgia State,A-Sun,,14,14,85,85,0,,-3.05,,6.01,-13.27,-7.26,,,
200,Western Carolina,Southern,,12,16,71.4,72.3,-0.89,,-4.35,,-8.82,1.55,-7.27,,,
201,San Jose State,Big West,,5,23,65.3,74.8,-9.57,,3.56,,-7.33,-0.05,-7.37,,,
202,Coppin State,MEAC,,18,11,75.9,72.4,3.52,,-11.08,,-5.21,-2.29,-7.5,,,
203,Detroit Mercy,MW Coll,,7,21,70.6,78.3,-7.71,,0.21,,-4.76,-2.75,-7.51,,,
204,Texas State,Southland,,13,17,74.8,75,-0.13,,-6.19,,-4.62,-2.91,-7.53,,,
205,Army,MAAC,,12,16,73.3,73.7,-0.39,,-6.68,,-3.55,-4.02,-7.57,,,
206,East Carolina,CAA,,15,14,69.4,70.9,-1.48,,-4.32,,-7.14,-0.44,-7.58,,,
207,Centenary (LA),A-Sun,,16,14,81.7,83.3,-1.67,,-4.44,,3.78,-11.36,-7.59,,,
208,Indiana State,MVC,,4,24,71.8,81.4,-9.57,,2.64,,-0.3,-7.3,-7.6,,,
209,Louisiana-Monroe,Southland,,17,12,73.9,74,-0.14,,-7.71,,-4.4,-3.46,-7.85,,,
210,Wright State,Ind,,17,11,82.6,79.1,3.54,,-9.33,,1.71,-9.58,-7.87,,,
211,Delaware,ECC,,14,14,72,69.3,2.71,,-8,,-5.24,-2.93,-8.17,,,
212,Canisius,NAC,,13,15,69.5,70.2,-0.71,,-6.7,,-8.67,0.09,-8.59,,,
