,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
62,Green Bay,Mid-Cont,,25,5,68.8,55.3,13.47,,-3.73,,-6.91,15.98,9.07,,,
63,Pepperdine,WCC,,24,7,75.8,67.4,8.45,,0.86,,1.38,7.65,9.03,,,
64,Notre Dame,Ind,,18,15,69.8,71.5,-1.79,,10.99,,1.76,7.25,9.02,,,
65,Tennessee,SEC (East),,19,15,77.9,77,0.94,,8.62,,7.73,0.98,8.71,,,
66,Colorado,Big 8,,13,15,71.2,72.7,-1.5,,10.2,,2.1,6.6,8.7,,,
67,Florida,SEC (East),,19,14,68.5,66.3,2.18,,6.44,,-1.6,10.22,8.62,,,
68,Wisconsin,Big Ten,,13,18,71.8,71.2,0.61,,7.79,,2.68,5.72,8.4,,,
69,Miami (OH),MAC,,23,8,68.2,60.9,7.35,,2.92,,-1.32,9.69,8.37,,,
70,Oregon State,Pac-10,,15,16,75,74.3,0.68,,8.85,,4.88,3.41,8.29,,,
71,La Salle,MAAC,,20,11,80.1,72.3,7.87,,0.33,,8.55,-0.35,8.2,,,
72,Rutgers,A-10,,16,15,78.7,75.5,3.23,,4.76,,7.43,0.56,7.99,,,
73,Auburn,SEC (West),,12,15,86.6,85.2,1.33,,9.45,,12.86,-5.03,7.83,,,
74,Utah,WAC,,24,11,68.6,61.6,7,,3.24,,-3.21,11.04,7.83,,,
75,James Madison,CAA,,21,11,78.9,69.7,9.25,,-1.55,,2.91,4.79,7.7,,,
76,Kansas State,Big 8,,16,14,71.6,73.1,-1.5,,10.18,,-0.17,7.78,7.61,,,
77,Montana,Big Sky,,27,4,76.2,64,12.13,,-4.23,,-1.34,8.77,7.43,,,
78,Butler,MW Coll,,21,10,80.7,77.8,2.9,,4.43,,10.5,-3.1,7.4,,,
79,Providence,Big East,,14,17,76.2,74.5,1.68,,5.25,,4.86,2.23,7.09,,,
80,Vanderbilt,SEC (East),,15,15,74.8,75.4,-0.6,,7.63,,4.15,2.88,7.03,,,
81,Arizona State,Pac-10,,19,14,68.4,69.1,-0.64,,7.64,,-1.48,8.42,6.94,,,
82,Clemson,ACC,,14,14,76.6,75.5,1.11,,7.29,,3.66,3.28,6.94,,,
83,UC-Santa Barbara,Big West,,20,9,70.3,65.7,4.55,,3.58,,-2.3,9.2,6.9,,,
84,East Tennessee State,Southern,,24,7,86.1,77.7,8.45,,-1.8,,9.25,-2.55,6.7,,,
85,Penn State,Ind,,21,8,73.4,65.1,8.28,,-1.67,,-1.71,8.32,6.6,,,
86,Wyoming,WAC,,16,13,74.4,70.3,4.14,,2.83,,3.4,3.14,6.54,,,
87,South Florida,Metro,,19,10,76.4,73.6,2.83,,3.34,,3.8,2.72,6.52,,,
88,Rice,SWC,,20,11,76.5,69.5,7,,-0.52,,3.47,2.94,6.41,,,
89,Richmond,CAA,,22,8,72.7,64.5,8.17,,-1.79,,-0.92,7.29,6.38,,,
90,Princeton,Ivy,,22,6,59,48.2,10.79,,-3.63,,-16.48,22.78,6.3,,,
91,Missouri State,MVC,,23,8,64.6,56.8,7.81,,-1.09,,-6.57,12.68,6.11,,,
92,Xavier,MW Coll,,15,12,78.3,75.4,2.89,,2.3,,7.11,-1.25,5.86,,,
93,University of California,Pac-10,,10,18,75.7,77,-1.29,,7.02,,5.56,0.17,5.73,,,
94,Ball State,MAC,,24,9,68.9,59.4,9.58,,-1.21,,-5.66,11.31,5.65,,,
95,Louisiana,Sun Belt,,21,11,80.2,75.6,4.66,,0.9,,6.76,-1.2,5.56,,,
96,Mississippi State,SEC (West),,15,13,77,75.4,1.57,,5.06,,3.78,1.73,5.51,,,
97,North Carolina State,ACC,,12,18,77.2,81.2,-4,,9.7,,7.1,-1.61,5.5,,,
98,Southern Mississippi,Metro,,13,16,75.6,76.6,-0.93,,6.88,,3.59,1.69,5.28,,,
99,South Carolina,SEC (East),,11,17,67.6,66.8,0.75,,6.14,,-5.7,10.91,5.21,,,
100,Utah State,Big West,,16,12,77.3,76.7,0.57,,5.07,,5.68,-0.62,5.07,,,
