,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
255,Howard,MEAC,,17,14,70.3,72,-1.74,,-10.72,,-9.65,-2.83,-12.48,,,
256,Western Carolina,Southern,,11,17,80.1,84.3,-4.25,,-6.05,,2.68,-15.19,-12.51,,,
257,Florida International,A-Sun,,11,17,72.7,76.9,-4.18,,-5.89,,-6.86,-5.78,-12.64,,,
258,Valparaiso,Mid-Cont,,5,22,62.8,74,-11.22,,-1.18,,-10.25,-2.39,-12.64,,,
259,Florida A&M,MEAC,,16,14,76.6,74.6,2.03,,-13.95,,-6.65,-6.08,-12.74,,,
260,South Carolina State,MEAC,,14,15,71.1,69.1,1.97,,-14.49,,-10.38,-2.46,-12.84,,,
261,North Carolina A&T,MEAC,,18,9,76.5,73.3,3.19,,-15.59,,-5.32,-7.55,-12.87,,,
262,VMI,Southern,,10,18,68.8,73.6,-4.75,,-5.35,,-10.35,-2.54,-12.89,,,
263,Charleston Southern,Big South,,16,14,68.4,67.1,1.33,,-9.55,,-10.68,-2.45,-13.13,,,
264,Coastal Carolina,Big South,,12,19,64.5,69,-4.55,,-6.57,,-11.96,-1.68,-13.64,,,
265,Boston University,NAC,,10,18,68.9,76.8,-7.82,,-4.69,,-6.12,-7.53,-13.65,,,
266,Citadel,Southern,,10,18,69.8,78.4,-8.54,,-2.48,,-5.13,-8.59,-13.72,,,
267,Southeastern Louisiana,A-Sun,,6,22,74.6,84.3,-9.71,,-4.06,,-3.21,-10.57,-13.78,,,
268,Stetson,A-Sun,,11,17,77.9,83.5,-5.54,,-7.25,,-2.37,-11.74,-14.1,,,
269,Saint Francis (PA),NEC,,13,16,70.5,75.2,-4.66,,-9.09,,-8.86,-5.66,-14.52,,,
270,Dartmouth,Ivy,,10,16,57,61.7,-4.69,,-7.73,,-20.08,5.46,-14.61,,,
271,Northeastern Illinois,Ind,,8,20,74.4,81.5,-7.14,,-3.8,,-5.5,-9.15,-14.65,,,
272,Hartford,NAC,,6,21,63.1,70.7,-7.59,,-7.38,,-13.47,-1.5,-14.97,,,
273,McNeese State,Southland,,7,22,72.5,83,-10.52,,-4,,-5.34,-9.88,-15.22,,,
274,Texas-Rio Grande Valley,Sun Belt,,3,26,59.9,74.1,-14.21,,-1,,-15.42,-0.33,-15.75,,,
275,Long Island University,NEC,,11,18,80,86.3,-6.38,,-9.63,,2.26,-18.27,-16.01,,,
276,Tennessee State,OVC,,4,24,68.1,80.5,-12.46,,-1.88,,-10.72,-5.45,-16.17,,,
277,Centenary (LA),A-Sun,,10,18,84.7,90.1,-5.39,,-6.59,,2.83,-19.02,-16.19,,,
278,North Carolina-Greensboro,Ind,,7,21,60.9,71,-10.11,,-6.74,,-16.85,0.36,-16.49,,,
279,Army,Patriot,,4,24,53,64.4,-11.39,,-5.19,,-23.33,6.78,-16.55,,,
280,New Hampshire,NAC,,7,21,63.2,75.9,-12.68,,-4.67,,-10.59,-6.76,-17.35,,,
281,Harvard,Ivy,,6,20,65.5,78.9,-13.38,,-4.4,,-8.21,-9.3,-17.52,,,
282,Chicago State,Ind,,7,21,78.7,96.4,-17.68,,-0.42,,2.36,-19.9,-17.54,,,
283,Mount St. Mary's,NEC,,6,22,77.4,14.8,62.61,,-7.92,,-0.58,-16.99,-17.57,,,
284,Northern Arizona,Big Sky,,7,20,71.6,86.4,-14.74,,-1.92,,-4.44,-13.36,-17.8,,,
285,Sacramento State,Ind,,4,24,74.3,88.3,-14,,-3.48,,-1.12,-17.6,-18.71,,,
286,Youngstown State,Ind,,6,22,66.1,75.1,-8.96,,-6.4,,-12.59,-6.72,-19.31,,,
287,North Carolina-Asheville,Big South,,9,19,68.5,76.7,-8.21,,-8.25,,-9.09,-10.27,-19.37,,,
288,Delaware State,MEAC,,12,16,76.8,82.5,-5.75,,-14.2,,-4.68,-15.83,-20.51,,,
289,Brooklyn,ECC,,5,23,66.8,78.5,-11.64,,-9.65,,-12.98,-8.16,-21.15,,,
290,Winthrop,Big South,,6,22,60.6,69.5,-8.89,,-10.41,,-18.35,-3.64,-21.99,,,
291,Central Connecticut State,ECC,,7,21,73.5,87.5,-14.04,,-8.57,,-5.13,-17.45,-22.57,,,
292,Sam Houston State,Southland,,2,25,63.1,83.3,-20.15,,-3.33,,-13.09,-10.39,-23.48,,,
293,Grambling,SWAC,,4,24,79.3,93.1,-13.75,,-10.96,,-4.48,-20.48,-24.96,,,
294,Buffalo,ECC,,2,26,62.9,82.4,-19.5,,-9.54,,-17.96,-11.97,-29.93,,,
295,Bethune-Cookman,MEAC,,4,25,72.4,90.6,-18.17,,-10.98,,-8.2,-22.64,-30.84,,,
296,Morgan State,MEAC,,6,23,73.2,92.9,-19.66,,-12.07,,-8.03,-23.87,-31.9,,,
297,Maryland-Eastern Shore,MEAC,,3,25,65.8,87.1,-21.25,,-11.43,,-16.4,-16.69,-33.09,,,
298,Prairie View,SWAC,,0,28,64.6,99,-34.32,,-4.95,,-15.4,-24.63,-40.03,,,
