,,,,,,,,,,,,SRS,,,Adjusted,,
218,Northern Iowa,Mid-Cont,,8,19,70.6,73.7,-3.11,,-1.8,,-1.06,-7,-8.06,,,
219,Charleston Southern,Big South,,21,9,74.2,68.3,5.93,,-11.03,,-1.31,-7.06,-8.37,,,
220,Mercer,A-Sun,,15,14,66.8,66.8,0.03,,-7.59,,-8.15,-0.36,-8.51,,,
221,Hawaii,WAC,,4,24,66.2,77.6,-11.39,,2.53,,0.67,-9.29,-8.62,,,
222,Massachusetts,A-10,,9,19,61.7,69,-7.25,,-0.83,,-7.37,-1.34,-8.72,,,
223,Furman,Southern,,10,17,66,69,-2.93,,-1.92,,-7,-1.96,-8.96,,,
224,Houston Baptist,A-Sun,,14,14,67.9,67.9,-0.04,,-5.22,,-8.11,-0.9,-9.01,,,
225,Centenary (LA),A-Sun,,13,17,,,,,-4.46,,0.53,-9.55,-9.02,,,
226,Hofstra,ECC,,17,13,71.4,71.1,0.23,,-9.93,,-3.58,-5.5,-9.07,,,
227,Lehigh,ECC,,13,15,74,71.8,2.25,,-8.85,,-0.84,-8.25,-9.09,,,
228,Rutgers,A-10,,8,21,62.9,71.6,-8.72,,-0.58,,-5.68,-3.45,-9.13,,,
229,Yale,Ivy,,13,13,71.7,71.1,0.65,,-9.38,,-0.2,-9.18,-9.38,,,
230,Samford,A-Sun,,16,13,68.7,70,-1.24,,-5.69,,-4.26,-5.27,-9.53,,,
231,Loyola (MD),ECACM,,16,12,74.6,72.4,2.18,,-11.47,,-1.15,-8.59,-9.74,,,
232,Bowling Green State,MAC,,7,20,67.6,74.4,-6.81,,-2.55,,-2.24,-7.54,-9.78,,,
233,Howard,MEAC,,18,9,76,70.3,5.67,,-14.56,,-6.31,-3.75,-10.06,,,
234,Citadel,Southern,,10,18,73.4,77.3,-3.96,,-4.52,,-0.97,-9.47,-10.44,,,
235,Jackson State,SWAC,,14,15,71.1,69.8,1.31,,-10.9,,-5.46,-5.02,-10.48,,,
236,Radford,Big South,,11,17,65.9,67.2,-1.32,,-6.51,,-8.44,-2.36,-10.8,,,
237,Holy Cross,MAAC,,12,18,70.8,75.2,-4.43,,-6.7,,0.21,-11.22,-11.01,,,
238,Tennessee State,Ind,,14,14,65,68.8,-3.86,,-5.31,,-9.44,-1.64,-11.08,,,
239,Saint Mary's (CA),WCAC,,10,17,69.4,75.9,-6.52,,-1.5,,-2.96,-8.33,-11.28,,,
240,Lafayette,ECC,,14,15,67.2,68.1,-0.9,,-9.59,,-7.83,-3.5,-11.33,,,
241,Wagner,ECACM,,16,13,78.6,77.4,1.21,,-10.99,,2.51,-13.94,-11.43,,,
242,New Hampshire,ECACN,,11,17,,,,,-6.87,,-9.39,-2.09,-11.48,,,
243,San Francisco,WCAC,,7,21,63.8,70.1,-6.32,,-0.79,,-6.79,-5.09,-11.87,,,
244,Maine,ECACN,,7,20,63,70.2,-7.22,,-4.64,,-7.55,-4.55,-12.1,,,
245,Morehead State,OVC,,8,19,66.7,72.1,-5.37,,-3.37,,-6.19,-5.96,-12.15,,,
246,Bucknell,ECC,,17,12,70.8,70,0.86,,-9.75,,-5.9,-6.33,-12.23,,,
247,Army,MAAC,,9,18,60.4,65.1,-4.63,,-6.99,,-12.18,-0.32,-12.49,,,
248,Towson,ECC,,8,20,65.3,70.8,-5.43,,-7.15,,-8.69,-3.93,-12.62,,,
249,Green Bay,Mid-Cont,,5,23,54.2,64.4,-10.14,,-0.53,,-15.56,2.92,-12.65,,,
250,Delaware,ECC,,11,16,74.9,76.7,-1.78,,-8.97,,-0.38,-12.54,-12.92,,,
251,Florida A&M,Ind,,12,16,76.6,78.3,-1.61,,-10.21,,-0.37,-13.12,-13.49,,,
252,Valparaiso,Mid-Cont,,9,19,62.6,70.5,-7.93,,-1.75,,-9.21,-4.37,-13.58,,,
253,Vermont,ECACN,,9,19,64.8,67.8,-2.96,,-6.87,,-7.6,-6.14,-13.75,,,
254,Dartmouth,Ivy,,11,15,63.9,65.6,-1.69,,-9.52,,-9.84,-4,-13.84,,,
255,Alabama State,SWAC,,11,17,81.7,85.9,-4.14,,-9.08,,4.43,-18.76,-14.33,,,
256,Robert Morris,ECACM,,10,18,65,67.8,-2.75,,-11,,-12.31,-2.23,-14.54,,,
257,Nicholls State,GSC,,8,16,66.6,71,-4.38,,-10.56,,-7.42,-7.39,-14.81,,,
258,Central Florida,Ind,,6,22,65.9,76,-10.11,,-3.79,,-5.6,-9.44,-15.04,,,
259,Texas-San Antonio,Ind,,7,24,64.9,73.9,-9.06,,-4.71,,-6.52,-8.64,-15.16,,,
260,Monmouth,ECACM,,9,19,70.3,74.4,-4.11,,-7.87,,-4.97,-10.29,-15.26,,,
261,Georgia State,A-Sun,,10,18,76.2,84,-7.75,,-4.69,,2.75,-18.02,-15.28,,,
262,Augusta State,Big South,,13,17,67.8,70.3,-2.5,,-10.98,,-9.04,-6.54,-15.58,,,
263,Utica,Ind,,13,14,67.7,69.5,-1.78,,-8.29,,-10.57,-5.02,-15.59,,,
