,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,North Carolina,ACC,,28,6,86.6,69,17.62,,8.51,,21.23,4.9,26.13,,,
2,Kansas,Big 8,,35,4,80.5,67.5,12.92,,10.42,,14.98,8.2,23.18,,,
3,Duke,ACC,,37,3,79.9,67.2,12.63,,9.5,,16.07,6.03,22.1,,,
4,Michigan,Big Ten,,28,5,77.9,64.8,13.12,,9.55,,10.85,11.02,21.88,,,
5,Kentucky,SEC,,32,4,74.1,61.2,12.83,,9.63,,8.77,13.03,21.8,,,
6,Georgia Tech,ACC,,27,7,75.1,63.6,11.5,,11.7,,10.78,10.98,21.76,,,
7,Syracuse,Big East,,26,6,83.6,68.3,15.31,,6.65,,16.33,5.42,21.74,,,
8,Louisville,Metro,,32,7,79.4,69.1,10.31,,10.41,,13.03,7.61,20.64,,,
9,Illinois,Big Ten,,22,10,72.8,61.2,11.66,,9.44,,6.42,13.92,20.34,,,
10,Michigan State,Big Ten,,23,8,83.1,71.3,11.81,,7.98,,17.53,2.26,19.78,,,
11,Memphis,Metro,,28,6,82.4,67.4,15,,5.48,,14.27,5.36,19.63,,,
12,Indiana,Big Ten,,21,8,76.3,67.9,8.45,,11.41,,12.32,6.36,18.68,,,
13,Oklahoma,Big 8,,26,9,87.9,75.4,12.49,,8.49,,20.9,-3,17.9,,,
14,Notre Dame,Ind,,23,6,78.9,64.8,14.07,,4.16,,10.17,7.49,17.66,,,
15,Georgetown,Big East,,24,8,78.5,65,13.53,,6.78,,9.83,7.67,17.5,,,
16,St. John's (NY),Big East,,31,5,77.1,66.2,10.92,,6.26,,9.38,7.83,17.21,,,
17,North Carolina State,ACC,,21,13,70.6,63.2,7.38,,10.39,,4.77,12.15,16.92,,,
18,Alabama,SEC,,24,9,75.5,67.7,7.82,,9.09,,10.67,6.06,16.73,,,
19,Iowa,Big Ten,,20,12,73.6,65.7,7.91,,9.28,,7.51,8.41,15.92,,,
20,Purdue,Big Ten,,22,10,77,70.1,6.94,,9.5,,11.19,4.58,15.77,,,
21,Louisiana State,SEC,,26,12,75.7,70.5,5.21,,10.71,,10.56,4.56,15.12,,,
22,Maryland,ACC,,19,14,70.4,65.6,4.73,,11.05,,5.06,10.02,15.08,,,
23,Auburn,SEC,,22,11,72.1,66.5,5.61,,9.65,,7.8,7.08,14.88,,,
24,Virginia,ACC,,19,11,70.4,64.9,5.43,,9.39,,5.47,9.36,14.83,,,
25,Nevada-Las Vegas,PCAA,,33,5,76,66.8,9.16,,4.34,,11.98,2.81,14.79,,,
26,Iowa State,Big 8,,22,11,76.1,69.1,7,,10.69,,9.66,4.8,14.45,,,
27,Cleveland State,Mid-Cont,,29,4,88.9,69.6,19.27,,-2.48,,16.5,-2.78,13.72,,,
28,Georgia,SEC,,17,13,77.9,72.2,5.7,,7.94,,12.65,1.06,13.71,,,
29,Alabama-Birmingham,Sun Belt,,25,11,68.4,60.3,8.19,,6.45,,2.91,10.63,13.54,,,
30,Navy,CAA,,30,5,77.2,63.3,13.83,,1.29,,8.77,4.73,13.5,,,
31,Clemson,ACC,,19,15,74.9,67.5,7.41,,5.45,,7.35,5.51,12.86,,,
32,Ohio State,Big Ten,,19,14,75.2,72.3,2.91,,9.69,,10.28,2.32,12.6,,,
33,Missouri,Big 8,,21,14,73,69.2,3.8,,8.55,,6.77,5.81,12.58,,,
34,Nebraska,Big 8,,19,11,70.8,66.7,4.17,,8.92,,2.38,9.18,11.57,,,
35,Virginia Tech,Metro,,22,9,78.7,73.1,5.58,,5.65,,11.96,-0.68,11.28,,,
36,Pittsburgh,Big East,,15,14,76.1,69,7.03,,6.57,,7.6,3.6,11.2,,,
37,Western Kentucky,Sun Belt,,23,8,69.5,62.5,7.03,,5.31,,2.73,8.3,11.03,,,
38,DePaul,Ind,,18,13,69.1,65.8,3.35,,7.43,,3.03,7.75,10.78,,,
39,Texas Christian,SWC,,22,9,70,58.7,11.32,,2.38,,1.71,8.92,10.63,,,
40,Kansas State,Big 8,,16,14,71.3,67.9,3.37,,10.22,,3.63,6.99,10.62,,,
41,Florida,SEC,,19,14,70.2,66.8,3.42,,7.12,,3.83,6.71,10.55,,,
42,Jacksonville,Sun Belt,,21,10,67.2,62.2,4.97,,5.77,,1.01,9.27,10.29,,,
43,Tulsa,MVC,,23,9,65.3,57.9,7.34,,3.72,,-0.29,10.5,10.22,,,
44,Bradley,MVC,,32,3,71.5,64.1,7.43,,2.58,,6.15,3.78,9.93,,,
45,Arizona,Pac-10,,23,9,68.8,62.3,6.56,,4.15,,0.62,9.13,9.75,,,
46,Old Dominion,Sun Belt,,23,8,67,61.5,5.48,,5.48,,2.11,7.57,9.68,,,
47,Temple,A-10,,25,6,67.6,58,9.65,,-0.26,,-1.41,10.8,9.39,,,
48,Villanova,Big East,,23,14,69.8,66.2,3.51,,6.26,,1.72,7.62,9.34,,,
49,Tennessee,SEC,,12,16,67.3,68.2,-0.93,,9.96,,2.83,6.24,9.07,,,
50,Marquette,Ind,,19,11,72.9,65.8,7.1,,1.85,,4.17,4.79,8.95,,,
51,Pepperdine,WCAC,,25,5,77.5,67.9,9.57,,-0.79,,7.94,0.86,8.79,,,
52,Washington,Pac-10,,19,12,72.1,69,3.1,,5.37,,5.64,2.83,8.47,,,
53,Xavier,MW Coll,,25,5,79,70,9.03,,1.05,,10.28,-1.83,8.45,,,
54,Providence,Big East,,17,14,79,75.4,3.68,,6.23,,11.62,-3.3,8.33,,,
55,Richmond,CAA,,23,7,66.1,59.4,6.67,,0.92,,-1.99,10.01,8.02,,,
56,Texas-El Paso,WAC,,27,6,67.8,60.2,7.58,,0.6,,-1.47,9.38,7.91,,,
57,Minnesota,Big Ten,,15,16,69,69.2,-0.16,,10.34,,2.44,5.32,7.76,,,
58,Oklahoma State,Big 8,,15,13,72.3,71.8,0.5,,8.84,,5.15,2.53,7.68,,,
59,Saint Joseph's,A-10,,26,6,69.4,62.8,6.59,,0.95,,1.67,5.94,7.61,,,
60,West Virginia,A-10,,22,11,69.9,63.6,6.27,,1.71,,1.89,5.63,7.52,,,
61,Texas,SWC,,19,12,64.2,61.5,2.74,,4.84,,-2.18,9.61,7.43,,,
62,Miami (OH),MAC,,24,7,76.8,67.7,9.06,,-0.07,,6.01,1.4,7.41,,,
63,Texas A&M,SWC,,20,12,68.5,65.7,2.84,,3.81,,2.65,3.68,6.33,,,
64,UCLA,Pac-10,,15,14,75,74.4,0.52,,5.8,,8.23,-1.92,6.32,,,
65,Oregon,Pac-10,,11,17,67.9,66.1,1.82,,4.01,,1.26,5.05,6.31,,,
66,Boston College,Big East,,13,15,73.3,73.1,0.14,,7.05,,5.73,0.51,6.24,,,
67,Virginia Commonwealth,Sun Belt,,12,16,64.7,64.5,0.18,,6.06,,0.73,5.51,6.24,,,
68,Dayton,Ind,,17,13,71.4,68.1,3.3,,2.88,,4.12,2.06,6.18,,,
69,New Orleans,Ind,,16,12,74.8,68.3,6.43,,1.71,,2.47,3.24,5.71,,,
70,Vanderbilt,SEC,,13,15,69.6,72.5,-2.93,,8.64,,5.65,0.03,5.68,,,
71,University of California,Pac-10,,19,10,68.3,63.4,4.83,,2.84,,-1.55,7.17,5.61,,,
72,Southern Mississippi,Metro,,17,12,77.9,76.6,1.31,,7.41,,9.11,-3.55,5.57,,,
73,Southern Methodist,SWC,,18,11,64.9,61.4,3.48,,1.96,,-1.58,7.02,5.44,,,
74,Wyoming,WAC,,24,12,70.2,66.3,3.89,,2.8,,2.32,2.92,5.24,,,
75,Mississippi,SEC,,12,17,66.8,68.7,-1.9,,9.25,,0.07,5.14,5.21,,,
76,Louisiana-Monroe,Southland,,20,10,71.1,64.9,6.2,,-0.67,,0.23,4.93,5.16,,,
77,Cincinnati,Metro,,12,16,68.4,71.6,-3.29,,9.65,,1.08,3.99,5.07,,,
78,San Diego,WCAC,,19,9,70.4,61.4,9.07,,-3.25,,-2.66,7.64,4.98,,,
79,Lamar,Southland,,18,12,71,67.3,3.7,,2.57,,2.15,2.63,4.78,,,
80,South Carolina,Metro,,12,16,74,73.4,0.64,,4.15,,3.85,0.9,4.76,,,
81,Mississippi State,SEC,,8,22,60.6,66.6,-6,,10.34,,-3.2,7.93,4.73,,,
82,Utah,WAC,,20,10,73.8,70,3.8,,1.99,,3.2,1.4,4.61,,,
83,Brigham Young,WAC,,18,14,72.8,70.6,2.16,,2.46,,4.53,0.02,4.55,,,
84,New Mexico State,PCAA,,18,12,66.7,61.9,4.83,,3.02,,0.36,4.05,4.41,,,
85,Louisiana Tech,Southland,,20,14,68.1,65.9,2.26,,2.09,,-0.63,5.02,4.39,,,
86,Montana,Big Sky,,21,11,72.6,64.6,8.03,,0.12,,4.33,0,4.33,,,
87,New Mexico,WAC,,17,14,67.5,63.9,3.55,,0.59,,-1.93,6.07,4.14,,,
88,Wisconsin,Big Ten,,12,16,71.3,74.7,-3.39,,10.61,,4.25,-0.13,4.13,,,
89,Houston,SWC,,14,14,77.8,75.6,2.11,,4.05,,11.85,-7.76,4.09,,,
90,Texas Tech,SWC,,17,14,62,62.7,-0.71,,5.18,,-3.48,7.4,3.92,,,
91,Northern Arizona,Big Sky,,19,10,69.7,29.6,40.07,,-0.09,,1.19,2.64,3.83,,,
92,South Florida,Sun Belt,,14,14,60.1,60.1,-0.07,,4.6,,-5.84,9.63,3.79,,,
93,Louisiana,Ind,,15,13,69.5,67.6,1.86,,2.45,,1.74,2,3.74,,,
94,Northeastern,ECACN,,26,5,74.3,64.4,9.9,,-5.24,,4,-0.3,3.7,,,
95,McNeese State,Southland,,21,11,72.4,67.4,5,,1.37,,3.7,-0.02,3.68,,,
96,Missouri State,Mid-Cont,,24,8,,,,,-2.65,,-3.56,7.05,3.49,,,
97,UC-Irvine,PCAA,,17,13,77.5,75.2,2.3,,2.57,,11.63,-8.23,3.4,,,
98,Drake,MVC,,19,11,66.1,63.8,2.23,,3.09,,0.25,3.1,3.35,,,
99,Middle Tennessee,OVC,,23,11,82,73.3,8.68,,-1.65,,9.6,-6.25,3.35,,,
100,Connecticut,Big East,,12,16,68,69.3,-1.36,,5.22,,-0.75,3.94,3.19,,,
101,Oregon State,Pac-10,,12,15,60.9,61.5,-0.59,,3.59,,-5.76,8.83,3.07,,,
102,George Mason,CAA,,20,12,71.2,66.4,4.84,,-0.22,,1.75,1.22,2.97,,,
103,Wichita State,MVC,,14,14,63.4,62.9,0.5,,3.46,,0.15,2.76,2.91,,,
104,Florida State,Metro,,12,17,79.4,81.3,-1.83,,8.93,,8.87,-6.02,2.85,,,
105,Washington State,Pac-10,,15,16,68.6,70.2,-1.55,,4.31,,2.36,0.34,2.7,,,
106,Stanford,Pac-10,,14,16,74.1,70.3,3.87,,4.5,,4.75,-2.06,2.69,,,
107,Seton Hall,Big East,,14,18,71,69.9,1.09,,5.7,,3.19,-0.53,2.66,,,
108,Loyola (IL),MW Coll,,13,16,76,76.8,-0.83,,3.48,,8.66,-6.01,2.65,,,
109,Cal State Fullerton,PCAA,,16,16,68.4,65.5,2.91,,1.74,,-1.98,4.58,2.6,,,
110,Southern California,Pac-10,,11,17,69.4,71,-1.54,,4.13,,2.37,0.22,2.6,,,
111,Ohio,MAC,,22,8,77.1,70.8,6.33,,-1.73,,3.92,-1.51,2.41,,,
112,Illinois State,MVC,,15,14,61.4,61,0.38,,2.1,,-4.59,6.94,2.35,,,
113,San Jose State,PCAA,,16,12,65.4,60.7,4.75,,0.64,,-3.74,5.95,2.21,,,
114,Weber State,Big Sky,,18,11,75.4,69.4,6,,-0.43,,5.34,-3.24,2.11,,,
115,Texas-Rio Grande Valley,Ind,,20,8,74.3,62.9,11.32,,-5.34,,-3.67,5.75,2.08,,,
116,Arkansas,SWC,,12,16,69.8,70.8,-1,,2.99,,3.14,-1.15,1.99,,,
117,South Alabama,Sun Belt,,16,16,65.1,64,1.06,,3.3,,-4.24,6.15,1.92,,,
118,Saint Louis,MW Coll,,18,12,67.6,63,4.6,,-0.12,,-3.16,5.07,1.91,,,
119,Arizona State,Pac-10,,14,14,69.9,71,-1.14,,5.03,,3.17,-1.5,1.67,,,
120,Arkansas State,Southland,,18,11,70.2,66,4.24,,1.17,,-0.46,2.03,1.57,,,
121,Little Rock,A-Sun,,23,11,79.3,73,6.29,,-4.89,,7.12,-5.72,1.4,,,
122,Wake Forest,ACC,,8,21,59.8,67.3,-7.48,,9.25,,-5.12,6.51,1.39,,,
123,Eastern Washington,Ind,,20,8,70.9,65.8,5.11,,-2.1,,-1.42,2.57,1.15,,,
124,Montana State,Big Sky,,14,17,76.2,75.4,0.74,,1.47,,9.83,-8.69,1.14,,,
125,Pacific,PCAA,,17,14,66.1,65.8,0.32,,1.3,,-2.41,3.38,0.98,,,
126,Fresno State,PCAA,,15,15,55.8,56.9,-1.1,,3.67,,-12.48,13.36,0.88,,,
127,Loyola Marymount,WCAC,,19,11,80.3,74.9,5.37,,-1.58,,7.34,-6.5,0.83,,,
128,Davidson,Southern,,20,11,70,63.5,6.55,,-3.26,,-4.81,5.21,0.4,,,
129,Indiana State,MVC,,11,17,60.9,59.4,1.5,,1.37,,-7.16,7.53,0.37,,,
130,Ball State,MAC,,21,10,73.3,70.8,2.42,,-1.75,,2.51,-2.22,0.29,,,
131,North Carolina-Wilmington,CAA,,16,13,72.1,68.2,3.9,,-2.59,,2.52,-2.42,0.1,,,
132,Akron,OVC,,22,8,76.2,68.5,7.73,,-3.79,,0.55,-0.5,0.05,,,
133,Boston University,ECACN,,21,10,70.4,65.4,4.97,,-4.5,,0.16,-0.13,0.04,,,
134,San Diego State,WAC,,10,19,74.7,76.7,-2,,1.93,,7.15,-7.15,0,,,
135,Colorado,Big 8,,8,20,72.3,79.8,-7.5,,9.27,,6.32,-6.44,-0.12,,,
136,Oral Roberts,MW Coll,,10,18,68.5,69.4,-0.93,,1.23,,-1.44,1.26,-0.18,,,
137,UC-Santa Barbara,PCAA,,12,15,71.3,70.5,0.81,,2.21,,0.54,-0.77,-0.23,,,
138,Utah State,PCAA,,12,16,75,78.8,-3.75,,3.67,,9.58,-9.87,-0.29,,,
139,Southern,SWAC,,19,8,74.5,66.4,8.04,,-8.4,,0.94,-1.31,-0.37,,,
140,La Salle,MAAC,,14,14,71.6,67.5,4.11,,-4.43,,1.3,-1.69,-0.39,,,
141,Marshall,Southern,,19,11,76.2,73.9,2.27,,-3.26,,3.46,-3.87,-0.41,,,
142,Detroit Mercy,MW Coll,,14,15,66.4,66.5,-0.14,,1.75,,-3.88,3.39,-0.49,,,
143,Chicago State,Ind,,22,6,79.4,69.9,9.5,,-6.75,,1.09,-1.63,-0.55,,,
144,Creighton,MVC,,12,16,59.6,62.9,-3.36,,4.14,,-6.7,6.03,-0.66,,,
145,Chattanooga,Southern,,21,10,72,67.9,4.1,,-2.1,,-0.26,-0.66,-0.93,,,
146,Duquesne,A-10,,15,14,70.7,68.9,1.76,,-1.93,,0.5,-1.54,-1.04,,,
147,Eastern Illinois,Mid-Cont,,19,13,74.5,71.4,3.16,,-1.89,,3.93,-5.18,-1.25,,,
148,Gonzaga,WCAC,,15,13,67.2,64.9,2.29,,-2.69,,-2.89,0.87,-2.02,,,
149,St. Bonaventure,A-10,,15,13,73.3,72.5,0.71,,0.5,,2.84,-4.86,-2.02,,,
150,Canisius,ECACN,,21,8,66,61.1,4.93,,-5.81,,-6.28,4.25,-2.03,,,
151,Northern Illinois,MAC,,15,12,72.8,71.8,1.04,,-0.95,,0.86,-2.98,-2.12,,,
152,Colorado State,WAC,,11,18,62.6,65.1,-2.45,,1.29,,-5.1,2.65,-2.45,,,
153,Charlotte,Sun Belt,,8,20,70.7,75.4,-4.68,,5.17,,3.98,-6.54,-2.55,,,
154,West Texas A&M,MVC,,11,17,,,,,2.72,,-10.8,8.15,-2.66,,,
155,Idaho State,Big Sky,,15,12,63.3,62.4,0.81,,-1.33,,-6.28,3.57,-2.71,,,
156,Nevada,Big Sky,,13,15,69,72.2,-3.25,,0.91,,1.44,-4.3,-2.86,,,
157,Kent State,MAC,,11,16,66.5,68.8,-2.26,,-0.09,,-5.15,1.91,-3.24,,,
158,Northwestern,Big Ten,,7,20,62.3,74.7,-12.33,,12.12,,-4.69,1.06,-3.63,,,
159,Fairfield,MAAC,,24,7,65.3,61.9,3.42,,-6.65,,-6.79,3.14,-3.65,,,
160,Siena,ECACN,,21,8,70.8,66.5,4.28,,-7.43,,-0.5,-3.15,-3.65,,,
161,Baylor,SWC,,11,16,60.5,61.2,-0.74,,2.28,,-10.6,6.75,-3.85,,,
162,Pennsylvania,Ivy,,15,11,68.1,67.4,0.69,,-4.65,,-1.33,-2.63,-3.96,,,
163,George Washington,A-10,,12,16,71.3,72.9,-1.54,,0.77,,1.27,-5.35,-4.08,,,
164,North Texas,Southland,,10,18,66.2,70.2,-4,,1.3,,-2.1,-2.07,-4.16,,,
165,Santa Clara,WCAC,,12,16,66,66.4,-0.32,,-0.81,,-5.51,1.2,-4.31,,,
166,Western Michigan,MAC,,12,16,70.5,72.5,-2,,-0.32,,-1.05,-3.43,-4.48,,,
167,Boise State,Big Sky,,12,16,65.3,66.3,-1,,-0.66,,-7.28,2.78,-4.5,,,
168,Tennessee Tech,OVC,,14,15,69.3,69.1,0.28,,-2.01,,-2.82,-1.73,-4.55,,,
169,Rice,SWC,,9,19,61.5,62.6,-1.18,,3.14,,-9.25,4.64,-4.61,,,
170,Portland,WCAC,,13,15,59.3,60.7,-1.43,,-1.62,,-10.83,6.21,-4.62,,,
171,Northwestern State,GSC,,11,16,63.6,66.7,-3.11,,-1.38,,-6.78,2.14,-4.64,,,
172,Saint Peter's,MAAC,,16,12,58,55,3.07,,-7.24,,-14.67,10.01,-4.65,,,
173,Murray State,OVC,,17,12,69.2,70.2,-1.03,,-1.54,,-2.33,-2.41,-4.74,,,
174,Central Michigan,MAC,,11,17,66.8,69.3,-2.54,,-0.48,,-5.79,1.03,-4.76,,,
175,Fordham,MAAC,,13,17,61.3,62.6,-1.3,,-4.33,,-9.38,4.5,-4.88,,,
176,Western Illinois,Mid-Cont,,13,15,69.3,67.8,1.57,,-0.74,,-5.53,0.21,-5.32,,,
177,Southeastern Louisiana,GSC,,10,18,69.4,73.9,-4.57,,-1.28,,-0.32,-5.04,-5.36,,,
178,Youngstown State,OVC,,12,16,69.1,67.9,1.18,,-2.84,,-3.82,-1.6,-5.42,,,
179,Mississippi Valley State,SWAC,,20,11,75.9,70.6,5.29,,-10.28,,-4.08,-1.47,-5.54,,,
180,James Madison,CAA,,5,23,61.5,67.8,-6.36,,0.86,,-6.68,1.11,-5.57,,,
181,Eastern Kentucky,OVC,,10,18,65.6,66.8,-1.25,,-1.89,,-6.45,0.77,-5.68,,,
182,Fairleigh Dickinson,ECACM,,22,8,75.2,67.4,7.83,,-11.26,,-2.14,-3.58,-5.72,,,
183,Long Beach State,PCAA,,7,22,65.3,71.9,-6.52,,2.31,,-2.66,-3.11,-5.76,,,
184,Columbia,Ivy,,12,14,65.5,62.1,3.35,,-7.47,,-6.74,0.94,-5.8,,,
185,Cornell,Ivy,,14,12,62.6,61.4,1.19,,-6.92,,-9.51,3.72,-5.8,,,
186,Hardin-Simmons,A-Sun,,15,13,71.9,68.7,3.21,,-7.49,,-3.59,-2.27,-5.87,,,
187,Evansville,MW Coll,,8,19,62,66.9,-4.85,,-0.73,,-6.95,1.07,-5.88,,,
188,Illinois-Chicago,Mid-Cont,,13,16,77,80.5,-3.48,,-1.06,,5.23,-11.11,-5.88,,,
189,Toledo,MAC,,12,17,69.2,73.9,-4.62,,-1.03,,-1.5,-4.38,-5.88,,,
190,Eastern Michigan,MAC,,9,18,70,74.3,-4.33,,-1.21,,-1.27,-4.63,-5.9,,,
191,Hartford,ECACN,,12,16,62.7,63.2,-0.54,,-5.22,,-8.1,2.09,-6,,,
192,Austin Peay,OVC,,14,14,71.7,72.8,-1.11,,-2.39,,-1.78,-4.23,-6.01,,,
193,Georgia Southern,A-Sun,,15,13,67.2,61.4,5.86,,-7.83,,-10.04,3.96,-6.08,,,
194,East Tennessee State,Southern,,13,16,74.4,75.6,-1.1,,-4.23,,3.51,-9.63,-6.11,,,
195,Penn State,A-10,,12,17,61.3,64.1,-2.86,,-1.51,,-9.87,3.69,-6.17,,,
196,William & Mary,CAA,,8,20,55.6,63.1,-7.54,,2.46,,-12.56,6.39,-6.17,,,
197,Rhode Island,A-10,,9,19,65.9,69.4,-3.5,,-1.1,,-3.55,-2.66,-6.21,,,
198,Texas-Arlington,Southland,,12,18,73.4,76.2,-2.8,,-2.37,,2.12,-8.42,-6.29,,,
199,Miami (FL),Ind,,14,14,71.6,76.1,-4.46,,-1.99,,-0.16,-6.3,-6.46,,,
200,Southern Illinois,MVC,,8,20,62.3,70.6,-8.29,,3.56,,-3.3,-3.22,-6.52,,,
201,Butler,MW Coll,,9,19,67,71.3,-4.29,,0.37,,-4.03,-2.72,-6.75,,,
202,Alcorn State,SWAC,,16,13,76.4,20.9,55.48,,-7.64,,2.72,-9.52,-6.8,,,
203,Iona,MAAC,,14,15,66,69.6,-3.66,,-4.16,,-4.27,-2.62,-6.89,,,
204,Air Force,WAC,,10,19,60.7,64.4,-3.69,,0.2,,-11.74,4.82,-6.92,,,
205,Idaho,Big Sky,,11,18,65.9,66.2,-0.28,,-0.53,,-3.56,-3.44,-7,,,
206,Princeton,Ivy,,13,13,55.8,55,0.81,,-7.02,,-17.72,10.58,-7.14,,,
207,East Carolina,CAA,,12,16,62.5,66.9,-4.43,,0.11,,-6.81,-0.34,-7.15,,,
208,Appalachian State,Southern,,17,12,64.2,65.5,-1.28,,-3.43,,-9.71,2.32,-7.39,,,
209,Marist,ECACM,,19,12,66.3,63.4,2.87,,-9.3,,-7.44,-0.03,-7.47,,,
210,Niagara,ECACN,,14,14,70.6,72.7,-2.14,,-5.53,,1.24,-8.73,-7.5,,,
211,Drexel,ECC,,19,12,74.5,72.7,1.84,,-8.67,,0.62,-8.17,-7.55,,,
212,American,CAA,,10,18,69.1,74.2,-5.11,,0.21,,-1.12,-6.47,-7.59,,,
213,VMI,Southern,,11,17,71.6,74.3,-2.75,,-2.08,,0.83,-8.45,-7.62,,,
214,Stetson,A-Sun,,10,18,68.1,72.6,-4.57,,-2.48,,-3.07,-4.6,-7.67,,,
215,North Carolina A&T,MEAC,,22,8,62.8,57.7,5.1,,-12.67,,-12.61,4.86,-7.75,,,
216,Brown,Ivy,,16,11,72.7,73,-0.3,,-5.86,,1.26,-9.24,-7.98,,,
217,Western Carolina,Southern,,14,14,72.2,72.1,0.07,,-4.62,,-1.87,-6.13,-8,,,
