,,,,,,,,,,,,SRS,,,Adjusted,,
28,Southern Methodist,SWC,,23,10,75.5,67.5,7.97,,3.32,,7.16,4.41,11.57,,,
29,Kentucky,SEC,,18,13,65.7,63.7,1.97,,9.57,,1.36,10.17,11.53,,,
30,Tulsa,MVC,,23,8,81.5,72.9,8.61,,3.74,,11.19,0.05,11.24,,,
31,Auburn,SEC,,22,12,70.3,65.2,5.06,,7.92,,4.93,6.23,11.17,,,
32,Louisiana Tech,Southland,,29,3,77.9,65.1,12.81,,-1.38,,5.9,5.27,11.17,,,
33,Arizona,Pac-10,,21,10,68.5,60.3,8.23,,4.44,,0.53,10.53,11.05,,,
34,Boston College,Big East,,20,11,74.8,68,6.74,,6.23,,7.14,3.85,10.99,,,
35,Notre Dame,Ind,,21,9,69.8,62.3,7.43,,3.66,,3.31,7.64,10.96,,,
36,UCLA,Pac-10,,21,12,69.2,63.5,5.7,,5.12,,4.2,6.48,10.68,,,
37,Loyola (IL),MW City,,27,6,83.5,77.3,6.21,,4.07,,16.68,-6.4,10.28,,,
38,Texas Tech,SWC,,23,8,69,63,5.94,,4.17,,0.88,9.19,10.07,,,
39,Wake Forest,ACC,,15,14,73.1,68.7,4.41,,6.98,,7.4,2.51,9.91,,,
40,Arkansas,SWC,,22,13,65.3,61.7,3.6,,6.19,,-0.63,10.42,9.79,,,
41,Nevada-Las Vegas,PCAA,,28,4,80.5,70.4,10.03,,0.18,,12.68,-2.97,9.71,,,
42,Tennessee,SEC,,22,15,74.6,72.1,2.49,,7.16,,9.67,-0.02,9.64,,,
43,Alabama-Birmingham,Sun Belt,,25,9,67.7,62.4,5.24,,5.17,,-1.25,10.51,9.26,,,
44,Dayton,Ind,,19,10,68.8,64.1,4.69,,4.55,,2.46,6.78,9.24,,,
45,Wichita State,MVC,,18,13,76.3,70.8,5.52,,4.33,,7.73,1.39,9.13,,,
46,Iowa State,Big 8,,21,13,75.1,67.6,7.5,,5.6,,3.37,5.5,8.87,,,
47,Mississippi State,SEC,,13,15,64.6,64,0.57,,9.09,,0.24,8.5,8.74,,,
48,Southern California,Pac-10,,19,10,67.9,64.4,3.55,,5.14,,3.24,5.44,8.69,,,
49,Florida State,Metro,,14,16,76.7,71.8,4.93,,7.72,,9.74,-1.1,8.65,,,
50,Illinois State,MVC,,22,8,70.4,65,5.33,,3.2,,1.57,7.07,8.65,,,
51,Oregon State,Pac-10,,22,9,63.3,57.7,5.61,,4.27,,-2.21,10.67,8.47,,,
52,Texas-El Paso,WAC,,22,10,73.8,67.3,6.53,,1.46,,3.84,4.36,8.2,,,
53,Clemson,ACC,,16,13,75,71,4,,5.52,,8.01,0.05,8.06,,,
54,Virginia,ACC,,17,16,61.2,59.6,1.67,,8.22,,-4.38,12.41,8.03,,,
55,Louisville,Metro,,19,18,69.9,69.8,0.14,,8.18,,3.05,4.65,7.7,,,
56,Temple,A-10,,25,6,62.9,56,6.94,,0.66,,-3.48,11.15,7.66,,,
57,Marquette,Ind,,20,11,66.3,60.6,5.74,,1.85,,-1.24,8.83,7.6,,,
58,Old Dominion,Sun Belt,,19,12,74.2,71.8,2.45,,6.1,,8.32,-0.9,7.43,,,
59,Pittsburgh,Big East,,17,12,70.7,67.3,3.38,,5.61,,2.95,4.25,7.2,,,
60,Texas A&M,SWC,,19,11,69,64.6,4.4,,3.71,,1.58,5.61,7.19,,,
61,San Diego State,WAC,,23,8,80.4,72.3,8.16,,-1.01,,10.9,-3.75,7.15,,,
62,Navy,ECACS,,26,6,78.4,65.3,13.03,,-3.8,,7,-0.03,6.97,,,
63,Lamar,Southland,,20,12,75.1,67.6,7.44,,-0.63,,4.55,2.1,6.66,,,
64,Miami (OH),MAC,,20,11,72.8,68,4.87,,2.4,,3.96,2.68,6.64,,,
65,South Florida,Sun Belt,,18,12,68.3,63.4,4.9,,1.63,,-0.56,7.09,6.53,,,
66,Missouri,Big 8,,18,14,72.1,69.7,2.38,,5.68,,2.98,3.43,6.41,,,
67,Nebraska,Big 8,,16,14,71.8,69,2.87,,5.34,,2.02,4.25,6.27,,,
68,Weber State,Big Sky,,20,9,76.9,66.6,10.28,,-2.27,,5.45,0.7,6.15,,,
69,Western Kentucky,Sun Belt,,14,14,70.3,65,5.21,,2.22,,2.04,4.1,6.15,,,
70,Santa Clara,WCAC,,20,9,73.1,65.6,7.52,,0.34,,5.29,0.81,6.1,,,
71,South Alabama,Sun Belt,,15,13,76.8,70.8,6.04,,1.02,,6.66,-0.64,6.02,,,
72,Louisiana,Ind,,17,14,75,67.9,7.06,,0.79,,5.08,0.67,5.76,,,
73,Minnesota,Big Ten,,13,15,66.6,69.4,-2.79,,8.75,,2.9,2.67,5.57,,,
74,Bradley,MVC,,17,13,70,68.6,1.47,,4.33,,1.25,4.11,5.37,,,
75,Tulane,Metro,,15,13,62.4,60.9,1.54,,3.99,,-6.36,11.61,5.25,,,
76,Oral Roberts,MW City,,15,15,74.9,73.3,1.67,,3.99,,6.45,-1.21,5.24,,,
77,Houston,SWC,,16,14,77.8,75.4,2.33,,4.94,,11.44,-6.21,5.23,,,
78,Jacksonville,Sun Belt,,15,14,68.6,65.9,2.69,,3.18,,1.05,3.94,4.99,,,
79,West Virginia,A-10,,20,9,67,62.6,4.48,,0.97,,0.76,4.14,4.9,,,
80,Ohio,MAC,,22,8,67.1,62.9,4.23,,0.87,,-4.27,9.14,4.87,,,
81,Texas Christian,SWC,,16,12,69.8,64,5.75,,2.84,,-1.31,6.03,4.72,,,
82,Kansas State,Big 8,,14,14,68.2,66.6,1.54,,3.85,,-0.63,5.24,4.61,,,
83,Richmond,ECACS,,21,11,68.3,62.6,5.72,,-1.23,,-1.26,5.64,4.38,,,
84,Fresno State,PCAA,,23,9,59.6,53,6.56,,-0.24,,-10.37,14.59,4.22,,,
85,Cincinnati,Metro,,17,14,63.7,65.5,-1.81,,6.82,,-1.33,5.52,4.2,,,
86,Saint Joseph's,A-10,,19,12,,,,,0.96,,-3.39,7.58,4.19,,,
87,Xavier,MW City,,16,13,71.9,69.6,2.28,,2.62,,3.09,1.09,4.19,,,
88,Detroit Mercy,MW City,,16,12,74,73.2,0.79,,3.89,,5.58,-1.44,4.15,,,
89,Oregon,Pac-10,,15,16,61.8,61.9,-0.1,,5.27,,-2.39,6.49,4.09,,,
90,Oklahoma State,Big 8,,12,16,73.7,73.7,-0.04,,4.61,,6.2,-2.29,3.91,,,
91,Texas,SWC,,15,13,65.4,63.8,1.64,,4.14,,-3.48,7.38,3.9,,,
92,Nevada,Big Sky,,21,10,77.9,70.4,7.55,,0.96,,8.14,-4.38,3.76,,,
93,Southern Illinois,MVC,,14,14,73,71.8,1.18,,3.61,,4.53,-0.76,3.76,,,
94,Vanderbilt,SEC,,11,17,70.5,72.4,-1.93,,5.69,,4.67,-0.91,3.76,,,
95,Connecticut,Big East,,13,15,71.1,71.2,-0.07,,3.66,,3.2,0.39,3.59,,,
96,Wisconsin,Big Ten,,14,14,70.3,71.9,-1.64,,7.35,,3.44,0.06,3.51,,,
97,Pepperdine,WCAC,,23,9,75.8,71,4.84,,-1.26,,6.15,-2.66,3.49,,,
98,New Mexico,WAC,,19,13,70.4,66.8,3.63,,0.5,,0.76,2.61,3.37,,,
99,Creighton,MVC,,20,12,74.3,73.2,1.19,,5.36,,4.57,-1.29,3.28,,,
100,Iona,MAAC,,26,5,74.6,67.5,7.19,,-3.88,,2.53,0.66,3.19,,,
101,Murray State,OVC,,19,9,66.9,60,6.86,,-4.08,,-3.54,6,2.46,,,
102,Toledo,MAC,,16,12,69.3,67.1,2.18,,0.83,,-1.08,3.54,2.46,,,
103,George Washington,A-10,,14,14,69.7,64.4,5.32,,-1.66,,0.99,1.42,2.41,,,
104,Northeastern,ECACN,,22,9,79,69.4,9.61,,-4.49,,6.1,-3.72,2.37,,,
105,Montana,Big Sky,,22,8,68.4,61,7.33,,-1.93,,-2.83,5.18,2.34,,,
106,South Carolina,Metro,,15,13,74.7,73.8,0.86,,2.97,,5.54,-3.39,2.16,,,
107,Indiana State,MVC,,14,15,78.1,77.7,0.48,,4.43,,8.42,-6.3,2.12,,,
108,University of California,Pac-10,,13,15,62.1,61.8,0.25,,4.32,,-4.94,7.02,2.08,,,
109,Alcorn State,SWAC,,23,7,85.2,76.2,9,,-5.59,,8.83,-6.84,1.99,,,
110,Kent State,MAC,,17,13,71.7,70.2,1.47,,1.21,,2.29,-0.33,1.97,,,
111,Marshall,Southern,,21,13,75.2,69.4,5.82,,-2.47,,4.42,-2.48,1.94,,,
112,San Jose State,PCAA,,16,13,70.4,63.7,6.72,,-0.46,,-0.79,2.73,1.94,,,
113,Canisius,ECACN,,20,10,72.9,64.1,8.8,,-5.41,,0.92,1,1.91,,,
114,Eastern Michigan,MAC,,15,13,75.6,73.8,1.79,,0.94,,5.28,-3.45,1.83,,,
115,Arizona State,Pac-10,,12,16,67.8,71.3,-3.46,,5.88,,3.66,-1.86,1.8,,,
116,Chattanooga,Southern,,24,8,71.4,66.4,5.06,,-2.04,,-0.35,2.07,1.72,,,
117,Cleveland State,Mid-Cont,,21,8,81.5,71.5,10.03,,-4.9,,9.4,-7.69,1.71,,,
118,Brigham Young,WAC,,15,14,75,74.4,0.55,,1.15,,5.65,-3.95,1.7,,,
119,Tennessee Tech,OVC,,19,9,72.2,66.2,5.96,,-1.49,,0.5,0.97,1.47,,,
120,George Mason,ECACS,,18,11,78.8,73.6,5.21,,-3.63,,8.49,-7.05,1.44,,,
121,McNeese State,Southland,,18,10,76.3,71.2,5.04,,-0.49,,3.76,-2.42,1.34,,,
122,Washington State,Pac-10,,13,15,64,65.6,-1.61,,4.47,,-0.76,2.08,1.31,,,
123,Ball State,MAC,,13,16,76.7,75.1,1.66,,-0.36,,7,-5.71,1.29,,,
124,Saint Mary's (CA),WCAC,,15,12,67.4,62.2,5.19,,-0.53,,-3.12,4.34,1.21,,,
125,Southern Mississippi,Metro,,7,21,68.5,72.3,-3.79,,6.93,,1.53,-0.32,1.21,,,
126,Rutgers,A-10,,16,14,71.5,69,2.43,,-0.58,,5.04,-4.05,0.98,,,
127,Butler,MW City,,19,10,68.2,66.9,1.34,,0.64,,-2.9,3.66,0.76,,,
128,Colorado State,WAC,,18,12,69.1,66.7,2.43,,-0.95,,-2.07,2.8,0.73,,,
129,Fordham,MAAC,,19,12,66.9,63.6,3.29,,-2.74,,-3.61,4.22,0.62,,,
130,Southern,SWAC,,19,11,83.8,77.7,6.1,,-5.52,,10.18,-9.66,0.51,,,
131,Utah,WAC,,15,16,71,72,-1.06,,2.05,,2.23,-1.75,0.48,,,
132,Mercer,A-Sun,,22,9,78,69.6,8.32,,-7.19,,5.72,-5.42,0.3,,,
133,Northwestern,Big Ten,,6,22,56.3,65,-8.71,,11.32,,-9.07,9.31,0.24,,,
134,Cal State Fullerton,PCAA,,17,13,67.8,65.9,1.87,,-0.93,,-1.83,2,0.18,,,
135,Utah State,PCAA,,17,11,81.9,81.3,0.57,,-0.37,,13.69,-13.54,0.15,,,
136,Mississippi,SEC,,11,17,60.9,66,-5.04,,8.6,,-6.61,6.64,0.04,,,
137,Saint Louis,MW City,,13,15,66,65,1.04,,1,,-7.12,7.03,-0.08,,,
138,Seton Hall,Big East,,10,18,72.3,74.8,-2.46,,4.6,,5.6,-5.76,-0.16,,,
139,Boise State,Big Sky,,16,13,67.8,63,4.76,,-1.62,,-3.34,3.13,-0.22,,,
140,Providence,Big East,,11,20,65.1,71.5,-6.48,,6.58,,-0.43,0.14,-0.29,,,
141,Youngstown State,OVC,,19,11,69.5,67.5,1.97,,-2.05,,-0.65,0.16,-0.49,,,
142,Drake,MVC,,12,15,66.3,67.6,-1.3,,2.66,,-2.77,2.18,-0.59,,,
143,St. Bonaventure,A-10,,14,15,64.8,62.9,1.9,,-0.05,,-3.1,2.49,-0.6,,,
144,Georgia Southern,A-Sun,,24,5,69.4,60.4,9.03,,-9.75,,-5.93,5.26,-0.67,,,
145,Stanford,Pac-10,,11,17,67.7,67.8,-0.11,,4.1,,0.12,-0.85,-0.74,,,
146,Wyoming,WAC,,15,14,65.4,65.5,-0.1,,1.18,,-5.64,4.86,-0.78,,,
147,Baylor,SWC,,11,17,81.8,81,0.79,,3.78,,12.27,-13.07,-0.8,,,
148,Rice,SWC,,11,16,65,66.8,-1.78,,5.2,,-3.73,2.8,-0.93,,,
149,Louisiana-Monroe,Southland,,17,12,73.1,69,4.1,,-4.67,,-0.71,-0.32,-1.04,,,
150,William & Mary,ECACS,,16,12,66.5,65.3,1.18,,-0.88,,-3.66,2.52,-1.14,,,
151,Hawaii,WAC,,10,18,69.4,74.9,-5.46,,2.1,,1.16,-2.68,-1.51,,,
152,Siena,ECACN,,22,7,72.7,64.2,8.48,,-7.74,,0.06,-1.65,-1.59,,,
153,Colorado,Big 8,,11,17,72,76.5,-4.5,,5.28,,3.44,-5.12,-1.68,,,
154,Houston Baptist,A-Sun,,21,8,70.1,62.5,7.66,,-6.37,,-4.92,3.15,-1.77,,,
155,James Madison,ECACS,,14,14,62.9,62.3,0.61,,-0.1,,-7.14,5.31,-1.83,,,
156,Eastern Illinois,Mid-Cont,,20,10,76.6,70.3,6.23,,-5.96,,1.48,-3.36,-1.89,,,
157,Evansville,MW City,,13,16,70,73,-3,,1.69,,1.88,-3.82,-1.94,,,
158,Missouri State,Mid-Cont,,17,13,,,,,-3.64,,-2.44,0.46,-1.98,,,
159,Southeastern Louisiana,GSC,,18,9,73.1,70.3,2.81,,-4.82,,0.32,-2.32,-2,,,
160,San Diego,WCAC,,16,11,61.6,59.2,2.41,,-1.12,,-8.61,6.57,-2.04,,,
161,Western Michigan,MAC,,12,16,76.2,77.3,-1.04,,1.98,,5.89,-7.95,-2.06,,,
162,Northern Arizona,Big Sky,,17,12,69.3,67.8,1.52,,-0.47,,-2.15,0.03,-2.12,,,
163,Gonzaga,WCAC,,15,13,59.3,58.1,1.21,,-0.76,,-11.16,9,-2.16,,,
164,Texas-San Antonio,Ind,,18,10,76.6,72.3,4.32,,-6.42,,2.88,-5.06,-2.18,,,
165,Mississippi Valley State,SWAC,,18,11,78.2,72.1,6.03,,-7.3,,3.65,-5.91,-2.26,,,
166,West Texas A&M,MVC,,11,17,,,,,3.86,,0.42,-2.73,-2.31,,,
167,Middle Tennessee,OVC,,17,14,69.1,66.9,2.16,,-1.73,,-1.72,-0.6,-2.32,,,
168,Boston University,ECACN,,15,15,68.8,66.4,2.4,,-4.7,,-1.68,-1.1,-2.77,,,
169,Chicago State,Ind,,16,11,73.9,70,3.89,,-4.95,,1.33,-4.19,-2.87,,,
170,Montana State,Big Sky,,11,17,68.1,67.5,0.64,,-1.15,,-0.28,-2.6,-2.87,,,
171,Eastern Kentucky,OVC,,16,13,67.4,64.8,2.62,,-2.46,,-4.98,2.04,-2.94,,,
172,Citadel,Southern,,18,11,77.5,75.1,2.41,,-3.16,,5.15,-8.11,-2.96,,,
173,UC-Santa Barbara,PCAA,,12,16,66.7,68.7,-2.04,,-0.38,,-2.45,-0.7,-3.15,,,
174,Davidson,Southern,,10,19,69.6,71.7,-2.1,,-0.22,,-2.87,-0.46,-3.33,,,
175,UC-Irvine,PCAA,,13,17,75.9,77.4,-1.43,,-0.69,,7.05,-10.42,-3.37,,,
176,La Salle,MAAC,,15,13,73.6,74.9,-1.29,,-2.29,,4.08,-7.65,-3.57,,,
177,Little Rock,A-Sun,,17,13,71.9,69.6,2.3,,-5.71,,-1.14,-2.44,-3.58,,,
178,New Orleans,Ind,,11,19,66.3,70.4,-4.07,,1.49,,-3.37,-0.21,-3.58,,,
179,Bowling Green State,MAC,,12,15,64.9,69.6,-4.7,,-1.06,,-2.76,-0.83,-3.6,,,
180,Pennsylvania,Ivy,,13,14,67.9,67.3,0.59,,-4.27,,-0.87,-2.81,-3.68,,,
181,Nicholls State,GSC,,17,10,70.8,66.9,3.96,,-8.84,,-1.23,-2.48,-3.71,,,
182,Massachusetts,A-10,,13,15,63.5,65.5,-2.07,,-1.69,,-4.06,0.29,-3.76,,,
183,Cornell,Ivy,,14,12,62,58.7,3.35,,-6.1,,-8.16,4.35,-3.81,,,
184,Samford,A-Sun,,18,12,74.5,70.7,3.87,,-6.98,,1.59,-5.42,-3.83,,,
185,Army,MAAC,,16,13,66.8,66.2,0.52,,-3.65,,-5.81,1.76,-4.04,,,
186,Idaho State,Big Sky,,15,18,74,74,0,,-2.05,,3.23,-7.29,-4.05,,,
187,Portland,WCAC,,14,14,62.8,64.3,-1.46,,-0.12,,-6.74,2.66,-4.08,,,
188,Northern Illinois,MAC,,11,16,69.1,71.9,-2.78,,1.5,,-2.04,-2.1,-4.14,,,
189,Saint Peter's,MAAC,,15,14,63.9,62.3,1.59,,-5.31,,-8.52,4.17,-4.35,,,
190,Texas Southern,SWAC,,11,17,71.9,70.9,1,,-4.35,,-2.72,-1.71,-4.42,,,
191,VMI,Southern,,16,14,62.1,60.5,1.57,,-2.44,,-11.28,6.77,-4.51,,,
192,Arkansas State,Southland,,14,14,65.8,66.1,-0.32,,-1.69,,-7.37,2.8,-4.57,,,
193,Marist,ECACM,,17,12,63.4,58.4,5,,-8.32,,-11.09,6.52,-4.57,,,
194,Niagara,ECACN,,16,12,70.8,68.5,2.25,,-4.76,,-0.58,-4.03,-4.61,,,
195,Fairleigh Dickinson,ECACM,,21,10,68.1,64.2,3.87,,-7.62,,-6.14,1.45,-4.69,,,
196,Western Carolina,Southern,,14,14,72.5,70,2.57,,-4.74,,1.65,-6.35,-4.7,,,
197,Appalachian State,Southern,,14,14,72,68.9,3.11,,-2.18,,-4.34,-0.64,-4.97,,,
198,Texas-Rio Grande Valley,Ind,,12,16,67.2,67.3,-0.04,,-2.38,,-3.46,-1.75,-5.21,,,
199,Central Michigan,MAC,,9,18,70.8,74.7,-3.89,,0.37,,-0.86,-4.82,-5.68,,,
200,Utica,Ind,,15,12,65.9,61.4,4.48,,-6.35,,-8.15,2.42,-5.74,,,
201,Air Force,WAC,,8,20,64.3,67.1,-2.89,,-0.31,,-6.64,0.54,-6.11,,,
202,New Mexico State,PCAA,,7,20,65.9,74.8,-8.89,,1.06,,0.19,-6.32,-6.12,,,
203,Loyola Marymount,WCAC,,11,16,68.5,69.1,-0.63,,-1.39,,-1.86,-4.32,-6.17,,,
204,North Carolina A&T,MEAC,,19,10,71.6,66.7,4.93,,-9.12,,-3.28,-3,-6.28,,,
205,Loyola (MD),ECACM,,16,14,69.1,68.6,0.53,,-6.58,,-2.47,-4.05,-6.51,,,
206,Western Illinois,Mid-Cont,,14,14,69.1,71,-1.96,,-4,,-2.67,-3.87,-6.54,,,
207,Bucknell,ECC,,19,10,71.4,66.9,4.55,,-8.91,,-2.55,-4.08,-6.63,,,
208,Columbia,Ivy,,13,13,59.8,61.2,-1.46,,-4.87,,-10.45,3.78,-6.67,,,
209,Idaho,Big Sky,,8,22,69.7,76.4,-6.73,,0.23,,1.82,-8.52,-6.7,,,
210,Stetson,Ind,,12,16,66.6,71.1,-4.5,,-0.73,,-4.63,-2.48,-7.1,,,
211,Charlotte,Sun Belt,,5,23,69.1,77,-7.89,,3.48,,0.9,-8.1,-7.2,,,
212,Akron,OVC,,12,14,62.9,63.7,-0.85,,-4.3,,-10.38,3.04,-7.34,,,
213,Duquesne,A-10,,12,18,63.1,69.6,-6.47,,0.26,,-4.44,-2.9,-7.34,,,
214,Penn State,A-10,,8,19,64.7,71.6,-6.89,,0.73,,-3.79,-3.73,-7.52,,,
215,Harvard,Ivy,,15,9,65.7,63.9,1.75,,-8.2,,-6.05,-1.48,-7.53,,,
216,Illinois-Chicago,Mid-Cont,,14,14,70.4,75.5,-5.07,,-3.68,,-0.98,-6.59,-7.57,,,
217,Lafayette,ECC,,15,13,63.9,63.8,0.14,,-6.57,,-9.07,1.47,-7.61,,,
218,Oklahoma City,MW City,,6,20,67.2,73.8,-6.58,,2.25,,-4.27,-3.39,-7.66,,,
219,Long Island University,ECACM,,15,13,76,73.6,2.43,,-6.93,,0.86,-8.57,-7.72,,,
220,Howard,MEAC,,15,11,75.8,68.6,7.19,,-11.36,,-9.32,1.43,-7.9,,,
221,Furman,Southern,,7,21,63.1,67.9,-4.75,,-0.97,,-8.12,0.04,-8.08,,,
222,Fairfield,MAAC,,11,17,74.8,78.2,-3.36,,-3.5,,4.13,-12.22,-8.09,,,
223,North Carolina-Wilmington,ECACS,,12,16,66.3,67.8,-1.5,,-3.95,,-6.6,-1.59,-8.19,,,
224,Holy Cross,MAAC,,9,19,70.3,75.4,-5.14,,-2.09,,-0.51,-7.77,-8.28,,,
225,Manhattan,MAAC,,8,20,64.3,68.6,-4.32,,-4.35,,-7.4,-1.09,-8.49,,,
226,Rhode Island,A-10,,8,20,63.9,68.7,-4.82,,-1.26,,-5.91,-2.66,-8.57,,,
227,Hofstra,ECC,,14,15,74,73.2,0.76,,-7.7,,-0.14,-8.94,-9.09,,,
228,Eastern Washington,Ind,,12,15,68.7,71.9,-3.22,,-1.88,,-4.65,-4.58,-9.23,,,
229,Northern Iowa,Mid-Cont,,12,16,65,66.3,-1.29,,-4.31,,-7.86,-1.53,-9.39,,,
230,Brown,Ivy,,9,18,67,69.1,-2.07,,-6.67,,-3.77,-5.78,-9.55,,,
231,Princeton,Ivy,,11,15,52.2,55,-2.81,,-5.72,,-18.84,9.25,-9.6,,,
232,American,ECACS,,9,19,71.2,76.5,-5.29,,-1.86,,-0.29,-9.33,-9.62,,,
233,Pacific,PCAA,,9,19,63,71,-7.93,,-0.6,,-7.36,-2.35,-9.71,,,
234,Hardin-Simmons,A-Sun,,11,17,66.4,67.1,-0.71,,-6.5,,-7.41,-2.41,-9.82,,,
235,Alabama State,SWAC,,14,17,72.1,74.5,-2.39,,-6.29,,-2.73,-7.28,-10.01,,,
236,Radford,Ind,,16,12,66.8,65,1.79,,-11.44,,-8.14,-2.19,-10.33,,,
237,East Carolina,ECACS,,7,21,64.9,71.3,-6.39,,-1.05,,-6.27,-4.34,-10.61,,,
238,East Tennessee State,Southern,,9,18,66.6,73.3,-6.7,,-3.51,,-3.53,-7.18,-10.71,,,
239,Drexel,ECC,,10,18,67,72.2,-5.25,,-5.66,,-4.85,-6.06,-10.91,,,
240,Green Bay,Mid-Cont,,4,24,60.5,67.6,-7.11,,-2.5,,-10.78,-0.22,-11,,,
241,Saint Francis (PA),ECACM,,9,19,76.4,81.7,-5.36,,-5.04,,5.5,-16.62,-11.12,,,
242,Austin Peay,OVC,,8,19,65,72.2,-7.19,,-2.62,,-4.38,-6.81,-11.19,,,
243,Rider,ECC,,14,15,68.9,72,-3.14,,-7.25,,-4.46,-6.95,-11.41,,,
244,Yale,Ivy,,14,12,69.1,71.1,-2,,-6.19,,-2.57,-8.84,-11.41,,,
245,Jackson State,SWAC,,10,16,68.4,72.5,-4.08,,-5.46,,-6.38,-5.13,-11.51,,,
246,Texas-Arlington,Southland,,12,16,74.5,79.4,-4.89,,-3.5,,0.84,-12.5,-11.66,,,
247,Robert Morris,ECACM,,9,19,65.9,70,-4.14,,-5.21,,-5.94,-5.77,-11.71,,,
248,Delaware,ECC,,12,16,68.8,73.2,-4.43,,-7.07,,-3.54,-8.3,-11.83,,,
249,Charleston Southern,Ind,,13,15,67.7,69.8,-2.07,,-8.84,,-7,-4.89,-11.89,,,
250,Monmouth,Ind,,12,15,71.6,72.6,-1,,-7.89,,-4.04,-7.89,-11.93,,,
251,Long Beach State,PCAA,,4,23,64,72.7,-8.78,,-0.9,,-6.84,-5.11,-11.94,,,
252,Brooklyn,Ind,,15,13,70.4,67.2,3.18,,-11.3,,-5.23,-6.78,-12.01,,,
253,Lehigh,ECC,,12,19,65.5,69.4,-3.87,,-6.89,,-7.37,-4.65,-12.02,,,
254,Tennessee State,Ind,,9,19,66.3,70.1,-3.89,,-6.46,,-7.11,-5.24,-12.35,,,
255,Maine,ECACN,,11,17,69.1,74.1,-4.96,,-6.54,,-2.53,-10.01,-12.54,,,
256,Hartford,ECACN,,7,21,66.7,73.9,-7.21,,-2.69,,-5.74,-6.88,-12.62,,,
257,Central Florida,Ind,,10,18,,,,,-3.67,,-10.99,-2.11,-13.1,,,
258,Morehead State,OVC,,7,20,63.1,71.9,-8.81,,-0.89,,-7.29,-5.82,-13.11,,,
259,South Carolina State,MEAC,,11,16,68.9,71.4,-2.44,,-9.55,,-7.01,-6.12,-13.13,,,
260,Wagner,ECACM,,11,17,74.3,75.8,-1.5,,-8.73,,-0.71,-12.69,-13.4,,,
261,New Hampshire,ECACN,,7,22,58.7,65.9,-7.21,,-6.28,,-12.87,-0.65,-13.52,,,
262,Florida A&M,Ind,,10,18,71.9,77.2,-5.32,,-8.69,,-0.1,-13.68,-13.78,,,
263,Valparaiso,Mid-Cont,,8,20,63.1,71.1,-8,,-3.65,,-7.88,-6.73,-14.61,,,
264,North Texas,Southland,,5,23,63.9,76.6,-12.68,,-0.47,,-6.86,-7.76,-14.63,,,
