,,,,,,,,,,,,SRS,,,Adjusted,,
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Georgetown,Big East,,35,3,74.3,57.3,17.05,,5.77,,6.67,14.21,20.89,,,
2,Illinois,Big Ten,,26,9,68.9,57.2,11.69,,8.13,,1.87,16.97,18.83,,,
3,Michigan,Big Ten,,26,4,78.2,68.6,9.6,,8.67,,13.23,5.38,18.6,,,
4,Duke,ACC,,23,8,78.9,67.9,11,,7.38,,15.41,2.97,18.38,,,
5,St. John's (NY),Big East,,31,4,75.7,64.7,11.03,,7.06,,10.55,7.54,18.09,,,
6,Oklahoma,Big 8,,31,6,89.9,75.6,14.35,,5.61,,21.98,-4.08,17.9,,,
7,Iowa,Big Ten,,21,11,70.2,58.8,11.41,,6.84,,4.25,12.43,16.68,,,
8,Georgia Tech,ACC,,27,8,69.9,60.9,9.03,,7.41,,4.51,11.93,16.44,,,
9,Georgia,SEC,,22,9,76.7,66.8,9.9,,7.16,,11.62,4.03,15.65,,,
10,North Carolina,ACC,,27,9,73.5,66,7.53,,8.12,,8.1,7.22,15.32,,,
11,Indiana,Big Ten,,19,14,71.2,65.5,5.64,,9.6,,8.24,7,15.24,,,
12,North Carolina State,ACC,,23,10,73.3,65,8.24,,6.78,,6.74,8.28,15.02,,,
13,Memphis,Metro,,31,4,72.9,63.7,9.29,,5.72,,6.45,8.47,14.92,,,
14,Alabama,SEC,,23,10,67.4,60.1,7.3,,7.15,,2.23,12.23,14.46,,,
15,Virginia Commonwealth,Sun Belt,,26,6,72.3,62.7,9.63,,4.61,,5.62,8.62,14.23,,,
16,Maryland,ACC,,25,12,70.3,65,5.35,,8.47,,5.09,8.82,13.91,,,
17,Virginia Tech,Metro,,20,9,80.7,69.3,11.38,,2.4,,12.54,1.29,13.83,,,
18,Michigan State,Big Ten,,19,10,72.2,66.2,5.97,,7.7,,7.39,6.31,13.7,,,
19,Purdue,Big Ten,,20,9,69.3,64.6,4.66,,10.01,,4.93,8.69,13.62,,,
20,Ohio State,Big Ten,,20,10,77.3,73,4.33,,8.24,,14.08,-1.51,12.58,,,
21,Syracuse,Big East,,22,9,73,67.9,5.13,,7.04,,7.78,4.39,12.17,,,
22,DePaul,Ind,,19,10,71.6,63.3,8.34,,4.82,,4.83,7.2,12.04,,,
23,Villanova,Big East,,25,10,68.7,63.9,4.74,,7.29,,3.08,8.95,12.03,,,
24,Louisiana State,SEC,,19,10,73.4,69.4,4,,8,,7.61,4.39,12,,,
25,Washington,Pac-10,,22,10,64.9,58.8,6.09,,5.88,,0.3,11.67,11.98,,,
26,Kansas,Big 8,,26,8,75.4,69.4,5.97,,6.27,,7.78,4.05,11.84,,,
27,Florida,SEC,,18,12,73.7,68.2,5.47,,7.86,,7.36,4.3,11.66,,,
